# This file was generated automatically from the data of the files
# in the subfolder Mapeamento_placas_MicroTCA_vs_BPMs and the
# models of the accelerators in the pymodels repository by the
# function: 
#      siriuspy.optics.lattice_survey.generate_bpm_static_table.
#
# If the data in the mentioned subfolder change, please, run the
# script again and copy the generated file to replace this one.


#BPMs data 
#-----------


# Beam Lines (BL)
#---------------------------------------------------------
#Name                  Position [m]  
#---------------------------------------------------------
SI-02SBFE:DI-PBPM-1      25.9192    
SI-02SBFE:DI-PBPM-2      25.9192    
SI-02BCFE:DI-PBPM-1      38.8791    
SI-02BCFE:DI-PBPM-2      38.8791    
SI-04SBFE:DI-PBPM-1      77.7588    
SI-04SBFE:DI-PBPM-2      77.7588    
SI-04BCFE:DI-PBPM-1      90.7187    
SI-04BCFE:DI-PBPM-2      90.7187    
SI-05SAFE:DI-PBPM-1     103.6780    
SI-05SAFE:DI-PBPM-2     103.6780    
SI-05BCFE:DI-PBPM-1     116.6373    
SI-05BCFE:DI-PBPM-2     116.6373    
SI-06SBFE:DI-PBPM-1     129.5972    
SI-06SBFE:DI-PBPM-2     129.5972    
SI-06BCFE:DI-PBPM-1     142.5571    
SI-06BCFE:DI-PBPM-2     142.5571    
SI-07SPFE:DI-PBPM-1     155.5170    
SI-07SPFE:DI-PBPM-2     155.5170    
SI-07BCFE:DI-PBPM-1     168.4769    
SI-07BCFE:DI-PBPM-2     168.4769    
SI-08SBFE:DI-PBPM-1     181.4368    
SI-08SBFE:DI-PBPM-2     181.4368    
SI-08BCFE:DI-PBPM-1     194.3967    
SI-08BCFE:DI-PBPM-2     194.3967    
SI-09SAFE:DI-PBPM-1     207.3560    
SI-09SAFE:DI-PBPM-2     207.3560    
SI-09BCFE:DI-PBPM-1     220.3152    
SI-09BCFE:DI-PBPM-2     220.3152    
SI-10SBFE:DI-PBPM-1     233.2751    
SI-10SBFE:DI-PBPM-2     233.2751    
SI-10BCFE:DI-PBPM-1     246.2350    
SI-10BCFE:DI-PBPM-2     246.2350    
SI-11SPFE:DI-PBPM-1     259.1949    
SI-11SPFE:DI-PBPM-2     259.1949    
