# HEADER
# ======
# label             si-id-epu50
# harmonics         0
# main_harmonic     0 normal
# rescaling_factor  1.0
# units             mm  T.m T.m

# B.LAMBDA DATA
# =============

# --- horizontal polarization Keff/Brho = Kx (from By) / Brho ---
0022.00  2.195782e+01 0.000000e+00
0022.33  2.150970e+01 0.000000e+00
0022.67  2.106158e+01 0.000000e+00
0023.02  2.061346e+01 0.000000e+00
0023.37  2.016535e+01 0.000000e+00
0023.73  1.971723e+01 0.000000e+00
0024.10  1.926911e+01 0.000000e+00
0024.48  1.882099e+01 0.000000e+00
0024.87  1.837287e+01 0.000000e+00
0025.26  1.792475e+01 0.000000e+00
0025.67  1.747663e+01 0.000000e+00
0026.09  1.702851e+01 0.000000e+00
0026.52  1.658040e+01 0.000000e+00
0026.96  1.613228e+01 0.000000e+00
0027.41  1.568416e+01 0.000000e+00
0027.88  1.523604e+01 0.000000e+00
0028.36  1.478792e+01 0.000000e+00
0028.85  1.433980e+01 0.000000e+00
0029.36  1.389168e+01 0.000000e+00
0029.89  1.344356e+01 0.000000e+00
0030.43  1.299545e+01 0.000000e+00
0031.00  1.254733e+01 0.000000e+00
0031.58  1.209921e+01 0.000000e+00
0032.19  1.165109e+01 0.000000e+00
0032.82  1.120297e+01 0.000000e+00
0033.47  1.075485e+01 0.000000e+00
0034.16  1.030673e+01 0.000000e+00
0034.87  9.858614e+00 0.000000e+00
0035.62  9.410495e+00 0.000000e+00
0036.41  8.962376e+00 0.000000e+00
0037.23  8.514257e+00 0.000000e+00
0038.10  8.066139e+00 0.000000e+00
0039.02  7.618020e+00 0.000000e+00
0039.99  7.169901e+00 0.000000e+00
0041.03  6.721782e+00 0.000000e+00
0042.14  6.273664e+00 0.000000e+00
0043.33  5.825545e+00 0.000000e+00
0044.62  5.377426e+00 0.000000e+00
0046.02  4.929307e+00 0.000000e+00
0047.55  4.481188e+00 0.000000e+00
0049.24  4.033070e+00 0.000000e+00
0051.14  3.584951e+00 0.000000e+00
0053.28  3.136832e+00 0.000000e+00
0055.76  2.688713e+00 0.000000e+00
0058.69  2.240595e+00 0.000000e+00
0062.28  1.792476e+00 0.000000e+00
0066.90  1.344357e+00 0.000000e+00
0073.42  8.962382e-01 0.000000e+00
0084.57  4.481195e-01 0.000000e+00
0300.00  6.784472e-07 0.000000e+00

# --- vertical polarization Keff/Brho = Ky (from Bx) / Brho ---
# 0022.00  1.261407e+01 0.000000e+00
# 0022.26  1.235664e+01 0.000000e+00
# 0022.53  1.209921e+01 0.000000e+00
# 0022.81  1.184178e+01 0.000000e+00
# 0023.09  1.158435e+01 0.000000e+00
# 0023.38  1.132692e+01 0.000000e+00
# 0023.68  1.106949e+01 0.000000e+00
# 0023.98  1.081206e+01 0.000000e+00
# 0024.29  1.055463e+01 0.000000e+00
# 0024.60  1.029720e+01 0.000000e+00
# 0024.93  1.003977e+01 0.000000e+00
# 0025.26  9.782338e+00 0.000000e+00
# 0025.61  9.524908e+00 0.000000e+00
# 0025.96  9.267478e+00 0.000000e+00
# 0026.32  9.010048e+00 0.000000e+00
# 0026.69  8.752618e+00 0.000000e+00
# 0027.07  8.495188e+00 0.000000e+00
# 0027.47  8.237758e+00 0.000000e+00
# 0027.88  7.980328e+00 0.000000e+00
# 0028.30  7.722898e+00 0.000000e+00
# 0028.73  7.465468e+00 0.000000e+00
# 0029.18  7.208038e+00 0.000000e+00
# 0029.65  6.950608e+00 0.000000e+00
# 0030.13  6.693179e+00 0.000000e+00
# 0030.64  6.435749e+00 0.000000e+00
# 0031.16  6.178319e+00 0.000000e+00
# 0031.71  5.920889e+00 0.000000e+00
# 0032.28  5.663459e+00 0.000000e+00
# 0032.88  5.406029e+00 0.000000e+00
# 0033.50  5.148599e+00 0.000000e+00
# 0034.16  4.891169e+00 0.000000e+00
# 0034.85  4.633739e+00 0.000000e+00
# 0035.59  4.376309e+00 0.000000e+00
# 0036.37  4.118879e+00 0.000000e+00
# 0037.19  3.861449e+00 0.000000e+00
# 0038.08  3.604019e+00 0.000000e+00
# 0039.03  3.346589e+00 0.000000e+00
# 0040.06  3.089159e+00 0.000000e+00
# 0041.17  2.831729e+00 0.000000e+00
# 0042.40  2.574299e+00 0.000000e+00
# 0043.75  2.316869e+00 0.000000e+00
# 0045.26  2.059440e+00 0.000000e+00
# 0046.98  1.802010e+00 0.000000e+00
# 0048.95  1.544580e+00 0.000000e+00
# 0051.29  1.287150e+00 0.000000e+00
# 0054.16  1.029720e+00 0.000000e+00
# 0057.85  7.722898e-01 0.000000e+00
# 0063.06  5.148599e-01 0.000000e+00
# 0071.95  2.574299e-01 0.000000e+00
# 0300.00  4.946509e-09 0.000000e+00

# --- circular polarization Keff / Brho = sqrt((Kx**2 + Ky**2)/2) / Brho ---
# 0022.00  1.074532e+01 0.000000e+00
# 0022.33  1.052602e+01 0.000000e+00
# 0022.67  1.030673e+01 0.000000e+00
# 0023.02  1.008744e+01 0.000000e+00
# 0023.37  9.868148e+00 0.000000e+00
# 0023.73  9.648856e+00 0.000000e+00
# 0024.10  9.429563e+00 0.000000e+00
# 0024.48  9.210271e+00 0.000000e+00
# 0024.87  8.990979e+00 0.000000e+00
# 0025.26  8.771687e+00 0.000000e+00
# 0025.67  8.552395e+00 0.000000e+00
# 0026.09  8.333103e+00 0.000000e+00
# 0026.52  8.113810e+00 0.000000e+00
# 0026.96  7.894518e+00 0.000000e+00
# 0027.41  7.675226e+00 0.000000e+00
# 0027.88  7.455934e+00 0.000000e+00
# 0028.36  7.236642e+00 0.000000e+00
# 0028.85  7.017350e+00 0.000000e+00
# 0029.36  6.798057e+00 0.000000e+00
# 0029.89  6.578765e+00 0.000000e+00
# 0030.43  6.359473e+00 0.000000e+00
# 0031.00  6.140181e+00 0.000000e+00
# 0031.58  5.920889e+00 0.000000e+00
# 0032.19  5.701597e+00 0.000000e+00
# 0032.82  5.482304e+00 0.000000e+00
# 0033.47  5.263012e+00 0.000000e+00
# 0034.16  5.043720e+00 0.000000e+00
# 0034.87  4.824428e+00 0.000000e+00
# 0035.62  4.605136e+00 0.000000e+00
# 0036.41  4.385844e+00 0.000000e+00
# 0037.23  4.166551e+00 0.000000e+00
# 0038.10  3.947259e+00 0.000000e+00
# 0039.02  3.727967e+00 0.000000e+00
# 0039.99  3.508675e+00 0.000000e+00
# 0041.03  3.289383e+00 0.000000e+00
# 0042.14  3.070091e+00 0.000000e+00
# 0043.33  2.850798e+00 0.000000e+00
# 0044.62  2.631506e+00 0.000000e+00
# 0046.02  2.412214e+00 0.000000e+00
# 0047.55  2.192922e+00 0.000000e+00
# 0049.24  1.973630e+00 0.000000e+00
# 0051.14  1.754338e+00 0.000000e+00
# 0053.28  1.535045e+00 0.000000e+00
# 0055.76  1.315753e+00 0.000000e+00
# 0058.69  1.096461e+00 0.000000e+00
# 0062.28  8.771688e-01 0.000000e+00
# 0066.90  6.578767e-01 0.000000e+00
# 0073.42  4.385845e-01 0.000000e+00
# 0084.57  2.192923e-01 0.000000e+00
# 0300.00  2.347826e-07 0.000000e+00

# COMMENTS
# ========
#
# 1. This file contains table of Keff/Brho(3GeV) vs gap fitted from measurement
#    https://github.com/lnls-ima/epu-uvx/tree/main/measurement/magnetic/hallprobe/probes%20133-14
#    using:
#    horizontal polarization : By/[T] = 0.47 * exp(- 0.99 * pi * (gap - gap_min) / lambda)
#    vertical polarization   : Bx/[T] = 0.27 * exp(- 1.24 * pi * (gap - gap_min) / lambda)
#    circular polarization   : Bx/[T] = 0.23 * exp(- 1.24 * pi * (gap - gap_min) / lambda)
#                              By/[T] = 0.23 * exp(- 0.99 * pi * (gap - gap_min) / lambda)
#                              Keff = sqrt((Kx**2 + Ky**2)/2)
#
#    K = 93.37289556608205 * (B/T) * (period/m)
#    gap_min = 22 mm
#    period = 50 mm
#    Brho(3GeV) = 10.0069 [T.m]
