# HEADER
# ======
# label             si-quadrupole-q14-qda-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     1 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -6.7911e-06 -2.6061e-06  +2.6915e-02 -4.4357e-05  -8.0106e-04 -1.7682e-03  -8.8660e-02 +6.7863e-02  +2.7617e+00 +3.2242e+00  +4.0160e+03 +4.2876e+01  +4.6019e+03 +4.4641e+03  -6.7838e+04 -4.1725e+05  -6.4547e+06 -1.0970e+07  +5.9104e+10 -6.3323e+08  +3.2749e+11 +4.4484e+11  -1.4440e+13 +2.2060e+13  -3.2148e+14 +1.0817e+15  -1.3866e+18 -1.8141e+17  -4.9055e+18 +3.6237e+19  
+001.9950 -6.7589e-06 -2.9211e-06  +9.4703e-02 -9.7124e-05  +6.7353e-04 -8.2210e-04  -4.7105e-02 -1.1001e-03  -5.6443e-01 +2.0699e+00  +1.9976e+03 +1.4109e+02  +7.7242e+03 +7.7873e+03  +3.3269e+05 -2.4614e+05  -1.9441e+07 -3.3148e+07  +3.1671e+11 -1.9087e+08  +4.6365e+10 +2.4716e+11  +1.5765e+13 +2.8238e+13  +3.6737e+14 +6.5554e+14  -6.9470e+18 -1.5928e+17  -1.2447e+19 -7.4889e+17  
+003.9974 -6.7266e-06 -3.2374e-06  +1.6274e-01 -1.5009e-04  +2.1536e-03 +1.2755e-04  -5.3960e-03 -7.0319e-02  -3.9030e+00 +9.1135e-01  -2.8266e+01 +2.3968e+02  +1.0858e+04 +1.1123e+04  +7.3471e+05 -7.4399e+04  -3.2476e+07 -5.5409e+07  +5.7528e+11 +2.5314e+08  -2.3581e+11 +4.8736e+10  +4.6082e+13 +3.4438e+13  +1.0588e+15 +2.2782e+14  -1.2528e+19 -1.3707e+17  -2.0016e+19 -3.7872e+19  
+005.9967 -6.6954e-06 -3.5810e-06  +2.3129e-01 -2.0658e-04  +3.1417e-03 +6.6707e-04  +1.6231e-02 -4.6113e-02  -7.6329e-01 +7.6580e-02  -2.2216e+03 +1.3458e+02  +4.2859e+03 +1.4833e+03  +6.5175e+04 -1.0052e+06  -4.9345e+07 -4.0809e+07  +8.1056e+11 -8.3985e+09  +2.4061e+10 -3.0396e+11  +1.9166e+13 +1.2313e+13  +2.1711e+15 +3.3974e+15  -1.7562e+19 -3.8921e+16  -1.6878e+18 -1.4327e+19  
+007.9954 -6.6141e-06 -3.9924e-06  +3.0028e-01 -2.6149e-04  +4.5991e-03 +1.4017e-03  +2.3388e-02 -7.7612e-02  -8.0595e-01 -8.7512e-01  -4.1733e+03 +3.0940e+02  -4.3844e+03 -1.6225e+03  -6.6441e+05 -2.0131e+06  -3.3547e+07 -1.8491e+08  +1.0645e+12 -1.2750e+10  -4.2746e+11 -4.8843e+11  -1.0314e+13 +1.8188e+13  +7.1596e+14 -7.2861e+15  -2.3032e+19 -2.8541e+16  -1.5682e+19 -1.6829e+19  
+009.9955 -6.5290e-06 -4.2930e-06  +3.6972e-01 -3.1614e-04  +5.6988e-03 +2.3451e-03  +8.3478e-02 -4.5672e-02  +1.3368e+00 +1.2794e-01  -6.2985e+03 +4.6374e+02  +1.0780e+04 -6.6402e+03  -6.8207e+05 -1.8282e+06  +1.1148e+08 -7.0373e+06  +1.3140e+12 -1.1644e+10  -4.2532e+11 -1.2967e+11  +3.8981e+13 -1.1996e+13  +1.6648e+15 +8.7164e+14  -2.7740e+19 -2.2834e+17  -1.8264e+19 +7.5229e+18  
+029.9954 -6.0330e-06 -7.8027e-06  +1.0784e+00 -8.6937e-04  +1.8911e-02 +9.9360e-03  +3.5676e-01 -2.2157e-01  +2.4545e+00 -5.6497e+00  -2.2578e+04 +1.4770e+03  +1.0862e+04 -1.4743e+04  -4.4900e+05 -2.9733e+06  +1.6584e+07 -2.3273e+08  +3.8727e+12 -2.4683e+10  -2.6275e+11 -4.2395e+11  +2.6768e+13 +1.9226e+14  +3.0589e+15 +6.2808e+15  -8.1679e+19 -4.5895e+17  -3.3661e+19 -8.0950e+18  
+049.9945 -5.3035e-06 -1.1237e-05  +1.7973e+00 -1.4366e-03  +3.3141e-02 +1.7820e-02  +6.3847e-01 -3.7193e-01  +5.6066e+00 -1.1676e+01  -3.4572e+04 +2.3664e+03  +1.9767e+04 -2.5768e+04  -1.5279e+06 -4.8322e+06  -1.0585e+07 -1.7645e+08  +6.4470e+12 -4.7469e+10  +2.4756e+11 -4.1332e+11  +7.3138e+13 +3.1755e+14  +8.1645e+15 +1.3134e+16  -1.3694e+20 -6.0860e+17  +1.1544e+19 +1.2763e+18  
+069.9939 -4.5253e-06 -1.4717e-05  +2.5167e+00 -2.0034e-03  +4.7598e-02 +2.6225e-02  +9.3440e-01 -5.0681e-01  +6.3066e+00 -1.2391e+01  -4.6825e+04 +3.5372e+03  +2.7819e+04 -1.9703e+04  -1.9967e+06 -5.1055e+06  -1.3981e+08 -2.0595e+08  +9.0301e+12 -7.7780e+10  -6.8733e+11 -7.8519e+11  +1.3225e+14 +4.6496e+14  +6.9549e+15 +2.5822e+16  -1.9184e+20 -1.3819e+18  -3.2315e+19 -3.4457e+18  
+089.9968 -3.9558e-06 -1.8040e-05  +3.2324e+00 -2.5761e-03  +6.1278e-02 +3.3452e-02  +1.2316e+00 -7.1254e-01  +8.8425e+00 -1.8691e+01  -5.9880e+04 +4.9948e+03  +1.8803e+04 -4.4103e+04  -2.0766e+06 -9.3507e+06  -8.9662e+07 -3.9003e+08  +1.1599e+13 -1.0245e+11  -9.2296e+11 -9.6994e+11  +7.5549e+13 +5.7142e+14  +6.8682e+15 +1.9711e+16  -2.4618e+20 -1.8431e+18  +1.8491e+18 -1.3287e+19  
+109.9968 -3.4764e-06 -2.1093e-05  +3.9404e+00 -3.1519e-03  +7.4187e-02 +4.0700e-02  +1.4972e+00 -9.0004e-01  +1.0918e+01 -2.2789e+01  -7.4296e+04 +6.1874e+03  +2.9102e+04 -5.7297e+04  -8.1049e+05 -1.3159e+07  -1.3341e+08 -4.9235e+08  +1.4148e+13 -1.2088e+11  -2.1618e+12 -3.4842e+11  +1.5683e+14 +6.8378e+14  +5.5186e+15 +2.1715e+16  -3.0002e+20 -2.6785e+18  -7.7209e+19 +1.9219e+18  
