# HEADER
# ======
# label             si-quadrupole-q14-qdb1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling factor  0.99899
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 -6.4146e-06 -2.7871e-06  +2.7084e-02 -4.6557e-05  +2.5990e-04 -1.9887e-04  -6.7858e-02 +9.9537e-02  +1.4947e+00 +3.3910e-01  +4.0723e+03 -2.9099e+01  +2.3783e+04 +1.9092e+04  +2.3683e+06 +7.9258e+05  -1.5837e+08 -2.9775e+06  +6.4382e+10 -1.0773e+10  +1.6757e+11 +1.3793e+11  +2.5655e+13 +4.0478e+13  -4.8227e+15 +5.0696e+15  -1.7151e+18 -1.1875e+17  -4.3779e+19 -8.1725e+18
+001.9951 -6.4399e-06 -3.0156e-06  +9.4788e-02 -8.6386e-05  +1.4962e-03 +4.9320e-04  -4.0595e-02 +5.4629e-03  +1.7867e+00 -8.4213e-01  +2.0117e+03 +7.8241e+01  +9.6100e+03 +7.4427e+03  +1.1183e+06 +2.6861e+05  -5.9885e+07 -2.6597e+07  +3.1612e+11 -6.2754e+09  +1.8983e+11 +1.5920e+11  +1.3751e+13 +3.9380e+13  -1.9461e+15 +2.2491e+15  -6.8360e+18 -1.3894e+17  -8.9196e+18 -7.2280e+18
+003.9978 -6.4654e-06 -3.2450e-06  +1.6275e-01 -1.2637e-04  +2.7372e-03 +1.1879e-03  -1.3230e-02 -8.8966e-02  +2.0799e+00 -2.0278e+00  -5.6760e+01 +1.8599e+02  -4.6161e+03 -4.2509e+03  -1.3642e+05 -2.5733e+05  +3.8968e+07 -5.0306e+07  +5.6880e+11 -1.7605e+09  +2.1217e+11 +1.8055e+11  +1.8023e+12 +3.8277e+13  +9.4127e+14 -5.8214e+14  -1.1976e+19 -1.5920e+17  +2.6071e+19 -6.2799e+18
+005.9968 -6.5307e-06 -3.4063e-06  +2.3123e-01 -1.7701e-04  +3.3395e-03 +2.0695e-03  +3.4249e-02 -6.9202e-02  +1.7651e+00 -1.3884e+00  -2.1805e+03 +2.2397e+02  -1.1469e+03 +1.4855e+03  +5.9437e+05 -7.7619e+05  -5.2039e+07 -4.0403e+07  +8.0691e+11 -5.1562e+09  -3.6254e+11 +6.0777e+11  +4.5886e+13 -3.8656e+13  +7.7174e+13 +1.5337e+15  -1.7310e+19 -1.9468e+17  -1.9090e+19 -2.1534e+19
+007.9955 -6.5844e-06 -3.5419e-06  +3.0017e-01 -2.2018e-04  +4.2379e-03 +2.6355e-03  +6.1154e-02 -4.9069e-02  +1.7380e+00 -6.6639e-01  -4.0018e+03 +3.3097e+02  +4.6495e+03 -1.1451e+04  -1.1225e+06 -1.1795e+06  -1.2176e+08 +8.8896e+07  +1.0631e+12 -4.7976e+09  -2.7807e+11 -3.9459e+11  +1.4946e+13 -7.5420e+12  -3.4163e+15 +8.8769e+15  -2.1959e+19 +9.4980e+16  +1.5441e+18 +2.3922e+19
+009.9958 -6.6340e-06 -3.8055e-06  +3.6955e-01 -2.6556e-04  +5.2559e-03 +3.3266e-03  +9.7163e-02 -8.7386e-02  +1.8217e+00 -2.6907e-01  -5.9500e+03 +2.6972e+02  -3.0062e+03 -1.8197e+04  -1.5665e+06 -6.9781e+05  -6.4362e+07 +1.1054e+07  +1.3144e+12 -7.1831e+09  -8.3319e+11 -4.5871e+10  -3.2902e+13 +3.4102e+12  +7.7994e+14 +3.9068e+15  -2.7522e+19 -2.1207e+17  -1.8379e+19 -8.9729e+18
+029.9957 -7.1144e-06 -5.7229e-06  +1.0778e+00 -7.2940e-04  +1.5519e-02 +1.1332e-02  +4.8584e-01 -2.4819e-01  +6.5355e+00 -6.3588e+00  -2.2303e+04 +1.4820e+03  +1.0610e+04 -5.9586e+03  +4.2757e+05 +8.1716e+05  +3.0282e+07 -1.4513e+08  +3.8672e+12 -2.0581e+10  -2.0164e+12 +9.3564e+10  -1.1081e+13 +2.0679e+14  +6.8811e+15 +1.4093e+16  -8.1024e+19 -4.9251e+17  -4.1678e+19 -3.3161e+19
+049.9943 -7.7416e-06 -7.6564e-06  +1.7964e+00 -1.2073e-03  +2.5142e-02 +1.8969e-02  +8.6008e-01 -3.9064e-01  +1.4816e+01 -3.9442e+00  -3.4322e+04 +2.2757e+03  +6.2308e+04 -1.6990e+04  -1.5607e+06 -1.8178e+06  -1.2739e+08 -1.4597e+08  +6.4259e+12 -2.4587e+10  +7.1651e+11 +1.1830e+12  +1.1795e+14 +1.2584e+14  -3.1461e+15 +1.5205e+15  -1.3637e+20 -1.2888e+18  +1.6137e+19 +1.7698e+18
+069.9942 -8.3839e-06 -9.6995e-06  +2.5154e+00 -1.6824e-03  +3.5018e-02 +2.7007e-02  +1.2282e+00 -5.8777e-01  +1.2830e+01 -7.8384e+00  -4.6088e+04 +3.5612e+03  +7.7375e+04 -7.2171e+04  -3.8927e+06 -3.4491e+06  -1.2849e+08 -1.7524e+08  +9.0089e+12 -5.6658e+10  -7.2647e+11 +8.9074e+11  +1.7826e+14 +2.4624e+14  +2.5779e+15 +4.1716e+15  -1.9080e+20 -1.4658e+18  -2.7558e+19 -1.2855e+19
+089.9971 -8.9366e-06 -1.1678e-05  +3.2307e+00 -2.1669e-03  +4.4745e-02 +3.5831e-02  +1.6269e+00 -7.3080e-01  +1.9916e+01 -1.2407e+01  -5.9141e+04 +4.7193e+03  +7.3170e+04 -8.0000e+04  -5.0980e+06 -2.8833e+06  +2.4937e+07 -1.5008e+08  +1.1566e+13 -9.3531e+10  -9.9839e+11 +1.4083e+12  +1.4645e+14 +3.1980e+14  +3.6455e+15 +8.4364e+15  -2.4487e+20 -2.3960e+18  -4.4226e+19 -7.0930e+18
+109.9970 -9.2881e-06 -1.3845e-05  +3.9381e+00 -2.6432e-03  +5.5220e-02 +4.4994e-02  +2.0159e+00 -9.2477e-01  +2.2522e+01 -1.4915e+01  -7.3417e+04 +6.1142e+03  +7.7017e+04 -1.0718e+05  -5.7367e+06 -4.1345e+06  -1.0212e+08 -3.7613e+08  +1.4091e+13 -1.1818e+11  -2.3577e+12 +5.2183e+11  +2.2828e+14 +4.1652e+14  +5.2206e+15 +1.0227e+16  -2.9803e+20 -3.0572e+18  -3.3434e+19 -2.8262e+19
+129.9967 -9.6575e-06 -1.6140e-05  +4.6337e+00 -3.1144e-03  +6.6000e-02 +5.4333e-02  +2.3996e+00 -1.0882e+00  +3.0334e+01 -1.7646e+01  -8.9289e+04 +7.4075e+03  +1.0072e+05 -1.2784e+05  -6.0549e+06 -5.7439e+06  -2.0638e+08 -1.9875e+08  +1.6572e+13 -1.4695e+11  -1.9776e+12 +5.9823e+11  +2.8593e+14 +5.0199e+14  +7.0066e+15 +1.7694e+16  -3.5069e+20 -3.3887e+18  -5.5810e+19 -1.7733e+19
+147.9960 -1.0300e-05 -1.8357e-05  +5.2373e+00 -3.5251e-03  +7.4298e-02 +6.3902e-02  +2.7487e+00 -1.2227e+00  +3.3982e+01 -2.1115e+01  -1.0447e+05 +8.6379e+03  +1.0314e+05 -1.5999e+05  -7.4389e+06 -5.6092e+06  -9.4403e+06 -3.1843e+08  +1.8704e+13 -1.5031e+11  -1.8976e+12 +1.8131e+12  +2.4326e+14 +5.7048e+14  +2.4552e+15 +1.8690e+16  -3.9671e+20 -4.5674e+18  -3.2527e+19 -1.1155e+19

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q14-010 Q14-017 Q14-011 Q14-008 Q14-023 Q14-035 Q14-048 Q14-075 Q14-021 Q14-055
#    Q14-014 Q14-033 Q14-026 Q14-067 Q14-057 Q14-027 Q14-079 Q14-009 Q14-025 Q14-053
# 5. rescaling factor based on new measurements compared to previous ones
#    === Q14 (044) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-QDA    062.65    -2.24969  -2.25214  -0.109
#    SI-Fam:PS-QDB1   077.66    -2.78785  -2.79068  -0.101
#    SI-Fam:PS-QDP1   077.66    -2.78785  -2.79068  -0.101
#    SI-Fam:PS-QDB2   133.61    -4.75715  -4.75916  -0.042
#    SI-Fam:PS-QDP2   133.61    -4.75715  -4.75916  -0.042

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
