# HEADER
# ======
# label             si-quadrupole-q14-qdb2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling_factor  0.99958
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 -6.2348e-06 -2.2574e-06  +2.6997e-02 -4.4295e-05  -1.1642e-03 -2.9122e-03  -9.7315e-02 +7.1666e-02  -3.6187e-01 +1.3452e+00  +3.9758e+03 +7.1006e+01  -2.8493e+03 +1.6834e+04  +1.2658e+06 +7.4752e+05  -5.3305e+07 +1.1440e+08  +6.0666e+10 +2.9674e+09  +1.3268e+12 +6.1486e+10  +8.2498e+13 +1.3669e+14  +9.4548e+15 +8.0726e+15  -1.6612e+18 -1.7253e+17  +8.0790e+18 -2.0191e+19
+001.9952 -6.1037e-06 -2.4855e-06  +9.4754e-02 -8.5081e-05  +1.1238e-04 -1.9852e-03  -6.1472e-02 -2.2083e-02  -4.0614e-01 -2.2696e-01  +1.9682e+03 +1.7764e+02  +3.6897e+03 +1.2514e+04  +5.4199e+05 -2.1477e+05  -3.3968e+07 +3.8560e+07  +3.1300e+11 -2.4744e+09  +6.8081e+11 -2.1199e+10  +2.8753e+13 +5.7192e+13  +2.9127e+15 +2.3346e+15  -7.0071e+18 +3.1658e+16  +3.3277e+18 +4.1536e+18
+003.9976 -5.9722e-06 -2.7145e-06  +1.6275e-01 -1.2601e-04  +1.3936e-03 -1.0550e-03  -2.5500e-02 -1.1617e-01  -4.5057e-01 -1.8048e+00  -4.6710e+01 +2.8466e+02  +1.0252e+04 +8.1788e+03  -1.8437e+05 -1.1805e+06  -1.4562e+07 -3.7549e+07  +5.6623e+11 -7.9357e+09  +3.2491e+10 -1.0418e+11  -2.5185e+13 -2.2595e+13  -3.6528e+15 -3.4238e+15  -1.2372e+19 +2.3658e+17  -1.4405e+18 +2.8586e+19
+005.9969 -5.8029e-06 -2.8919e-06  +2.3125e-01 -1.7323e-04  +2.0421e-03 -6.5617e-04  +5.9504e-03 -9.4857e-02  +6.4049e-01 -2.6384e+00  -2.1695e+03 +4.4535e+02  +3.3545e+03 +3.0215e+03  +9.0932e+05 -1.4565e+06  +2.1759e+07 +3.2339e+07  +8.1254e+11 -1.0666e+10  -1.9693e+11 +2.8621e+10  +7.2105e+12 +1.3778e+13  +9.0112e+14 +2.2635e+15  -1.7702e+19 -1.0412e+17  -1.3112e+19 +7.9277e+18
+007.9958 -5.6627e-06 -3.1261e-06  +3.0020e-01 -2.1901e-04  +2.8488e-03 +8.1610e-05  +2.6631e-02 -7.7675e-02  +4.0947e-01 -3.6297e+00  -4.1409e+03 +4.8112e+02  +8.2848e+03 +1.0072e+04  -7.3422e+05 -9.0005e+05  +4.2938e+07 +3.0413e+07  +1.0619e+12 -1.8054e+10  +4.2414e+11 +2.5562e+11  -2.8138e+13 +5.5180e+13  +3.3968e+15 +3.8283e+15  -2.2328e+19 +1.0616e+17  -3.3389e+18 +3.1296e+18
+009.9959 -5.5624e-06 -3.3045e-06  +3.6959e-01 -2.6533e-04  +3.6218e-03 +7.9668e-04  +6.2867e-02 -8.7624e-02  +2.1540e+00 -3.5888e+00  -6.1066e+03 +6.7676e+02  +1.0384e+04 -6.2873e+03  -6.2454e+05 -1.3617e+06  -9.2429e+07 +8.5304e+07  +1.3166e+12 -1.4897e+10  -4.2239e+11 -5.8770e+11  -3.0365e+13 -1.2646e+13  -6.6565e+15 +4.1485e+15  -2.7963e+19 +1.2325e+17  -4.6287e+19 -1.5891e+19
+029.9957 -4.2247e-06 -5.2210e-06  +1.0776e+00 -7.2866e-04  +1.2762e-02 +7.4277e-03  +2.9553e-01 -2.9028e-01  +4.0846e+00 -8.6342e+00  -2.2595e+04 +2.0715e+03  +2.8186e+04 -1.0992e+04  -5.9960e+05 -2.0884e+06  +1.7021e+06 -4.3444e+07  +3.8676e+12 -5.3061e+10  -6.2189e+11 -2.4010e+10  +3.9787e+13 +1.1569e+14  -2.6048e+15 +1.9300e+15  -8.1543e+19 -4.7381e+15  -1.2264e+19 -1.0315e+19
+049.9945 -3.0201e-06 -7.1374e-06  +1.7958e+00 -1.2041e-03  +2.1561e-02 +1.4316e-02  +5.5667e-01 -5.1261e-01  +8.5592e+00 -1.5661e+01  -3.4519e+04 +3.1849e+03  +3.9718e+04 -2.9625e+04  -1.6967e+06 -2.8856e+06  +2.1861e+08 -1.0177e+08  +6.4416e+12 -1.0166e+11  -1.2962e+12 -5.8639e+11  +1.0751e+14 +1.6788e+14  +5.8843e+15 +9.9032e+13  -1.3650e+20 -1.6789e+17  -6.8435e+18 -3.3644e+19
+069.9943 -2.0493e-06 -9.2597e-06  +2.5144e+00 -1.6794e-03  +2.9371e-02 +2.2191e-02  +8.1043e-01 -7.2163e-01  +9.1936e+00 -2.2092e+01  -4.7052e+04 +4.8637e+03  +4.8560e+04 -5.0268e+04  -2.8270e+06 -3.3646e+06  +1.6672e+08 -9.9739e+06  +9.0199e+12 -1.3239e+11  -1.9169e+12 +2.7566e+11  +9.7375e+13 +2.6038e+14  +8.4239e+14 +3.9672e+15  -1.9062e+20 +2.7599e+17  +3.5086e+18 +1.6097e+19
+089.9983 -1.3193e-06 -1.1374e-05  +3.2294e+00 -2.1621e-03  +3.6347e-02 +2.9152e-02  +1.1304e+00 -9.7713e-01  +7.2264e+00 -3.5891e+01  -5.9893e+04 +6.3859e+03  +5.0742e+04 -1.2384e+05  -3.2658e+06 -5.0079e+06  +6.1917e+07 -3.9564e+08  +1.1570e+13 -1.7689e+11  -3.0902e+12 -1.3407e+12  -4.5801e+13 +4.3510e+14  -7.8587e+15 -3.2747e+15  -2.4589e+20 +8.2544e+17  -1.4540e+19 -3.3304e+19
+109.9971 -1.1094e-06 -1.3018e-05  +3.9362e+00 -2.6351e-03  +4.1990e-02 +3.6376e-02  +1.2812e+00 -1.1867e+00  +1.1017e+01 -3.7114e+01  -7.4982e+04 +8.4532e+03  +8.5923e+04 -8.3995e+04  -4.2685e+06 -3.6438e+06  +3.2152e+08 -1.7654e+07  +1.4108e+13 -2.1527e+11  -2.2407e+12 +6.4221e+11  +1.5140e+14 +5.2444e+14  -1.0337e+14 +4.1380e+15  -2.9820e+20 -1.4304e+17  +1.9921e+19 -1.6568e+19
