# HEADER
# ======
# label             si-quadrupole-q14-qdp1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     1 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.9704e-06 -3.3348e-06  +2.6940e-02 -3.9617e-05  +1.3552e-03 +1.4045e-03  -9.0938e-02 +1.2218e-01  +3.3548e+00 +1.1581e-01  +3.5465e+03 -5.3703e+01  -3.6628e+04 -7.6937e+03  -6.5800e+05 +8.5790e+05  -5.4667e+07 -4.8312e+07  +6.4802e+10 +7.9782e+09  -1.0899e+12 -1.2598e+12  -4.7772e+13 +4.4969e+13  +8.2772e+15 -4.6235e+15  -6.9798e+17 +5.1564e+17  -2.0267e+19 -3.3272e+19  
+001.9950 -6.2446e-06 -3.5159e-06  +9.4655e-02 -8.5125e-05  +2.5294e-03 +1.7174e-03  -6.6495e-02 +6.7728e-03  +1.2007e+00 +6.4217e-01  +1.7758e+03 +1.5580e+01  -1.6302e+04 +5.2567e+03  -3.7949e+05 +1.1350e+06  -3.8959e+07 -1.7866e+07  +3.1469e+11 -4.1430e+09  -1.6308e+11 +6.0352e+09  +6.8245e+12 +6.1052e+13  +2.9116e+15 -3.3035e+14  -6.8617e+18 -1.2861e+17  -2.4316e+19 +2.6922e+18  
+003.9979 -6.5200e-06 -3.6978e-06  +1.6264e-01 -1.3081e-04  +3.7082e-03 +2.0315e-03  -4.1955e-02 -1.0910e-01  -9.6202e-01 +1.1706e+00  -1.9656e+00 +8.5138e+01  +4.1042e+03 +1.8259e+04  -9.9870e+04 +1.4131e+06  -2.3189e+07 +1.2701e+07  +5.6556e+11 -1.6312e+10  +7.6739e+11 +1.2769e+12  +6.1639e+13 +7.7199e+13  -2.4753e+15 +3.9798e+15  -1.3050e+19 -7.7542e+17  -2.8381e+19 +3.8799e+19  
+005.9970 -6.6996e-06 -3.7056e-06  +2.3111e-01 -1.8833e-04  +4.0668e-03 +1.9603e-03  -2.4110e-02 -6.5399e-02  +2.3046e+00 -1.1565e+00  -2.3688e+03 +3.0910e+02  -1.3644e+03 -1.8252e+03  +1.1701e+05 -3.3985e+05  +2.4349e+07 -7.0611e+07  +8.0954e+11 -8.1049e+09  +1.9585e+11 +3.0685e+11  +3.8019e+13 +3.1919e+13  -3.7924e+15 +2.8849e+15  -1.7138e+19 -4.2610e+17  -2.2935e+19 +2.2127e+19  
+007.9955 -6.9275e-06 -3.8355e-06  +3.0004e-01 -2.4135e-04  +5.0134e-03 +2.1642e-03  +2.2817e-02 -7.3544e-02  +2.3975e+00 +5.1785e-02  -4.1530e+03 +1.5699e+02  +2.3667e+03 -1.4314e+04  -3.1970e+05 -1.1862e+06  +1.0537e+08 -3.6574e+07  +1.0657e+12 -1.6830e+10  +7.3441e+10 +5.5996e+10  +7.4506e+13 +3.3222e+13  +7.1120e+15 +3.0694e+15  -2.2043e+19 -3.9131e+17  -6.6598e+18 +3.6619e+18  
+009.9956 -7.1930e-06 -3.8084e-06  +3.6942e-01 -2.9347e-04  +5.5416e-03 +2.3918e-03  +4.7992e-02 -5.7458e-02  +1.2442e+00 +8.7807e-02  -6.3054e+03 +4.1702e+02  +9.2727e+03 -2.4744e+03  +1.3967e+06 -5.4663e+04  +8.1207e+07 +9.9740e+06  +1.3151e+12 -4.6637e+09  +1.6546e+11 -1.7920e+10  +8.8787e+13 +1.7732e+13  +6.4573e+15 +3.4303e+15  -2.7649e+19 +1.4759e+17  -3.3707e+19 -4.4593e+19  
+029.9957 -9.3295e-06 -4.2162e-06  +1.0776e+00 -8.3976e-04  +1.4920e-02 +3.6275e-03  +3.1387e-01 -2.3874e-01  -4.5401e-01 -3.9754e+00  -2.2512e+04 +1.1378e+03  +3.8256e+03 -2.1448e+04  -8.7585e+05 -2.6254e+06  +5.7955e+07 -2.8217e+08  +3.8607e+12 -3.9729e+10  -7.7361e+11 +1.9894e+11  -1.9385e+13 +9.7448e+13  -3.1428e+15 -2.1398e+15  -8.1245e+19 -9.2061e+17  -3.9654e+19 +1.7854e+19  
+049.9947 -1.1343e-05 -5.1570e-06  +1.7959e+00 -1.3891e-03  +2.4678e-02 +7.2506e-03  +5.9725e-01 -4.0682e-01  -2.8632e-01 +5.4978e-02  -3.4661e+04 +2.3817e+03  +8.3067e+03 +9.4837e+02  -5.9495e+04 -3.1907e+06  +7.4839e+07 -7.6054e+07  +6.4290e+12 -6.1695e+10  -4.7015e+11 +7.6627e+11  +1.2082e+14 +2.0252e+14  +4.4861e+15 +5.2834e+15  -1.3615e+20 -1.2696e+18  -4.4546e+19 -1.6283e+19  
+069.9941 -1.3332e-05 -6.6214e-06  +2.5148e+00 -1.9437e-03  +3.4849e-02 +1.2064e-02  +8.4715e-01 -5.6999e-01  -2.2775e+00 -1.8393e+00  -4.6938e+04 +3.5358e+03  +2.2028e+04 -2.1237e+04  -1.7775e+06 -3.6740e+06  +3.5712e+07 -1.2949e+08  +9.0078e+12 -8.7772e+10  -7.0723e+11 +1.9838e+11  +1.4744e+14 +2.8059e+14  +3.1306e+15 +9.1758e+14  -1.9010e+20 -1.5937e+18  -7.9832e+19 -2.4291e+19  
+089.9970 -1.5396e-05 -8.6715e-06  +3.2299e+00 -2.4958e-03  +4.4090e-02 +1.8827e-02  +1.1412e+00 -7.7957e-01  -5.9564e+00 -6.6148e+00  -5.9881e+04 +4.8620e+03  +4.6444e+04 -5.3275e+04  -3.4898e+06 -4.0457e+06  +3.1649e+07 -1.4804e+08  +1.1581e+13 -1.1911e+11  -1.2378e+12 +1.0334e+12  +2.5400e+14 +4.0796e+14  -2.0783e+15 +1.3920e+16  -2.4399e+20 -2.0065e+18  -2.9449e+19 -3.3536e+19  
+109.9968 -1.7820e-05 -1.1186e-05  +3.9374e+00 -3.0507e-03  +5.1636e-02 +2.7890e-02  +1.4277e+00 -9.3147e-01  -5.5830e+00 -1.0579e+01  -7.4843e+04 +6.0896e+03  +3.0631e+04 -7.7072e+04  -3.7255e+06 -4.9983e+06  +1.1578e+08 -4.2224e+07  +1.4101e+13 -1.2630e+11  -4.0918e+11 +6.8968e+11  +2.7787e+14 +5.8186e+14  +1.3391e+15 +1.1797e+16  -2.9850e+20 -2.2512e+18  -7.4006e+19 -9.8760e+19  
