# HEADER
# ======
# label             si-quadrupole-q14-qdp2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling_factor  0.99899
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 -6.1677e-06 -3.0193e-06  +2.7166e-02 -4.3489e-05  +1.4722e-04 -7.1376e-05  -7.6764e-02 +7.9524e-02  +2.1743e+00 -6.6732e-01  +4.0807e+03 -8.4510e+01  -2.7908e+04 +1.6522e+04  -5.8836e+05 +1.4919e+06  -1.3420e+08 +5.2381e+07  +7.2568e+10 +2.5789e+09  -1.4190e+12 +3.1413e+11  +3.1562e+13 +9.9669e+13  -7.3701e+15 -7.3401e+14  -1.7876e+18 -1.2791e+16  -6.7028e+19 +1.3678e+19
+001.9950 -6.0972e-06 -3.2239e-06  +9.4938e-02 -9.5145e-05  +1.6245e-03 +2.3187e-04  -5.0477e-02 -9.6161e-03  +6.2595e-01 -7.1522e-01  +1.9643e+03 +5.5202e+01  -5.1279e+03 +2.7883e+03  -2.3580e+05 +4.6197e+05  -3.2631e+07 -1.1537e+07  +3.1757e+11 +3.6861e+08  -4.9185e+11 +1.9205e+11  +1.9142e+13 +5.7316e+13  -2.1199e+15 -1.4480e+15  -7.1639e+18 -1.8216e+17  -3.4276e+19 +1.4089e+19
+003.9976 -6.0265e-06 -3.4292e-06  +1.6297e-01 -1.4700e-04  +3.1075e-03 +5.3626e-04  -2.4091e-02 -9.9095e-02  -9.2831e-01 -7.6330e-01  -1.6001e+02 +1.9545e+02  +1.7739e+04 -1.0997e+04  +1.1811e+05 -5.7185e+05  +6.9319e+07 -7.5697e+07  +5.6351e+11 -1.8500e+09  +4.3882e+11 +6.9511e+10  +6.6750e+12 +1.4802e+13  +3.1503e+15 -2.1647e+15  -1.2561e+19 -3.5216e+17  -1.4004e+18 +1.4501e+19
+005.9967 -5.9813e-06 -3.6872e-06  +2.3149e-01 -2.0846e-04  +3.6891e-03 +8.3584e-04  +2.0438e-02 -8.4125e-02  +6.7163e-01 -2.0547e+00  -2.2135e+03 +2.5666e+02  +1.4543e+04 +5.6038e+03  +3.1213e+05 -7.2512e+05  -2.5950e+07 -5.8935e+07  +8.1219e+11 -1.7919e+09  +7.6967e+10 +4.3966e+11  +4.5298e+13 +5.3073e+12  -1.7604e+14 +1.7336e+15  -1.7460e+19 -1.6223e+17  -1.2597e+19 -5.9829e+18
+007.9956 -5.8904e-06 -3.9586e-06  +3.0045e-01 -2.6359e-04  +4.6464e-03 +1.3127e-03  +5.3282e-02 -6.3528e-02  +9.9366e-01 -2.7123e+00  -4.2592e+03 +2.8176e+02  -7.2114e+03 -1.4309e+03  -6.5484e+05 -1.5424e+06  -2.2315e+06 -7.1838e+07  +1.0613e+12 -3.3412e+08  -1.9569e+11 -3.3486e+10  +8.1115e+13 -4.7317e+13  -1.6425e+15 -3.9531e+15  -2.2124e+19 +6.5210e+16  +1.2519e+19 -9.8351e+18
+009.9959 -5.8588e-06 -4.2424e-06  +3.6984e-01 -3.1934e-04  +5.7207e-03 +1.8012e-03  +1.0674e-01 -6.4385e-02  +1.9615e+00 -1.7430e+00  -6.2824e+03 +3.5676e+02  +8.2064e+03 +3.7880e+03  +9.2875e+05 -9.7070e+05  +5.7754e+07 +2.6436e+07  +1.3126e+12 -1.2308e+10  -2.4872e+11 -6.5579e+10  -4.8981e+12 -2.4019e+13  -2.6917e+15 +7.0974e+15  -2.7757e+19 -7.1921e+17  -1.3504e+19 +3.0051e+18
+029.9955 -4.5067e-06 -7.3598e-06  +1.0779e+00 -9.0777e-04  +1.8313e-02 +6.7452e-03  +4.8801e-01 -2.0278e-01  +5.8820e+00 -4.5567e+00  -2.2387e+04 +1.0394e+03  +2.2781e+04 -8.1651e+03  -3.2590e+05 -2.6521e+06  -2.6099e+07 -7.4930e+07  +3.8628e+12 -1.5861e+10  -9.4399e+11 -4.9673e+11  +6.9313e+13 +5.6720e+13  +1.7145e+15 +3.9296e+15  -8.1755e+19 -9.6447e+17  +3.7829e+19 -9.2254e+17
+049.9944 -2.7155e-06 -1.0516e-05  +1.7961e+00 -1.5069e-03  +3.1653e-02 +1.2135e-02  +8.8177e-01 -3.6290e-01  +1.3321e+01 -7.8304e+00  -3.4467e+04 +2.1191e+03  +5.2664e+04 +1.8775e+03  -1.5243e+06 -3.7766e+06  -5.5416e+07 -8.0462e+07  +6.4405e+12 -3.8213e+10  -1.3201e+12 -6.4923e+11  +8.0284e+13 +2.0640e+14  +1.3935e+15 +9.6038e+15  -1.3677e+20 -1.6236e+18  +1.1021e+19 +9.7081e+18
+069.9941 -6.0057e-07 -1.3564e-05  +2.5149e+00 -2.1076e-03  +4.6787e-02 +1.7536e-02  +1.2858e+00 -5.1904e-01  +1.9075e+01 -9.1229e+00  -4.6745e+04 +2.9681e+03  +7.5874e+04 -2.4671e+03  -2.6418e+06 -4.1874e+06  -5.1534e+07 -7.9617e+07  +9.0232e+12 -5.9929e+10  -2.0290e+12 -5.1212e+11  +1.0767e+14 +3.1127e+14  +4.6242e+15 +8.2096e+15  -1.9064e+20 -1.7748e+18  +2.5637e+19 +1.6873e+19
+089.9969 +2.2633e-06 -1.6350e-05  +3.2300e+00 -2.7061e-03  +6.4012e-02 +2.1648e-02  +1.6692e+00 -7.0163e-01  +2.6380e+01 -1.1315e+01  -5.9776e+04 +4.0257e+03  +8.9713e+04 +4.3116e+03  -4.6920e+06 -6.1108e+06  -1.9956e+08 -1.8011e+08  +1.1575e+13 -7.7679e+10  -3.1067e+12 -7.5292e+11  +1.7843e+14 +3.1462e+14  +5.3936e+15 +9.1850e+15  -2.4519e+20 -3.0157e+18  -1.2653e+18 +3.6737e+19
+109.9967 +5.6976e-06 -1.8763e-05  +3.9376e+00 -3.3035e-03  +8.2956e-02 +2.5133e-02  +2.0649e+00 -9.1022e-01  +3.7789e+01 -1.2243e+01  -7.4718e+04 +4.9701e+03  +9.2305e+04 -1.1242e+04  -3.7100e+06 -5.4352e+06  -1.6033e+08 -1.7270e+08  +1.4114e+13 -8.8047e+10  -4.7847e+12 -1.6354e+12  +2.7957e+14 +4.1387e+14  +1.1892e+16 +1.5130e+16  -2.9892e+20 -3.5290e+18  +2.8519e+19 +3.2557e+19
