# HEADER
# ======
# label             si-quadrupole-q20-q1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     1 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 +4.7431e-06 +3.6764e-06  -3.7013e-02 +4.6872e-06  -7.7692e-04 -4.0979e-03  +1.9430e-02 +4.4833e-02  -3.1757e+00 +5.7055e+00  -3.0336e+03 -1.7295e+02  +1.3610e+03 +4.1829e+03  -2.1379e+06 +2.4036e+05  +1.4484e+08 +6.9263e+07  -1.0022e+11 -3.0049e+09  +3.3125e+11 +2.6036e+11  +4.0624e+12 -4.9445e+13  -2.9144e+15 +3.1072e+15  +3.9198e+18 +1.1455e+17  +2.2639e+19 -3.2246e+19  
+001.9953 +5.3621e-06 +4.0382e-06  -1.4961e-01 -2.0812e-05  -2.4692e-03 -4.8597e-03  -1.0307e-01 +5.4971e-02  -4.0922e+00 +6.8428e+00  +2.5233e+03 -4.7318e+02  -4.9225e+03 +9.6808e+01  -7.6729e+05 +5.8328e+05  +1.1474e+08 +5.6033e+07  -5.6304e+11 +8.6541e+09  -4.2840e+10 +1.1411e+11  +1.0445e+13 -4.8032e+13  -3.0045e+15 +9.5188e+14  +1.2287e+19 -3.8210e+16  +1.2432e+18 -1.6696e+19  
+003.9980 +5.9834e-06 +4.4013e-06  -2.6264e-01 -4.6406e-05  -4.1679e-03 -5.6244e-03  -2.2603e-01 +6.5147e-02  -5.0122e+00 +7.9844e+00  +8.1009e+03 -7.7453e+02  -1.1230e+04 -4.0045e+03  +6.0841e+05 +9.2748e+05  +8.4523e+07 +4.2753e+07  -1.0276e+12 +2.0357e+10  -4.1833e+11 -3.2682e+10  +1.6851e+13 -4.6615e+13  -3.0950e+15 -1.2115e+15  +2.0686e+19 -1.9154e+17  -2.0232e+19 -1.0874e+18  
+005.9973 +6.6085e-06 +4.7546e-06  -3.7630e-01 -7.2503e-05  -5.8500e-03 -6.3169e-03  -3.6903e-01 +1.0110e-01  -4.9677e+00 +7.2579e+00  +1.3538e+04 -1.0967e+03  -1.0911e+04 -9.2293e+03  +1.9715e+05 -1.0149e+05  +9.1232e+07 +1.2457e+07  -1.4625e+12 +2.8239e+10  +3.3464e+11 -2.2427e+11  -3.5407e+12 +2.6939e+13  -4.3470e+15 -4.0199e+15  +2.9934e+19 -4.1315e+17  +2.0715e+18 +1.7667e+17  
+007.9963 +7.2382e-06 +5.1418e-06  -4.9060e-01 -9.6785e-05  -7.4928e-03 -7.0283e-03  -5.0073e-01 +1.5501e-01  -6.4561e+00 +9.2551e+00  +1.8890e+04 -1.3850e+03  -8.1313e+03 -3.3301e+03  +1.2201e+05 -7.2368e+05  +1.8273e+08 +1.2576e+08  -1.9233e+12 +3.3408e+10  +2.8367e+11 +4.2069e+11  +2.0642e+13 -2.1968e+13  -3.1147e+15 +6.0931e+14  +3.8928e+19 -6.9653e+17  +9.8951e+18 +1.3501e+19  
+009.9964 +7.8415e-06 +5.5381e-06  -6.0551e-01 -1.2225e-04  -9.1859e-03 -7.8144e-03  -6.5809e-01 +1.8331e-01  -7.0657e+00 +1.0053e+01  +2.4222e+04 -1.7414e+03  -1.1712e+04 +2.9459e+03  +2.3826e+05 -1.5990e+05  +2.0017e+08 +1.2327e+08  -2.3815e+12 +4.3295e+10  -2.4164e+11 +1.4778e+11  +1.2724e+13 -6.5531e+13  -4.5295e+15 +1.2317e+15  +4.8063e+19 -1.0227e+18  +2.5426e+18 +1.0018e+19  
+029.9962 +1.3823e-05 +1.0132e-05  -1.7745e+00 -3.8324e-04  -2.7569e-02 -1.8356e-02  -2.0038e+00 +4.8699e-01  -1.6314e+01 +1.8110e+01  +7.1708e+04 -5.2647e+03  -4.1224e+04 +1.7510e+04  +2.1817e+06 +7.7333e+05  +4.4533e+08 +1.8741e+08  -6.9822e+12 +1.5057e+11  +6.3575e+11 -2.8446e+11  -2.0891e+13 -1.9946e+14  -9.4823e+15 -6.5419e+15  +1.4180e+20 -2.6177e+18  +9.0748e+18 +1.9398e+19  
+049.9949 +1.9732e-05 +1.5331e-05  -2.9577e+00 -6.3922e-04  -4.6381e-02 -3.1640e-02  -3.3894e+00 +8.3184e-01  -2.5618e+01 +2.8026e+01  +1.1558e+05 -9.2261e+03  -6.5900e+04 +3.0236e+04  +4.3881e+06 +1.7953e+06  +6.7955e+08 +2.2560e+08  -1.1629e+13 +2.5454e+11  +1.5290e+12 -8.4215e+11  -5.2936e+10 -3.3825e+14  -2.0289e+16 -1.4384e+16  +2.3553e+20 -4.3122e+18  +1.4029e+19 +5.5446e+19  
+069.9955 +2.5707e-05 +2.0514e-05  -4.1425e+00 -8.8016e-04  -6.4769e-02 -4.5427e-02  -4.7233e+00 +1.1828e+00  -3.4716e+01 +3.7966e+01  +1.6031e+05 -1.3721e+04  -1.0073e+05 +4.8184e+04  +6.1272e+06 +3.3145e+06  +9.5507e+08 +4.0889e+08  -1.6288e+13 +3.5247e+11  +2.5410e+12 -1.5313e+12  -6.6057e+13 -4.5504e+14  -2.4738e+16 -1.4946e+16  +3.2959e+20 -5.8255e+18  -3.4207e+18 +4.8396e+19  
+089.9988 +3.1622e-05 +2.5257e-05  -5.3236e+00 -1.1092e-03  -8.2868e-02 -5.8462e-02  -6.0174e+00 +1.5245e+00  -4.3649e+01 +4.9387e+01  +2.0675e+05 -1.8705e+04  -1.3838e+05 +7.1162e+04  +8.1940e+06 +5.3468e+06  +1.1437e+09 +5.4455e+08  -2.0936e+13 +4.5031e+11  +2.2571e+12 -1.5396e+12  -9.5871e+13 -6.3085e+14  -3.0026e+16 -2.0134e+16  +4.2387e+20 -8.1999e+18  +2.0946e+19 +1.0155e+20  
+109.9970 +3.7250e-05 +2.9109e-05  -6.4932e+00 -1.3125e-03  -1.0137e-01 -6.9108e-02  -7.2402e+00 +1.8797e+00  -5.2402e+01 +5.7006e+01  +2.5470e+05 -2.4376e+04  -1.8539e+05 +9.1213e+04  +9.4635e+06 +7.2818e+06  +1.4109e+09 +5.5399e+08  -2.5527e+13 +5.3525e+11  +4.1642e+12 -1.3385e+12  -1.8179e+14 -8.7563e+14  -3.5068e+16 -2.5169e+16  +5.1725e+20 -9.7890e+18  +8.4555e+18 +1.0966e+20  
