# HEADER
# ======
# label             si-quadrupole-q20-q2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling factor  1.00268
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +5.0195e-06 +2.0368e-06  -3.8989e-02 +1.3729e-05  +2.4696e-04 +1.0555e-03  +2.9610e-02 +3.8370e-02  -2.8450e+00 +2.5392e+00  -2.9918e+03 -1.2713e+02  -1.5617e+03 -1.6345e+04  -7.0283e+05 -5.4299e+05  +5.0321e+07 +7.3919e+07  -1.2070e+11 +3.1002e+09  -6.9908e+10 -1.2516e+11  +2.4179e+13 -6.7690e+13  -3.4140e+15 +2.3459e+15  +3.3503e+18 +3.0974e+17  +7.6715e+18 -2.8992e+19
+001.9949 +5.7851e-06 +2.5919e-06  -1.5097e-01 -1.0764e-07  -1.4713e-03 -7.9128e-04  -8.7560e-02 +5.1520e-02  -3.2536e+00 +4.3704e+00  +2.5391e+03 -4.4708e+02  -2.0682e+03 -9.6953e+03  -2.0092e+05 +2.6184e+05  +7.1796e+07 +7.2294e+07  -5.6423e+11 +5.7654e+09  -2.0652e+11 +8.4165e+10  +1.5184e+13 -3.8290e+13  -2.8604e+15 +4.1285e+14  +1.1933e+19 +7.4170e+16  +3.8338e+18 -8.5968e+18
+003.9976 +6.5538e-06 +3.1491e-06  -2.6338e-01 -1.3998e-05  -3.1963e-03 -2.6453e-03  -2.0519e-01 +6.4722e-02  -3.6639e+00 +6.2089e+00  +8.0918e+03 -7.6829e+02  -2.5768e+03 -3.0192e+03  +3.0296e+05 +1.0698e+06  +9.3356e+07 +7.0663e+07  -1.0095e+12 +8.4411e+09  -3.4366e+11 +2.9431e+11  +6.1530e+12 -8.7739e+12  -2.3046e+15 -1.5278e+15  +2.0550e+19 -1.6233e+17  -1.8893e+16 +1.1878e+19
+005.9968 +7.3240e-06 +3.6941e-06  -3.7660e-01 -2.7207e-05  -4.8196e-03 -4.4521e-03  -3.1283e-01 +9.2656e-02  -3.6086e+00 +8.2011e+00  +1.3411e+04 -1.1363e+03  -6.2333e+02 -5.1752e+03  +2.3161e+05 -1.3998e+05  +1.6081e+08 +5.6818e+07  -1.4502e+12 +1.8355e+10  -2.9954e+11 -1.7114e+11  +3.0033e+13 +1.8409e+13  -3.4960e+15 -2.1631e+15  +2.9464e+19 -2.4677e+17  +5.4352e+18 -1.8639e+18
+007.9958 +8.1373e-06 +4.2446e-06  -4.9055e-01 -4.0897e-05  -6.5194e-03 -6.3206e-03  -4.1898e-01 +1.4744e-01  -3.7256e+00 +9.2388e+00  +1.8692e+04 -1.4495e+03  -6.2119e+03 -5.3173e+03  -2.3418e+05 -6.4882e+05  +1.8284e+08 +1.1039e+08  -1.9020e+12 +2.6779e+10  -3.8387e+11 -4.1114e+11  +1.8039e+13 -5.3920e+13  -3.7991e+15 -3.0272e+15  +3.8288e+19 -2.5315e+17  +1.4049e+19 +6.0189e+18
+009.9959 +8.9720e-06 +4.8005e-06  -6.0515e-01 -5.4321e-05  -8.0181e-03 -7.8690e-03  -5.3481e-01 +1.7129e-01  -4.6244e+00 +1.1562e+01  +2.3854e+04 -1.7758e+03  -5.5012e+03 +6.7355e+03  +4.8265e+05 +4.4925e+05  +1.1015e+08 +5.1810e+07  -2.3510e+12 +3.4762e+10  -3.4829e+10 -4.1446e+11  -1.3343e+13 -4.9625e+13  -1.0620e+16 -5.4878e+15  +4.7543e+19 -2.9793e+17  +8.8668e+18 +1.6668e+19
+029.9957 +1.7416e-05 +1.0180e-05  -1.7724e+00 -1.9079e-04  -2.3637e-02 -2.5590e-02  -1.6502e+00 +4.4451e-01  -9.7274e+00 +2.8397e+01  +7.0526e+04 -5.1602e+03  -1.8712e+04 +3.4246e+04  +2.7080e+06 +1.5270e+06  +4.7685e+08 +1.5072e+08  -6.9096e+12 +1.1592e+11  +2.4411e+11 -1.0144e+12  -2.2702e+13 -1.9376e+14  -1.3713e+16 -5.7809e+15  +1.3974e+20 -1.1801e+18  +2.1860e+19 +4.3908e+19
+049.9944 +2.5564e-05 +1.5353e-05  -2.9549e+00 -3.2691e-04  -4.0727e-02 -4.3059e-02  -2.7650e+00 +7.3063e-01  -1.6334e+01 +4.3280e+01  +1.1368e+05 -8.7460e+03  -3.1535e+04 +7.0604e+04  +3.8384e+06 +3.2155e+06  +8.2846e+08 +2.1826e+08  -1.1514e+13 +2.0171e+11  +2.6988e+11 -1.4951e+12  -5.9364e+13 -3.1674e+14  -2.5327e+16 -9.8883e+15  +2.3253e+20 -2.0358e+18  +5.2824e+19 +5.6899e+19
+069.9948 +3.3345e-05 +2.0305e-05  -4.1387e+00 -4.5668e-04  -5.8676e-02 -6.0528e-02  -3.8858e+00 +1.0630e+00  -2.2579e+01 +5.9886e+01  +1.5801e+05 -1.2595e+04  -4.6204e+04 +1.0539e+05  +6.0351e+06 +4.3433e+06  +1.1108e+09 +2.7195e+08  -1.6130e+13 +2.7786e+11  +4.5810e+11 -2.3763e+12  -6.7239e+13 -4.1448e+14  -3.6523e+16 -1.3541e+16  +3.2585e+20 -2.9478e+18  +8.5236e+19 +7.5584e+19
+089.9984 +4.0582e-05 +2.4787e-05  -5.3175e+00 -5.7728e-04  -7.8171e-02 -7.7320e-02  -4.9338e+00 +1.3940e+00  -2.9779e+01 +7.6451e+01  +2.0401e+05 -1.6824e+04  -4.1466e+04 +1.4518e+05  +7.2584e+06 +6.3646e+06  +1.4898e+09 +2.6833e+08  -2.0721e+13 +3.6816e+11  +1.0411e+12 -2.7781e+12  -3.1834e+13 -4.9960e+14  -4.5528e+16 -1.8232e+16  +4.1870e+20 -3.6715e+18  +7.6733e+19 +1.1949e+20
+109.9965 +4.7212e-05 +2.8849e-05  -6.4823e+00 -6.8981e-04  -9.8860e-02 -9.3390e-02  -5.9094e+00 +1.7206e+00  -3.6088e+01 +9.0679e+01  +2.5167e+05 -2.1049e+04  -4.2602e+04 +1.7046e+05  +9.2541e+06 +8.3768e+06  +1.6251e+09 +2.9704e+08  -2.5236e+13 +4.4309e+11  +8.7821e+11 -3.2538e+12  -1.6089e+14 -6.7506e+14  -4.8252e+16 -2.1372e+16  +5.1022e+20 -4.4503e+18  +7.2958e+19 +1.2053e+20
+129.9958 +5.3541e-05 +3.2254e-05  -7.6259e+00 -7.9854e-04  -1.1959e-01 -1.0787e-01  -6.7851e+00 +2.0284e+00  -4.4989e+01 +1.0489e+02  +3.0255e+05 -2.5136e+04  -5.3870e+04 +1.8619e+05  +1.0143e+07 +1.0226e+07  +1.9797e+09 +3.2165e+08  -2.9672e+13 +5.1486e+11  +1.7414e+12 -3.6093e+12  -1.0891e+14 -7.6813e+14  -5.9623e+16 -2.1427e+16  +6.0069e+20 -5.0088e+18  +6.1569e+19 +1.3825e+20
+157.4650 +6.4405e-05 +3.6155e-05  -9.0855e+00 -9.2803e-04  -1.3611e-01 -1.2529e-01  -7.8140e+00 +2.3876e+00  -4.4938e+01 +1.1614e+02  +3.7596e+05 -3.0722e+04  -8.0689e+04 +2.1604e+05  +1.1426e+07 +1.0555e+07  +2.1741e+09 +4.1350e+08  -3.5268e+13 +6.1813e+11  +2.9168e+12 -4.3760e+12  -6.3793e+13 -8.7961e+14  -6.2172e+16 -2.5136e+16  +7.1525e+20 -6.1942e+18  +6.9204e+19 +1.7053e+20

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q20-096 Q20-034 Q20-092 Q20-122 Q20-136 Q20-174 Q20-056 Q20-059 Q20-128 Q20-115
#    Q20-126 Q20-158 Q20-073 Q20-087 Q20-137 Q20-082 Q20-050 Q20-117 Q20-105 Q20-124
#    Q20-120 Q20-118 Q20-134 Q20-135 Q20-068 Q20-098 Q20-072 Q20-175 Q20-178 Q20-104
#    Q20-046 Q20-154 Q20-167 Q20-094 Q20-062 Q20-102 Q20-131 Q20-138 Q20-065 Q20-152
# 5. rescaling factor based on new measurements compared to previous ones
#    === Q20 (055) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-Q1     095.22    -5.61769  -5.61929  -0.028
#    SI-Fam:PS-Q3     108.91    -6.41211  -6.41347  -0.021
#    SI-Fam:PS-QFA    121.00    -7.10513  -7.10563  -0.007
#    SI-Fam:PS-Q4     134.76    -7.88911  -7.88503  +0.052
#    SI-Fam:PS-Q2     148.96    -8.68959  -8.66639  +0.268

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
