# HEADER
# ======
# label             si-quadrupole-q20-q3-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     1 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 +6.0896e-06 +1.9523e-06  -3.8951e-02 +1.4337e-05  +3.5311e-03 +1.7138e-03  +6.4908e-02 +2.8470e-02  -2.7437e+00 +5.4713e-03  -2.9235e+03 -2.4153e+02  -8.9578e+03 -8.4147e+03  -1.2119e+06 -2.3982e+06  +7.4867e+07 -6.1492e+07  -1.1939e+11 -7.2695e+09  -6.8923e+11 +3.7082e+11  -2.9516e+13 -3.4224e+13  -1.1135e+15 -7.0982e+15  +3.4560e+18 +1.8885e+17  -1.3635e+19 -4.3043e+19  
+001.9949 +6.5576e-06 +2.5563e-06  -1.5107e-01 +3.2857e-06  +1.3505e-03 +2.1740e-05  -5.2508e-02 +4.2638e-02  -2.8627e+00 +2.3814e+00  +2.5632e+03 -5.9015e+02  -8.7951e+03 -9.9489e+03  -5.3775e+05 -6.3161e+05  +1.1124e+08 +1.2041e+07  -5.6279e+11 +4.3643e+09  -5.0862e+11 +2.1114e+11  +4.4193e+12 -3.7191e+13  -9.9846e+14 -4.1769e+15  +1.2131e+19 -1.6323e+17  -7.3530e+18 -1.3677e+19  
+003.9976 +7.0275e-06 +3.1628e-06  -2.6363e-01 -7.8089e-06  -8.3867e-04 -1.6770e-03  -1.7039e-01 +5.6862e-02  -2.9821e+00 +4.7667e+00  +8.0716e+03 -9.4015e+02  -8.6319e+03 -1.1489e+04  +1.3906e+05 +1.1420e+06  +1.4776e+08 +8.5864e+07  -1.0079e+12 +1.6044e+10  -3.2731e+11 +5.0841e+10  +3.8489e+13 -4.0170e+13  -8.8296e+14 -1.2440e+15  +2.0841e+19 -5.1670e+17  -1.0462e+18 +1.5805e+19  
+005.9969 +7.6110e-06 +3.7226e-06  -3.7695e-01 -1.8283e-05  -2.8799e-03 -3.2972e-03  -2.6872e-01 +8.6039e-02  -4.0327e+00 +5.5519e+00  +1.3371e+04 -1.2888e+03  -5.5721e+03 -2.8969e+03  +7.2069e+05 -3.8143e+05  +1.2863e+08 +2.1914e+07  -1.4534e+12 +3.0929e+10  +8.6483e+10 +2.0687e+11  +9.6169e+12 -2.0630e+13  -2.7622e+15 -2.2647e+15  +2.9646e+19 -3.4690e+17  +6.2889e+18 +4.1948e+18  
+007.9958 +8.2469e-06 +4.2656e-06  -4.9098e-01 -3.2404e-05  -4.7088e-03 -4.7652e-03  -3.8572e-01 +1.3360e-01  -3.7574e+00 +6.8503e+00  +1.8613e+04 -1.7069e+03  -7.8327e+03 -1.9743e+03  -3.9570e+05 +2.7257e+05  +1.4856e+08 +1.0862e+08  -1.9074e+12 +4.0058e+10  -1.9721e+11 +1.9801e+11  +7.0200e+12 +4.9639e+12  -8.3132e+15 -5.2841e+14  +3.8698e+19 -6.7627e+17  -5.7554e+18 +1.8005e+19  
+009.9959 +8.9299e-06 +4.8135e-06  -6.0566e-01 -4.3838e-05  -6.4806e-03 -6.4315e-03  -5.0241e-01 +1.6275e-01  -5.1992e+00 +5.8814e+00  +2.3810e+04 -2.1448e+03  -9.2475e+03 +9.6279e+03  +8.2541e+05 +1.2013e+06  +2.5113e+08 +7.3086e+07  -2.3594e+12 +4.5401e+10  -1.2129e+11 +2.2238e+11  +3.9638e+13 -5.2615e+13  -1.1455e+15 +9.8334e+14  +4.7868e+19 -7.1567e+17  -1.9145e+19 +4.4764e+18  
+029.9957 +1.6208e-05 +9.5481e-06  -1.7734e+00 -1.6725e-04  -2.2126e-02 -1.9786e-02  -1.5474e+00 +3.8590e-01  -1.1693e+01 +1.6096e+01  +7.0333e+04 -6.1318e+03  -2.2347e+04 +2.9560e+04  +1.5764e+06 +2.9649e+06  +4.6140e+08 +1.5545e+08  -6.9158e+12 +1.5983e+11  +1.5861e+11 -5.4007e+11  +1.2679e+13 -2.1518e+14  -1.2120e+16 -4.9858e+15  +1.4037e+20 -2.2342e+18  +3.8608e+18 +3.0980e+19  
+049.9944 +2.3655e-05 +1.4053e-05  -2.9561e+00 -2.8855e-04  -3.7479e-02 -3.2835e-02  -2.5991e+00 +6.4504e-01  -1.5369e+01 +2.2507e+01  +1.1324e+05 -1.0304e+04  -4.3526e+04 +4.1891e+04  +3.6500e+06 +4.6305e+06  +7.0696e+08 +1.7207e+08  -1.1532e+13 +2.6863e+11  +6.5964e+11 -6.6842e+11  -3.0420e+13 -4.3763e+14  -1.9626e+16 -9.1361e+15  +2.3337e+20 -3.7268e+18  +3.6663e+19 +3.5591e+19  
+069.9949 +3.0944e-05 +1.8518e-05  -4.1403e+00 -4.0027e-04  -5.3356e-02 -4.5739e-02  -3.6216e+00 +9.4365e-01  -2.1383e+01 +2.9964e+01  +1.5734e+05 -1.4688e+04  -5.8009e+04 +7.9288e+04  +3.0388e+06 +6.2130e+06  +1.0173e+09 +3.9041e+08  -1.6160e+13 +3.8108e+11  +9.0955e+11 -9.3698e+11  -2.8419e+13 -5.5293e+14  -2.6371e+16 -9.7085e+15  +3.2683e+20 -5.6081e+18  +2.9703e+19 +3.1389e+19  
+089.9983 +3.7430e-05 +2.2950e-05  -5.3200e+00 -5.0739e-04  -7.1960e-02 -6.0041e-02  -4.6039e+00 +1.2242e+00  -2.8865e+01 +4.0297e+01  +2.0330e+05 -1.9219e+04  -6.6469e+04 +1.1463e+05  +4.9059e+06 +8.5245e+06  +1.3118e+09 +3.7062e+08  -2.0757e+13 +4.7742e+11  +9.9447e+11 -2.0689e+12  -6.4356e+12 -6.8049e+14  -2.9937e+16 -1.4935e+16  +4.2000e+20 -6.6509e+18  +5.1933e+19 +8.9998e+19  
+109.9965 +4.2738e-05 +2.7625e-05  -6.4862e+00 -5.9902e-04  -9.4016e-02 -7.5861e-02  -5.5311e+00 +1.5105e+00  -3.5390e+01 +4.9904e+01  +2.5059e+05 -2.4260e+04  -6.2916e+04 +1.4863e+05  +5.9547e+06 +1.1047e+07  +1.3878e+09 +4.9213e+08  -2.5279e+13 +5.8642e+11  +7.3723e+11 -2.9537e+12  -2.3581e+13 -8.9303e+14  -3.5662e+16 -2.1492e+16  +5.1241e+20 -8.7771e+18  +1.0753e+20 +9.5278e+19  
