# HEADER
# ======
# label             si-quadrupole-q20-q4-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling_factor  1.00052
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +6.1306e-06 +1.8209e-06  -3.9434e-02 +1.2042e-05  +4.2792e-03 +1.9558e-03  +2.8123e-02 +5.0748e-02  +1.1399e+00 +3.4400e+00  -3.0278e+03 -9.9025e+00  -8.3535e+03 -1.3323e+04  -1.3140e+06 -9.3551e+05  +1.0214e+08 +8.4259e+06  -1.1936e+11 -1.7131e+09  -1.1076e+11 +2.5643e+10  +1.6321e+13 -9.8977e+12  +3.9306e+14 -4.9045e+15  +3.2326e+18 +1.4302e+17  +6.4987e+16 -6.7075e+18
+001.9950 +6.8998e-06 +2.2600e-06  -1.5130e-01 -2.9292e-06  +2.1902e-03 +5.3481e-04  -7.1114e-02 +5.3851e-02  -3.6803e-01 +4.5969e+00  +2.3973e+03 -3.8867e+02  -8.4411e+03 -1.0674e+04  -4.5373e+05 -5.3929e+04  +1.1592e+08 +5.1654e+07  -5.6469e+11 +4.7632e+09  -2.3237e+11 +1.2776e+11  +3.3255e+13 -4.2926e+13  -1.9740e+15 -2.3024e+15  +1.1925e+19 +9.5437e+16  -6.5638e+18 -4.6508e+18
+003.9978 +7.6720e-06 +2.7007e-06  -2.6360e-01 -1.7958e-05  +9.3063e-05 -8.9164e-04  -1.7074e-01 +5.6967e-02  -1.8818e+00 +5.7583e+00  +7.8434e+03 -7.6890e+02  -8.5290e+03 -8.0154e+03  +4.0988e+05 +8.3106e+05  +1.2974e+08 +9.5049e+07  -1.0117e+12 +1.1264e+10  -3.5444e+11 +2.3027e+11  +5.0255e+13 -7.6083e+13  -4.3502e+15 +3.0979e+14  +2.0650e+19 +4.7667e+16  -1.3218e+19 -2.5860e+18
+005.9970 +8.4607e-06 +3.1596e-06  -3.7671e-01 -3.3636e-05  -2.0252e-03 -2.4378e-03  -2.8517e-01 +8.9143e-02  -1.5646e+00 +7.7598e+00  +1.3060e+04 -1.1270e+03  -7.9883e+03 -2.7754e+03  -3.0786e+05 +2.8139e+04  +1.5601e+08 +6.3702e+07  -1.4462e+12 +2.0476e+10  +1.0679e+11 +3.1151e+10  +1.3820e+13 -3.9503e+13  -4.0352e+15 -1.1832e+15  +2.9677e+19 -1.5229e+17  -5.4487e+18 -8.8948e+18
+007.9959 +9.2537e-06 +3.6642e-06  -4.9055e-01 -5.0320e-05  -4.1050e-03 -3.7924e-03  -3.8125e-01 +1.2565e-01  -2.8542e+00 +9.3351e+00  +1.8281e+04 -1.4420e+03  -1.2705e+04 -1.5743e+03  -3.1209e+05 -1.7364e+05  +1.7819e+08 +1.0284e+08  -1.8951e+12 +2.9909e+10  -4.0860e+11 +1.9556e+11  -2.8566e+12 -3.2400e+13  -6.3108e+15 -4.0086e+14  +3.8536e+19 -3.8533e+17  -1.8989e+18 +1.7596e+19
+009.9960 +1.0015e-05 +4.1515e-06  -6.0506e-01 -6.6654e-05  -6.1175e-03 -5.5643e-03  -5.0159e-01 +1.5058e-01  -4.0934e+00 +1.0757e+01  +2.3513e+04 -1.8626e+03  -1.4419e+04 -3.6618e+03  +2.1223e+05 +7.6490e+05  +2.4100e+08 +3.7364e+07  -2.3510e+12 +3.3751e+10  -1.2584e+11 -9.2296e+10  +2.5896e+13 -7.6992e+13  -6.4478e+15 -2.8666e+15  +4.7280e+19 -2.2139e+17  +1.4654e+19 +6.1657e+18
+029.9959 +1.8007e-05 +9.2013e-06  -1.7716e+00 -2.3031e-04  -2.6883e-02 -2.1801e-02  -1.5596e+00 +3.7657e-01  -1.2431e+01 +2.7553e+01  +6.9565e+04 -5.4303e+03  -1.2490e+04 +1.9538e+04  +1.3450e+06 +2.7987e+06  +6.5063e+08 +1.2584e+08  -6.8972e+12 +1.2074e+11  +8.0571e+10 -6.2662e+11  +4.6515e+12 -2.1475e+14  -1.8846e+16 -4.2466e+15  +1.3964e+20 -1.2141e+18  +2.3818e+19 +1.6415e+19
+049.9945 +2.6300e-05 +1.3905e-05  -2.9535e+00 -3.9541e-04  -4.7162e-02 -3.7697e-02  -2.6734e+00 +6.3493e-01  -1.7390e+01 +4.4393e+01  +1.1218e+05 -9.0145e+03  -9.9578e+03 +4.3084e+04  +2.4661e+06 +4.9300e+06  +9.7498e+08 +1.4998e+08  -1.1504e+13 +1.9860e+11  +5.1004e+11 -1.0439e+12  -3.8684e+13 -3.8983e+14  -2.7395e+16 -6.9880e+15  +2.3286e+20 -2.0592e+18  +2.8138e+19 +3.9359e+19
+069.9950 +3.4790e-05 +1.8205e-05  -4.1367e+00 -5.4966e-04  -6.6644e-02 -5.2613e-02  -3.7396e+00 +9.1881e-01  -2.4846e+01 +6.0269e+01  +1.5578e+05 -1.3062e+04  -1.0928e+04 +5.8085e+04  +3.1451e+06 +7.6218e+06  +1.3438e+09 +2.0415e+08  -1.6110e+13 +2.8835e+11  +1.1377e+12 -1.4808e+12  -6.9005e+12 -6.0002e+14  -4.1567e+16 -1.3326e+16  +3.2570e+20 -2.9112e+18  +4.1882e+19 +5.9108e+19
+089.9985 +4.3288e-05 +2.1971e-05  -5.3148e+00 -6.9621e-04  -8.5568e-02 -6.7171e-02  -4.7627e+00 +1.1893e+00  -3.1008e+01 +7.5636e+01  +2.0117e+05 -1.7197e+04  -3.1398e+04 +8.4301e+04  +3.6822e+06 +1.0346e+07  +1.6845e+09 +1.9490e+08  -2.0699e+13 +3.6219e+11  +8.4356e+11 -2.4466e+12  -5.2810e+13 -7.9290e+14  -5.3134e+16 -1.2647e+16  +4.1840e+20 -3.5357e+18  +7.4687e+19 +6.7330e+19
+109.9967 +5.1595e-05 +2.5327e-05  -6.4786e+00 -8.3156e-04  -1.0400e-01 -8.0836e-02  -5.7472e+00 +1.4572e+00  -3.3619e+01 +8.9696e+01  +2.4821e+05 -2.1717e+04  -3.9805e+04 +1.0343e+05  +5.1221e+06 +1.3033e+07  +1.9226e+09 +2.3061e+08  -2.5219e+13 +4.3807e+11  +1.2176e+12 -2.1227e+12  -8.0678e+13 -9.5002e+14  -6.0164e+16 -1.7062e+16  +5.1033e+20 -4.0886e+18  +8.6177e+19 +7.4792e+19
