# HEADER
# ======
# label             si-quadrupole-q20-qfa-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling_factor  0.99993
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +3.0253e-06 +3.1280e-06  -4.0398e-02 +1.2881e-05  -7.4163e-03 -2.9821e-03  +7.4209e-02 +2.6410e-02  -5.3891e+00 +5.2915e+00  -2.8563e+03 -1.3812e+02  +2.6517e+04 -9.1232e+03  -6.5769e+05 -1.3225e+06  +1.3781e+08 +5.1705e+07  -1.3075e+11 +4.4946e+09  -7.7761e+10 -2.8656e+10  -4.6131e+13 +2.8114e+13  +1.1278e+16 -4.6706e+15  +3.4270e+18 +2.2287e+17  -2.5690e+19 +5.9408e+18
+001.9948 +4.3451e-06 +3.7866e-06  -1.5223e-01 +3.1628e-06  -7.9280e-03 -4.7958e-03  -4.7416e-02 +4.1267e-02  -5.9194e+00 +6.2713e+00  +2.5647e+03 -4.6834e+02  +2.0071e+04 -4.8036e+03  -3.2594e+05 +2.2672e+04  +1.4887e+08 +3.8393e+07  -5.7049e+11 +6.9116e+09  -2.8891e+11 -2.2290e+10  -1.9129e+13 -5.8305e+12  +3.5710e+15 -4.3814e+15  +1.2077e+19 -6.6173e+16  -1.0956e+19 +1.2986e+17
+003.9975 +5.6702e-06 +4.4478e-06  -2.6451e-01 -6.5947e-06  -8.4417e-03 -6.6168e-03  -1.6953e-01 +5.6183e-02  -6.4519e+00 +7.2551e+00  +8.0075e+03 -7.9989e+02  +1.3599e+04 -4.6668e+02  +7.1473e+03 +1.3733e+06  +1.5998e+08 +2.5027e+07  -1.0120e+12 +9.3383e+09  -5.0091e+11 -1.5899e+10  +7.9812e+12 -3.9911e+13  -4.1665e+15 -4.0911e+15  +2.0763e+19 -3.5638e+17  +3.8368e+18 -5.7043e+18
+005.9967 +7.0461e-06 +5.1140e-06  -3.7760e-01 -1.9043e-05  -8.7892e-03 -8.2933e-03  -3.0445e-01 +8.8525e-02  -4.2790e+00 +9.4644e+00  +1.3232e+04 -1.1753e+03  +9.5531e+03 +1.5675e+03  -7.7502e+04 -1.7855e+05  +2.3172e+08 +8.3221e+07  -1.4591e+12 +2.3175e+10  -6.2194e+11 -1.0323e+11  -3.0225e+13 -4.3090e+13  -6.3504e+15 -3.2739e+15  +2.9714e+19 -1.0486e+17  -8.9597e+18 -2.1380e+18
+007.9957 +8.3713e-06 +5.6161e-06  -4.9142e-01 -2.7878e-05  -9.4324e-03 -9.8326e-03  -4.2679e-01 +1.4103e-01  -7.4105e+00 +7.0971e+00  +1.8458e+04 -1.4875e+03  +5.4383e+03 -5.1514e+02  -3.0651e+04 +9.1700e+04  +1.6873e+08 +1.3798e+08  -1.9092e+12 +3.3043e+10  -1.1222e+11 -3.2363e+10  -2.4812e+13 -2.4630e+13  -8.7201e+15 +2.3680e+15  +3.8407e+19 -3.5933e+17  +1.8317e+19 +2.3930e+18
+009.9958 +9.6641e-06 +6.2081e-06  -6.0591e-01 -4.1729e-05  -1.0110e-02 -1.1383e-02  -5.5098e-01 +1.7339e-01  -6.6333e+00 +9.5460e+00  +2.3575e+04 -2.0438e+03  -2.3353e+03 +2.6017e+03  +1.3384e+06 +1.4734e+05  +2.5228e+08 +6.8467e+07  -2.3508e+12 +2.9695e+10  +5.5967e+09 -4.2292e+11  +9.3890e+12 -4.9787e+13  -5.5596e+15 -3.8028e+15  +4.7473e+19 -8.2442e+17  +2.9916e+19 -1.4042e+19
+029.9956 +2.1585e-05 +1.1879e-05  -1.7725e+00 -1.4956e-04  -2.0692e-02 -2.7371e-02  -1.8255e+00 +4.6398e-01  -1.0941e+01 +1.8319e+01  +6.9822e+04 -5.8245e+03  -2.0681e+04 +4.1411e+04  +3.7412e+06 +3.0182e+06  +5.6689e+08 +1.3269e+08  -6.9134e+12 +1.3456e+11  -2.4736e+11 -9.1296e+10  -1.1210e+14 -1.8073e+14  -1.3506e+16 -4.6325e+15  +1.3976e+20 -1.6687e+18  -3.1491e+18 -3.2677e+19
+049.9943 +3.1946e-05 +1.8237e-05  -2.9549e+00 -2.6825e-04  -3.7632e-02 -4.5903e-02  -3.1365e+00 +7.7476e-01  -1.6399e+01 +2.9072e+01  +1.1271e+05 -9.7202e+03  -1.4087e+04 +5.8769e+04  +6.3493e+06 +4.9350e+06  +1.0295e+09 +2.1341e+08  -1.1518e+13 +2.2450e+11  +1.0059e+11 -2.4150e+11  -2.0913e+14 -3.1157e+14  -2.7391e+16 -4.1661e+15  +2.3216e+20 -2.0815e+18  +2.0341e+19 +5.6022e+18
+069.9947 +4.1495e-05 +2.5416e-05  -4.1389e+00 -3.7730e-04  -5.7242e-02 -6.7339e-02  -4.3939e+00 +1.1241e+00  -2.7165e+01 +4.2170e+01  +1.5661e+05 -1.3799e+04  -1.4043e+03 +1.0327e+05  +9.2077e+06 +3.4715e+06  +1.5415e+09 +2.6333e+08  -1.6134e+13 +3.1805e+11  +3.9152e+11 -6.1964e+11  -9.2599e+13 -3.6479e+14  -3.9193e+16 -1.2560e+16  +3.2510e+20 -3.0702e+18  +4.4044e+19 -1.0553e+19
+089.9982 +5.0195e-05 +3.3726e-05  -5.3176e+00 -4.7583e-04  -7.8599e-02 -9.4060e-02  -5.5574e+00 +1.4673e+00  -3.5560e+01 +5.8543e+01  +2.0224e+05 -1.8283e+04  -9.1704e+03 +1.3008e+05  +1.1348e+07 +5.0456e+06  +1.9355e+09 +2.1938e+08  -2.0731e+13 +3.8791e+11  +1.3500e+11 -1.0456e+12  -1.5166e+14 -4.1610e+14  -4.4717e+16 -6.9884e+15  +4.1804e+20 -3.9369e+18  +5.6788e+19 -1.5281e+19
+109.9962 +5.8272e-05 +4.3214e-05  -6.4821e+00 -5.6302e-04  -1.0204e-01 -1.2530e-01  -6.5839e+00 +1.8211e+00  -4.2988e+01 +7.4097e+01  +2.4967e+05 -2.2663e+04  +1.5533e+04 +2.0050e+05  +1.3590e+07 +7.5816e+06  +2.2193e+09 +5.3857e+08  -2.5259e+13 +4.6258e+11  +5.0853e+11 -1.5668e+12  -1.6202e+14 -5.6221e+14  -5.0559e+16 -1.9830e+16  +5.0924e+20 -3.6997e+18  +8.4656e+19 +5.3623e+19
