# HEADER
# ======
# label             si-quadrupole-q30-qfb-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling factor  0.99839
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 -6.6424e-08 +4.4397e-06  -5.5034e-02 +4.5258e-05  -1.3546e-02 -9.8987e-03  +5.4841e-02 +1.9846e-01  -1.2680e+01 +9.5209e+00  +7.1890e+02 -3.5558e+02  +3.2238e+04 -6.5506e+03  +8.9082e+05 -6.8094e+06  +1.0218e+08 +4.5148e+07  -2.1321e+11 +2.2570e+09  -1.0315e+12 +1.5978e+11  +1.4214e+14 +1.1121e+14  -5.1117e+15 +2.7568e+15  +4.3897e+18 +1.0013e+17  -3.8344e+18 -2.9094e+19
+001.9958 +8.5199e-07 +3.9923e-06  -2.2496e-01 +1.3320e-04  -1.3124e-02 -1.1194e-02  -8.6173e-02 +2.0951e-01  -1.1677e+01 +1.1265e+01  +1.0355e+04 -1.0955e+03  +2.1483e+04 +1.7845e+03  +4.3227e+05 -3.3806e+06  +1.3525e+08 -2.2245e+07  -9.1714e+11 +2.2499e+10  -6.4094e+11 -1.6450e+09  +6.0616e+13 +2.7241e+13  -2.5309e+15 -5.6948e+14  +1.8275e+19 -4.2206e+17  +1.9867e+18 -7.9530e+18
+003.9980 +1.7734e-06 +3.5435e-06  -3.9544e-01 +2.2143e-04  -1.2701e-02 -1.2493e-02  -2.2764e-01 +2.2060e-01  -1.0671e+01 +1.3015e+01  +2.0021e+04 -1.8379e+03  +1.0692e+04 +1.0146e+04  -2.7760e+04 +5.9143e+04  +1.6843e+08 -8.9854e+07  -1.6233e+12 +4.2807e+10  -2.4912e+11 -1.6359e+11  -2.1172e+13 -5.6996e+13  +5.8144e+13 -3.9065e+15  +3.2205e+19 -9.4593e+17  +7.8266e+18 +1.3257e+19
+005.9972 +2.4862e-06 +3.1208e-06  -5.6694e-01 +3.1052e-04  -1.2531e-02 -1.4246e-02  -3.5062e-01 +2.3089e-01  -9.9906e+00 +1.2709e+01  +3.0264e+04 -2.7079e+03  +4.8561e+03 +1.1025e+04  +1.0033e+06 -4.7825e+05  +1.3436e+07 -9.2921e+07  -2.3408e+12 +7.4356e+10  -1.5088e+11 -1.9071e+11  -3.4367e+13 -6.1818e+13  -6.0804e+15 +1.4632e+15  +4.6510e+19 -1.3530e+18  +2.0374e+19 +1.6998e+19
+007.9962 +3.1059e-06 +2.7197e-06  -7.3943e-01 +4.0021e-04  -1.2991e-02 -1.5979e-02  -4.9928e-01 +3.3556e-01  -8.9384e+00 +1.4980e+01  +3.9925e+04 -3.4086e+03  -2.1795e+03 +2.0781e+04  +3.9872e+05 +3.8690e+04  +8.1673e+07 -4.5448e+07  -3.0529e+12 +1.0431e+11  +1.0988e+11 -3.0266e+11  -2.0282e+13 +5.8144e+12  -3.5043e+14 +2.7454e+15  +6.0133e+19 -1.6223e+18  -1.1099e+19 +2.5118e+19
+009.9962 +3.6128e-06 +2.4520e-06  -9.1285e-01 +4.9240e-04  -1.3888e-02 -1.8110e-02  -6.3026e-01 +3.5908e-01  -8.1340e+00 +1.7388e+01  +4.9912e+04 -4.2775e+03  -9.8257e+03 +2.5129e+04  +2.3625e+06 -2.0077e+06  +8.2319e+07 -5.8174e+07  -3.7708e+12 +1.2639e+11  +4.1426e+11 -7.5394e+09  +3.4010e+13 -5.0742e+13  -1.7186e+15 +6.3570e+15  +7.4426e+19 -2.0559e+18  +1.4918e+19 +2.2264e+19
+029.9956 +6.1759e-06 -1.4800e-07  -2.6754e+00 +1.4164e-03  -3.0207e-02 -4.1468e-02  -1.9730e+00 +7.7344e-01  -1.1626e+01 +3.5325e+01  +1.4271e+05 -1.2651e+04  -6.4132e+04 +7.6417e+04  +5.6358e+06 +3.5725e+04  -2.3593e+07 -4.6887e+08  -1.1046e+13 +3.8529e+11  +1.5832e+12 -1.4305e+12  -1.8306e+14 -1.9857e+14  -4.1365e+15 +1.6196e+16  +2.1848e+20 -7.2791e+18  -1.7235e+19 +4.2690e+19
+049.9947 +6.5066e-06 -1.8709e-06  -4.4583e+00 +2.3689e-03  -5.4400e-02 -6.9397e-02  -3.2902e+00 +1.1823e+00  -1.8482e+01 +5.4959e+01  +2.2949e+05 -2.1906e+04  -9.0944e+04 +1.4461e+05  +8.1043e+06 +4.4965e+06  -1.0344e+08 -7.6211e+08  -1.8455e+13 +6.4745e+11  +2.9239e+12 -3.1025e+12  -2.3294e+14 -4.1858e+14  -9.8958e+14 +1.8674e+16  +3.6378e+20 -1.1585e+19  -1.2953e+19 +7.3107e+19
+069.9962 +6.3128e-06 -3.8606e-06  -6.2441e+00 +3.3431e-03  -7.9379e-02 -9.8082e-02  -4.5410e+00 +1.6229e+00  -2.6928e+01 +7.7210e+01  +3.1772e+05 -3.1195e+04  -1.1813e+05 +2.0464e+05  +1.3393e+07 +6.9324e+06  -1.5304e+08 -9.6073e+08  -2.5877e+13 +8.9717e+11  +4.0760e+12 -3.6093e+12  -4.5543e+14 -6.2636e+14  +1.9471e+15 +2.9753e+16  +5.0941e+20 -1.5282e+19  -2.7398e+19 +1.1941e+20
+089.9975 +5.9751e-06 -6.9111e-06  -8.0245e+00 +4.3303e-03  -1.0280e-01 -1.2525e-01  -5.5723e+00 +2.0840e+00  -3.3506e+01 +9.5953e+01  +4.0886e+05 -4.0637e+04  -1.2735e+05 +2.5449e+05  +1.5091e+07 +1.0316e+07  -1.2027e+08 -1.3834e+09  -3.3287e+13 +1.1366e+12  +3.8320e+12 -4.3689e+12  -5.3092e+14 -7.9132e+14  -3.6051e+14 +4.0230e+16  +6.5436e+20 -1.9163e+19  +3.2635e+19 +8.4679e+19
+109.9952 +6.0385e-06 -1.1381e-05  -9.7900e+00 +5.3358e-03  -1.2194e-01 -1.4832e-01  -6.5054e+00 +2.5415e+00  -3.2980e+01 +1.1509e+02  +5.0358e+05 -5.0774e+04  -1.8490e+05 +2.7820e+05  +1.9999e+07 +1.3135e+07  -3.6663e+08 -1.7390e+09  -4.0670e+13 +1.3908e+12  +4.7566e+12 -4.7856e+12  -6.8661e+14 -1.0698e+15  +4.6879e+15 +5.6577e+16  +8.0097e+20 -2.3193e+19  +1.6502e+19 +5.9824e+19
+129.9974 +6.8301e-06 -1.7004e-05  -1.1533e+01 +6.3451e-03  -1.3702e-01 -1.6925e-01  -7.1375e+00 +2.9892e+00  -3.7065e+01 +1.2576e+02  +6.0088e+05 -6.1238e+04  -2.2113e+05 +3.7827e+05  +1.8601e+07 +1.6037e+07  -5.3328e+07 -1.8974e+09  -4.7873e+13 +1.6393e+12  +6.3943e+12 -7.0521e+12  -7.6756e+14 -1.4287e+15  -2.6137e+15 +7.5299e+16  +9.4184e+20 -2.6053e+19  +3.1419e+19 +2.2779e+20
+154.9970 +8.2343e-06 -2.4904e-05  -1.3639e+01 +7.5999e-03  -1.5229e-01 -1.8881e-01  -7.8427e+00 +3.4624e+00  -3.3555e+01 +1.4083e+02  +7.2628e+05 -7.4689e+04  -3.2566e+05 +3.7307e+05  +2.6481e+07 +1.6390e+07  -1.2909e+08 -2.2797e+09  -5.6568e+13 +1.9799e+12  +6.6134e+12 -9.0488e+12  -9.4032e+14 -1.2275e+15  -1.4014e+16 +6.6378e+16  +1.1158e+21 -3.0370e+19  +1.4660e+19 +2.9251e+20

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q30-016 Q30-032 Q30-010 Q30-019 Q30-008 Q30-036 Q30-011 Q30-035 Q30-009 Q30-020
#    Q30-029 Q30-014 Q30-013 Q30-024 Q30-005 Q30-021 Q30-025 Q30-030 Q30-023 Q30-022
# 5. rescaling factor based on new measurements compared to previous ones
#    the average between Diff for 012 and 018 magnets were taken!
#    === Q30 (012) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-QFB    139.05    -12.30590  -12.29908  +0.056
#    SI-Fam:PS-QFP    139.05    -12.30589  -12.29906  +0.056
#    === Q30 (018) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-QFB    139.05    -12.30041  -12.34713  -0.378
#    SI-Fam:PS-QFP    139.05    -12.30040  -12.34712  -0.378

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
