# HEADER
# ======
# label             si-quadrupole-q30-qfp-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling factor  0.99971
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 -8.6386e-07 +2.5668e-06  -5.4990e-02 +3.9735e-05  -1.4961e-02 -4.0458e-03  +8.0058e-03 +1.9431e-01  -1.4408e+01 +7.2427e+00  +9.1915e+02 -5.4446e+02  -4.0633e+03 -3.0422e+04  -1.1435e+06 -6.4507e+06  +4.7317e+07 +1.4076e+08  -2.1389e+11 -1.8481e+10  -4.8462e+11 -7.8154e+11  +9.3211e+13 +9.2117e+13  -1.9602e+15 -1.2064e+16  +3.6588e+18 -1.5652e+18  +5.4076e+19 -6.7309e+18
+001.9956 -1.0147e-06 +1.7412e-06  -2.2481e-01 +1.0248e-04  -1.4607e-02 -4.1625e-03  -1.2844e-01 +1.9397e-01  -1.0940e+01 +6.5768e+00  +1.0166e+04 -1.1539e+03  +1.9816e+04 -9.7561e+03  -6.0951e+05 -2.4773e+06  +9.9565e+07 +4.4522e+07  -9.1787e+11 +2.4021e+10  +3.5696e+11 -6.9888e+11  +6.4174e+13 -7.6714e+13  -5.0724e+15 -5.0921e+15  +1.7596e+19 -1.0704e+18  +2.7680e+19 +1.1817e+19
+003.9980 -1.1661e-06 +9.1284e-07  -3.9521e-01 +1.6543e-04  -1.4252e-02 -4.2796e-03  -2.6534e-01 +1.9364e-01  -7.4606e+00 +5.9086e+00  +1.9444e+04 -1.7654e+03  +4.3776e+04 +1.0980e+04  -7.3712e+04 +1.5095e+06  +1.5199e+08 -5.2044e+07  -1.6242e+12 +6.6665e+10  +1.2014e+12 -6.1593e+11  +3.5039e+13 -2.4611e+14  -8.1951e+15 +1.9031e+15  +3.1579e+19 -5.7385e+17  +1.1946e+18 +3.0428e+19
+005.9972 -1.3556e-06 +2.0275e-07  -5.6667e-01 +2.3004e-04  -1.4492e-02 -5.1574e-03  -4.3078e-01 +1.9656e-01  -6.4480e+00 +7.7856e+00  +2.9837e+04 -2.7213e+03  +8.6483e+03 +4.7335e+03  +1.5201e+06 +3.9003e+06  +6.7356e+07 +1.1715e+08  -2.3311e+12 +9.4733e+10  +8.0318e+11 -1.3938e+12  +3.6960e+13 -1.4786e+14  +4.1875e+14 -6.3209e+14  +4.5571e+19 -1.8827e+18  -4.6784e+18 +6.3464e+18
+007.9961 -1.4950e-06 -3.7127e-07  -7.3912e-01 +2.8843e-04  -1.4430e-02 -6.3684e-03  -6.1410e-01 +2.4025e-01  -3.5984e+00 +8.2711e+00  +3.9327e+04 -3.6178e+03  -5.2336e+03 +1.0678e+04  +8.9069e+04 +1.8093e+06  +3.8555e+06 +1.0178e+08  -3.0317e+12 +1.1649e+11  +1.2704e+12 -8.4296e+11  +2.0515e+13 -1.4986e+14  -4.3479e+15 -6.2933e+15  +5.9273e+19 -2.2758e+18  -5.2162e+19 +6.9157e+19
+009.9961 -1.7146e-06 -9.1579e-07  -9.1251e-01 +3.5634e-04  -1.4286e-02 -7.9078e-03  -7.5902e-01 +2.7787e-01  -3.4967e+00 +1.3307e+01  +4.9147e+04 -4.8606e+03  -2.6118e+04 +6.8750e+03  +7.9424e+05 -4.1947e+05  -5.0730e+07 +3.4043e+07  -3.7584e+12 +1.3562e+11  +1.5301e+12 -2.1152e+12  -4.5930e+13 -2.2798e+14  -6.9545e+15 -1.3117e+16  +7.3260e+19 -2.5409e+18  -6.1888e+19 +2.9986e+19
+029.9955 -5.7331e-06 -5.2128e-06  -2.6749e+00 +1.0068e-03  -2.1004e-02 -2.5867e-02  -2.2740e+00 +5.6879e-01  +1.3119e+01 +1.9291e+01  +1.4114e+05 -1.3809e+04  -1.3468e+05 +4.9812e+04  +6.9719e+06 +8.5131e+06  +1.4815e+06 +5.3393e+08  -1.1017e+13 +4.4038e+11  +4.1566e+12 -5.0971e+12  -1.2043e+14 -8.7749e+14  -1.7901e+16 -2.6609e+16  +2.1490e+20 -8.4544e+18  -1.9015e+20 +2.6008e+20
+049.9945 -1.1752e-05 -9.3390e-06  -4.4575e+00 +1.6801e-03  -3.4525e-02 -4.5208e-02  -3.7820e+00 +8.3551e-01  +2.0266e+01 +2.6521e+01  +2.2844e+05 -2.3747e+04  -2.3045e+05 +1.5178e+05  +5.3105e+06 +1.6887e+07  -3.6527e+08 +5.0248e+08  -1.8337e+13 +7.3819e+11  +6.6492e+12 -8.8827e+12  -2.9639e+14 -1.2211e+15  -3.2229e+16 -3.2927e+16  +3.5879e+20 -1.3291e+19  -3.1247e+20 +4.1692e+20
+069.9963 -1.8492e-05 -1.4189e-05  -6.2428e+00 +2.3659e-03  -5.1813e-02 -6.4744e-02  -5.0769e+00 +1.2263e+00  +3.1834e+01 +3.4758e+01  +3.1673e+05 -3.4049e+04  -2.6533e+05 +2.0819e+05  +8.4283e+06 +2.1828e+07  -3.9027e+08 +6.0360e+08  -2.5719e+13 +1.0252e+12  +1.0525e+13 -9.6877e+12  -1.8424e+14 -1.7478e+15  -4.7020e+16 -5.2571e+16  +5.0249e+20 -1.9002e+19  -3.6784e+20 +4.8115e+20
+089.9975 -2.5904e-05 -1.9770e-05  -8.0223e+00 +3.0752e-03  -7.0611e-02 -8.3186e-02  -6.1443e+00 +1.6027e+00  +3.5798e+01 +4.4356e+01  +4.0737e+05 -4.5703e+04  -2.9917e+05 +2.6250e+05  +9.2157e+06 +2.2043e+07  -4.1778e+08 +9.0546e+07  -3.3072e+13 +1.3594e+12  +1.1832e+13 -1.1915e+13  -3.8729e+14 -2.0612e+15  -3.9029e+16 -3.9082e+16  +6.4677e+20 -2.6350e+19  -2.7649e+20 +5.1616e+20
+109.9953 -3.3646e-05 -2.5713e-05  -9.7863e+00 +3.7912e-03  -9.0666e-02 -1.0360e-01  -6.9481e+00 +1.8952e+00  +4.6678e+01 +6.1910e+01  +5.0100e+05 -5.5482e+04  -3.7418e+05 +3.7827e+05  +8.7187e+06 +3.6085e+07  -8.2883e+08 +6.5084e+07  -4.0339e+13 +1.5936e+12  +1.7820e+13 -1.5428e+13  -4.7476e+13 -2.5242e+15  -4.6383e+16 -3.7576e+16  +7.8787e+20 -2.7071e+19  -6.1840e+20 +7.0698e+20
+129.9976 -4.1988e-05 -3.1735e-05  -1.1527e+01 +4.5072e-03  -1.1143e-01 -1.2505e-01  -7.5867e+00 +2.2280e+00  +5.6927e+01 +6.5895e+01  +5.9712e+05 -6.6267e+04  -3.7251e+05 +4.5118e+05  +8.4538e+06 +4.0732e+07  -1.3068e+09 -9.9933e+07  -4.7524e+13 +1.8421e+12  +1.6273e+13 -1.7995e+13  -8.8521e+13 -2.9062e+15  -3.0595e+16 -4.6632e+16  +9.2915e+20 -3.1803e+19  -5.8100e+20 +7.8729e+20
+154.9970 -5.6986e-05 -3.8354e-05  -1.3629e+01 +5.4045e-03  -1.5462e-01 -1.5303e-01  -8.2885e+00 +2.5961e+00  +5.3859e+01 +8.1627e+01  +7.2039e+05 -7.9755e+04  -4.5359e+05 +5.2412e+05  +2.7583e+06 +5.0277e+07  -1.5424e+09 +3.2500e+08  -5.6154e+13 +2.1941e+12  +2.6069e+13 -2.2820e+13  +3.7682e+14 -3.8941e+15  -2.7464e+16 -6.7776e+16  +1.1012e+21 -3.5943e+19  -9.5071e+20 +1.1388e+21

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q30-033 Q30-027 Q30-017 Q30-006 Q30-026 Q30-034 Q30-015 Q30-031 Q30-007 Q30-004
# 5. rescaling factor based on new measurements compared to previous ones
#    the weighted average between Diff for 012 and 018 magnets were taken!
#    ( weight is the distance between new measurement of either magnet 012 or 018 and
#      previous measuremento for the set)
#    === Q30 (012) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-QFB    139.05    -12.30590  -12.29908  +0.056
#    SI-Fam:PS-QFP    139.05    -12.30589  -12.29906  +0.056
#    === Q30 (018) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-QFB    139.05    -12.30041  -12.34713  -0.378
#    SI-Fam:PS-QFP    139.05    -12.30040  -12.34712  -0.378

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
