# HEADER
# ======
# label             si-sextupole-s15-sda0-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.00373
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -7.2494e-06 -2.6467e-06  -1.3737e-04 -3.1286e-04  +2.3651e+00 +2.0051e-04  -3.0297e-01 +7.2168e-01  -1.4339e+01 +2.0427e+01  -2.4418e+01 -2.7168e+02  +2.9222e+04 -4.7903e+04  +1.6559e+05 -2.7458e+06  +5.6097e+08 +1.5407e+08  +1.0810e+10 -1.4658e+10  -8.2124e+10 +4.0936e+10  +4.5791e+13 +4.0450e+14  -3.4266e+15 -1.4614e+16  -8.4179e+17 +5.7740e+16  +3.1353e+20 -5.3284e+19  
+001.9954 -7.2202e-06 -2.3007e-06  -2.1807e-04 -5.1274e-04  +6.5168e+00 +1.0996e-05  -1.8400e-01 +6.3712e-01  -4.0661e+00 +1.3576e+01  -1.9387e+02 -3.3600e+02  +3.6995e+04 -2.5898e+04  -6.9880e+05 -4.7551e+05  -2.0159e+09 +6.3611e+08  +6.4561e+09 -1.0613e+10  -1.2635e+11 -5.2206e+11  +4.4891e+13 +1.7924e+14  +4.5585e+14 -4.5099e+15  -5.3815e+17 -4.9455e+17  +8.8786e+20 -9.6035e+19  
+003.9986 -7.1908e-06 -1.9534e-06  -2.9909e-04 -7.1339e-04  +1.0685e+01 -1.7926e-04  -6.4564e-02 +5.5223e-01  +6.2475e+00 +6.6983e+00  -3.6400e+02 -4.0056e+02  +4.4799e+04 -3.8055e+03  -1.5666e+06 +1.8037e+06  -4.6028e+09 +1.1200e+09  +2.0850e+09 -6.5521e+09  -1.7075e+11 -1.0873e+12  +4.3987e+13 -4.6901e+13  +4.3536e+15 +5.6344e+15  -2.3331e+17 -1.0490e+18  +1.4644e+21 -1.3895e+20  
+005.9973 -7.2956e-06 -1.7075e-06  -3.8461e-04 -9.2264e-04  +1.4899e+01 -4.7142e-04  +3.7721e-02 +4.8075e-01  +1.7170e+01 +3.6796e+00  -5.8928e+02 -2.4253e+02  +7.0418e+04 -4.4978e+03  +3.5501e+05 +1.9637e+06  -7.6070e+09 +1.4059e+09  +3.7443e+09 -5.5473e+09  +4.3276e+11 -4.7469e+11  -6.5033e+12 -5.7974e+13  -6.1797e+15 +4.5666e+15  -3.8078e+17 -7.3107e+17  +2.0494e+21 -2.0049e+20  
+007.9960 -7.2831e-06 -1.4955e-06  -4.7100e-04 -1.1365e-03  +1.9155e+01 -7.6945e-04  +1.3669e-01 +4.2124e-01  +2.5822e+01 +2.2681e+00  -6.8149e+02 -2.9158e+02  +9.2754e+04 -3.7555e+03  +7.9287e+05 +2.8690e+06  -1.0540e+10 +1.7925e+09  +9.3235e+08 -5.2653e+09  +1.3681e+11 -3.1725e+11  -4.0073e+13 -1.9840e+13  -6.1550e+15 +3.0713e+15  -4.7827e+17 -1.0034e+18  +2.6543e+21 -2.4923e+20  
+009.9963 -7.3239e-06 -1.3190e-06  -5.6211e-04 -1.3536e-03  +2.3448e+01 -9.9581e-04  +2.3653e-01 +3.5562e-01  +3.4397e+01 -7.9310e-01  -8.2656e+02 -4.1142e+01  +1.1604e+05 -4.6178e+03  +1.1508e+06 +3.6248e+06  -1.3344e+10 +2.1691e+09  -4.6562e+09 -8.1485e+09  +1.9990e+11 -9.9499e+10  -2.5474e+13 -4.2011e+13  -8.3816e+15 +6.4031e+15  -5.5026e+17 -1.2604e+18  +3.2310e+21 -3.0765e+20  
+029.9960 -8.6213e-06 -3.5459e-07  -1.5134e-03 -3.6768e-03  +6.7619e+01 -4.0546e-03  +1.0544e+00 +1.4400e-01  +1.2219e+02 -8.6584e+00  -2.3905e+03 -5.4092e+02  +3.3901e+05 -1.2409e+04  +2.3848e+06 +1.3536e+07  -4.1767e+10 +6.2646e+09  -1.4671e+10 -1.0767e+10  -3.8357e+11 -1.4889e+11  -3.5754e+13 +3.0030e+13  -1.8762e+16 +1.6114e+16  -1.1899e+18 -3.8314e+18  +9.4575e+21 -8.6922e+20  
+049.9946 -1.0847e-05 -1.0906e-07  -2.5338e-03 -6.1260e-03  +1.1274e+02 -7.4742e-03  +1.7295e+00 +2.7897e-01  +1.9920e+02 -7.4678e+00  -4.0067e+03 -8.0915e+02  +5.7068e+05 -3.4078e+04  +4.2991e+06 +2.3008e+07  -6.9340e+10 +1.0517e+10  -3.1228e+10 -2.7360e+10  +1.1412e+11 -2.5995e+11  -1.5037e+14 +7.8027e+13  -3.9499e+16 +2.1447e+16  -2.3010e+18 -6.3344e+18  +1.5791e+22 -1.4256e+21  
+069.9953 -1.3825e-05 -2.8480e-07  -3.5756e-03 -8.5916e-03  +1.5802e+02 -1.1745e-02  +2.3147e+00 +4.8408e-01  +2.6855e+02 -3.8053e+00  -5.3465e+03 -6.0587e+02  +7.7051e+05 -5.7523e+04  +6.1529e+06 +3.0882e+07  -9.6850e+10 +1.4771e+10  -4.7820e+10 -3.1157e+10  -7.1232e+07 -7.5275e+11  -2.1671e+14 -2.0867e+13  -4.8576e+16 +3.6866e+16  -3.4151e+18 -8.8213e+18  +2.2157e+22 -1.9615e+21  
+089.9983 -1.7810e-05 -7.6923e-07  -4.6148e-03 -1.1016e-02  +2.0308e+02 -1.6716e-02  +2.8804e+00 +6.6134e-01  +3.2732e+02 +6.6061e+00  -6.8914e+03 -1.0332e+03  +9.6815e+05 -9.8821e+04  +7.9039e+06 +3.9657e+07  -1.2462e+11 +1.9053e+10  -6.7141e+10 -2.8636e+10  -4.1539e+11 -1.9349e+12  -1.6176e+14 +2.9092e+13  -5.9343e+16 +4.3743e+16  -4.7305e+18 -1.0908e+19  +2.8542e+22 -2.4945e+21  
+109.9964 -2.1962e-05 -1.3412e-06  -5.5971e-03 -1.3368e-02  +2.4742e+02 -2.2128e-02  +3.5293e+00 +7.7032e-01  +3.8116e+02 +1.2920e+01  -8.2208e+03 -1.0218e+03  +1.1846e+06 -1.2500e+05  +1.0094e+07 +4.9447e+07  -1.5242e+11 +2.3509e+10  -7.6864e+10 -4.4899e+10  +8.0569e+11 -3.0593e+12  -2.3983e+14 +1.0106e+14  -7.4764e+16 +5.1588e+16  -5.9613e+18 -1.4642e+19  +3.4857e+22 -2.9971e+21  
