# HEADER
# ======
# label             si-sextupole-s15-sda1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.00373
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.8687e-06 -3.3400e-06  +5.3140e-05 -2.1922e-04  +2.3580e+00 +2.8447e-03  +3.7952e-01 +3.8549e-01  +2.4562e+00 +1.2443e+01  -7.4155e+01 -9.5015e+01  +2.7391e+04 -1.9436e+04  +1.8546e+06 -4.9736e+05  +5.6192e+08 +3.4991e+07  -3.1513e+09 -2.9704e+09  -1.7294e+11 -7.3213e+11  -1.3072e+13 +9.3955e+13  -1.0360e+15 +2.5860e+14  -1.5600e+17 -1.0997e+17  +3.5568e+20 +5.1313e+18  
+001.9954 -5.9896e-06 -3.2936e-06  -5.1814e-05 -4.2719e-04  +6.5037e+00 +6.5434e-03  +4.0668e-01 +3.4035e-01  +9.7246e+00 +1.1264e+01  -4.9979e+01 -1.8077e+02  +3.7408e+04 -1.4315e+04  +1.4301e+06 -2.3153e+05  -2.3422e+09 +1.3854e+08  -1.2710e+09 -4.0560e+08  -5.5700e+10 -4.7783e+11  -2.5093e+13 +4.1825e+13  -1.8727e+15 +1.1636e+15  -2.8376e+17 -3.9381e+17  +9.2334e+20 +9.9253e+17  
+003.9980 -6.1109e-06 -3.2471e-06  -1.5715e-04 -6.3593e-04  +1.0664e+01 +1.0256e-02  +4.3395e-01 +2.9505e-01  +1.7020e+01 +1.0081e+01  -2.5714e+01 -2.6684e+02  +4.7462e+04 -9.1756e+03  +1.0040e+06 +3.5272e+04  -5.2569e+09 +2.4246e+08  +6.1622e+08 +2.1686e+09  +6.1969e+10 -2.2260e+11  -3.7158e+13 -1.0495e+13  -2.7125e+15 +2.0720e+15  -4.1198e+17 -6.7868e+17  +1.4931e+21 -3.1614e+18  
+005.9971 -6.2871e-06 -3.1403e-06  -2.5634e-04 -8.4549e-04  +1.4873e+01 +1.3716e-02  +4.4410e-01 +2.8806e-01  +2.4490e+01 +9.9573e+00  -7.8734e+01 -2.3094e+02  +6.2672e+04 -8.0589e+03  +1.6102e+06 +1.1402e+06  -8.3458e+09 +2.6928e+08  -2.2387e+09 +3.8310e+09  +7.1496e+10 -4.2128e+11  -2.7217e+13 -5.9887e+13  -2.5951e+15 +3.5522e+15  -3.0557e+17 -8.5328e+17  +2.1210e+21 +1.8162e+18  
+007.9961 -6.4747e-06 -3.1008e-06  -3.6358e-04 -1.0603e-03  +1.9121e+01 +1.7328e-02  +4.5791e-01 +2.6935e-01  +3.0514e+01 +8.1116e+00  -1.0842e+02 -3.5284e+02  +8.7972e+04 -1.5712e+04  +1.7998e+06 +2.3061e+06  -1.1438e+10 +3.4386e+08  -3.8409e+09 +4.3955e+09  -3.9612e+11 -4.2013e+11  -8.9855e+12 -4.4348e+13  -4.2726e+15 +4.1977e+15  -4.3490e+17 -1.0615e+18  +2.7460e+21 +3.8869e+18  
+009.9962 -6.6413e-06 -3.0441e-06  -4.6201e-04 -1.2754e-03  +2.3408e+01 +2.0906e-02  +4.9447e-01 +2.5947e-01  +3.8770e+01 +6.8838e+00  -1.2990e+02 -1.1517e+02  +1.0027e+05 -1.5877e+04  +2.3016e+06 +2.2764e+06  -1.4407e+10 +4.6257e+08  -1.6824e+09 +3.6954e+09  -3.4351e+10 -4.6469e+11  -1.5555e+13 -4.8263e+13  -4.0690e+15 +4.9220e+15  -5.1983e+17 -1.2965e+18  +3.3650e+21 -4.3463e+18  
+029.9959 -7.9817e-06 -2.6305e-06  -1.4713e-03 -3.5429e-03  +6.7523e+01 +5.6392e-02  +9.6588e-01 +2.9403e-01  +1.1589e+02 -3.0220e+00  -4.2189e+02 -5.2582e+02  +2.8770e+05 -2.9584e+04  +4.5441e+06 +8.5761e+06  -4.4506e+10 +1.4788e+09  +1.7335e+09 +9.1675e+09  -6.6379e+11 -8.8971e+11  -2.7114e+13 +9.1205e+12  -1.9121e+16 +1.0046e+16  -1.4822e+18 -3.7191e+18  +9.8690e+21 +2.5308e+19  
+049.9945 -9.5233e-06 -2.7572e-06  -2.4495e-03 -5.8939e-03  +1.1260e+02 +8.5481e-02  +1.6555e+00 +5.2419e-01  +1.9733e+02 -3.7186e+00  -7.4937e+02 -1.0274e+03  +4.8197e+05 -6.6968e+04  +7.4665e+06 +1.5038e+07  -7.3071e+10 +4.3756e+09  +1.7886e+09 +1.4735e+10  -1.9250e+12 -1.0746e+12  -2.0368e+13 -2.3832e+13  -2.4485e+16 +2.0505e+16  -2.7977e+18 -6.1007e+18  +1.6454e+22 -2.6206e+20  
+069.9952 -1.1286e-05 -3.0283e-06  -3.3967e-03 -8.2294e-03  +1.5781e+02 +1.0727e-01  +2.4324e+00 +7.0594e-01  +2.7962e+02 -4.0206e+00  -1.4207e+03 -1.2091e+03  +6.8247e+05 -9.3460e+04  +7.2789e+06 +2.1913e+07  -1.0270e+11 +8.4943e+09  -4.8613e+09 +5.9773e+09  -1.8554e+12 -6.9166e+11  +4.3491e+13 -2.9403e+13  -2.8512e+16 +2.3414e+16  -3.0006e+18 -9.3256e+18  +2.3504e+22 -4.7078e+20  
+089.9984 -1.3553e-05 -3.5814e-06  -4.2646e-03 -1.0492e-02  +2.0282e+02 +1.2150e-01  +3.4342e+00 +8.2411e-01  +3.6362e+02 -3.0152e-01  -2.5881e+03 -1.8218e+03  +8.9980e+05 -1.1088e+05  +5.5545e+06 +2.8367e+07  -1.3249e+11 +1.3146e+10  +1.6217e+10 +2.5017e+10  -3.1755e+12 -2.3002e+12  +2.7426e+14 -6.6476e+13  -4.4786e+16 +3.2441e+16  -3.3225e+18 -1.1330e+19  +3.0259e+22 -5.3036e+20  
+109.9965 -1.6415e-05 -4.2405e-06  -5.0510e-03 -1.2652e-02  +2.4712e+02 +1.2942e-01  +4.5671e+00 +7.3075e-01  +4.4457e+02 +8.9394e+00  -2.7528e+03 -2.4901e+03  +1.1542e+06 -1.3176e+05  +8.6740e+06 +2.9445e+07  -1.6255e+11 +1.8904e+10  +5.2743e+10 +2.6414e+10  -2.7694e+12 -1.4652e+12  +5.4908e+13 +1.7684e+14  -5.8085e+16 +4.4093e+16  -3.6956e+18 -1.2603e+19  +3.7046e+22 -5.6450e+20  
