# HEADER
# ======
# label             si-sextupole-s15-sda2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.004040
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -6.0314e-06 -1.5294e-06  -1.7437e-05 -1.8158e-04  +2.2752e+00 +6.6682e-04  +1.0682e-01 +2.7038e-01  +2.4801e+00 +4.8686e+00  +1.7150e+02 +2.8035e+01  +1.5795e+04 +2.5784e+02  +1.3902e+06 -5.7278e+05  +6.9379e+08 +1.8749e+08  +6.4416e+09 -7.4316e+09  +1.8221e+11 -4.1945e+11  -8.6675e+12 +1.4644e+14  +7.9054e+14 -2.5677e+15  +1.5082e+17 -2.2060e+17  +3.2076e+20 +2.8844e+18  
+001.9954 -6.0844e-06 -1.3934e-06  -1.1622e-04 -3.7227e-04  +6.4489e+00 +2.0656e-03  +1.3828e-01 +2.2348e-01  +7.1698e+00 +4.5347e+00  +7.1170e+01 -1.5554e+02  +2.5696e+04 -3.7851e+03  +1.2155e+06 -4.1943e+04  -2.1165e+09 +4.0634e+08  +1.2010e+09 -1.6513e+09  +6.9363e+10 -4.3380e+11  -1.7805e+13 +4.5507e+13  -2.8971e+14 +1.1235e+15  -1.1245e+17 -3.1626e+17  +8.7777e+20 -3.3774e+19  
+003.9979 -6.1377e-06 -1.2569e-06  -2.1536e-04 -5.6364e-04  +1.0638e+01 +3.4694e-03  +1.6985e-01 +1.7641e-01  +1.1876e+01 +4.1997e+00  -2.9526e+01 -3.3979e+02  +3.5633e+04 -7.8427e+03  +1.0403e+06 +4.9082e+05  -4.9369e+09 +6.2599e+08  -4.0586e+09 +4.1500e+09  -4.3889e+10 -4.4819e+11  -2.6976e+13 -5.5788e+13  -1.3739e+15 +4.8281e+15  -3.7666e+17 -4.1227e+17  +1.4368e+21 -7.0565e+19  
+005.9972 -6.1923e-06 -1.1263e-06  -3.1528e-04 -7.6169e-04  +1.4872e+01 +4.6471e-03  +1.9847e-01 +1.5041e-01  +1.6354e+01 +3.9106e+00  +3.7302e+01 -2.0086e+02  +3.9740e+04 -1.1338e+04  +1.9411e+06 +9.6842e+05  -7.9897e+09 +8.2131e+08  -2.0546e+09 +4.1204e+09  +1.1242e+11 -4.5540e+11  -6.0688e+12 -8.9278e+13  -2.3333e+15 +3.4135e+15  -3.8870e+17 -7.1153e+17  +2.0693e+21 -8.1889e+19  
+007.9961 -6.2778e-06 -1.0080e-06  -4.1594e-04 -9.6180e-04  +1.9145e+01 +6.0069e-03  +2.2324e-01 +1.0777e-01  +1.9843e+01 +4.3629e+00  -2.9376e+01 -2.8364e+02  +5.2891e+04 -9.9664e+03  +2.0067e+06 +2.3037e+06  -1.0983e+10 +1.0683e+09  -2.0593e+09 +5.0777e+09  +1.3689e+11 -5.1793e+11  -1.5922e+13 -6.8203e+13  -3.0172e+15 +4.0616e+15  -4.8390e+17 -8.9858e+17  +2.7006e+21 -1.0744e+20  
+009.9961 -6.3464e-06 -9.0261e-07  -5.1895e-04 -1.1646e-03  +2.3454e+01 +7.3238e-03  +2.5242e-01 +8.5466e-02  +2.4241e+01 +3.8788e+00  -3.8258e+01 -1.9135e+01  +6.3538e+04 -2.3293e+04  +2.2504e+06 +2.4450e+06  -1.3904e+10 +1.2682e+09  -2.4568e+09 +1.6371e+09  +1.2179e+11 -9.0140e+11  -3.8620e+13 -9.1502e+13  -4.6533e+15 +4.2661e+15  -5.4401e+17 -1.2770e+18  +3.2933e+21 -1.3418e+20  
+029.9959 -7.0141e-06 +7.3956e-07  -1.5666e-03 -3.2581e-03  +6.7728e+01 +2.0095e-02  +5.9879e-01 -9.5842e-02  +7.2566e+01 +1.4877e+00  -9.9687e+01 -2.3779e+02  +1.7954e+05 -5.1125e+04  +5.2746e+06 +9.9969e+06  -4.3408e+10 +3.7366e+09  -6.9993e+09 +1.1433e+10  -2.1428e+11 -1.3905e+12  -5.1324e+13 -1.3381e+14  -1.1930e+16 +1.1591e+16  -1.8647e+18 -3.2398e+18  +9.6748e+21 -3.5475e+20  
+049.9945 -7.8486e-06 +2.4341e-06  -2.6253e-03 -5.4288e-03  +1.1291e+02 +3.0949e-02  +9.7047e-01 -9.9625e-02  +1.2239e+02 -3.2901e+00  -2.2339e+02 -2.8589e+02  +3.0461e+05 -8.6139e+04  +8.4815e+06 +1.5132e+07  -7.1880e+10 +6.7412e+09  -2.2505e+10 +7.3961e+09  -3.7844e+11 -1.4704e+12  -1.9289e+13 -1.9114e+14  -2.2869e+16 +2.2134e+16  -2.8970e+18 -5.0606e+18  +1.6142e+22 -6.9525e+20  
+069.9951 -8.8602e-06 +4.1596e-06  -3.6748e-03 -7.6271e-03  +1.5820e+02 +3.8860e-02  +1.3529e+00 +7.7896e-02  +1.7085e+02 -6.1974e+00  -5.6038e+02 -1.0465e+02  +4.4577e+05 -1.1659e+05  +1.1529e+07 +2.3555e+07  -1.0055e+11 +1.0401e+10  -1.6771e+10 +1.3545e+10  +7.0656e+11 -1.6267e+12  -5.3849e+13 -1.7954e+14  -3.6578e+16 +3.5300e+16  -4.0799e+18 -6.8391e+18  +2.2804e+22 -1.0602e+21  
+089.9981 -1.0352e-05 +5.6249e-06  -4.6929e-03 -9.8364e-03  +2.0325e+02 +4.4695e-02  +1.7739e+00 +3.6170e-01  +2.1782e+02 -9.5469e+00  -6.3903e+02 -8.7800e+02  +5.7303e+05 -1.4543e+05  +1.1843e+07 +2.8602e+07  -1.2935e+11 +1.3987e+10  -2.2470e+09 -1.0913e+10  +5.8484e+11 -4.1695e+12  +3.7702e+13 -3.5088e+13  -4.4242e+16 +2.6802e+16  -5.4859e+18 -9.6021e+18  +2.9344e+22 -1.1639e+21  
+109.9962 -1.2044e-05 +7.2506e-06  -5.6597e-03 -1.2027e-02  +2.4758e+02 +4.7021e-02  +2.2837e+00 +7.1237e-01  +2.6670e+02 -1.4214e+01  -4.3387e+02 -7.5338e+02  +7.2126e+05 -1.5979e+05  +1.6563e+07 +3.6798e+07  -1.5837e+11 +1.8463e+10  -2.0175e+10 -2.4485e+10  +4.7040e+11 -5.4947e+12  -8.7078e+13 -1.0797e+14  -5.7449e+16 +3.4562e+16  -6.5495e+18 -1.2252e+19  +3.5839e+22 -1.4066e+21  
