# HEADER
# ======
# label             si-sextupole-s15-sda3-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.003650
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -6.2209e-06 -3.7639e-06  -6.8626e-05 -1.1274e-04  +2.4298e+00 +2.8446e-03  -8.6875e-02 -7.0073e-02  -5.8312e+00 +2.1763e+01  -7.7857e+01 -9.4011e+01  -1.2813e+04 -2.0687e+04  -3.4078e+05 +1.3898e+06  +5.4012e+08 -6.5728e+06  +4.8510e+09 -4.3426e+09  +2.7316e+12 -1.3059e+11  -4.9001e+13 +3.1483e+14  -3.1756e+15 +1.2736e+16  -1.8576e+17 +1.1863e+18  +3.6236e+20 -8.6827e+18  
+001.9955 -6.2275e-06 -3.4227e-06  -2.0518e-04 -3.2117e-04  +6.5635e+00 +7.0972e-03  -3.1996e-02 -7.2821e-02  +4.8749e+00 +1.5756e+01  -1.5422e+02 -2.4682e+02  +8.4215e+03 -9.1158e+03  +7.4521e+05 +5.3695e+05  -2.3745e+09 +7.8473e+07  +1.7530e+09 -1.8511e+09  +1.1055e+12 -2.8774e+11  -4.8300e+13 +1.2251e+14  -4.3780e+15 +9.7151e+15  -1.2625e+17 -5.4227e+16  +9.3103e+20 -8.3079e+18  
+003.9983 -6.2341e-06 -3.0801e-06  -3.4225e-04 -5.3038e-04  +1.0713e+01 +1.1366e-02  +2.3087e-02 -7.5579e-02  +1.5621e+01 +9.7264e+00  -2.3087e+02 -4.0020e+02  +2.9735e+04 +2.4982e+03  +1.8352e+06 -3.1904e+05  -5.2998e+09 +1.6383e+08  -1.3565e+09 +6.4955e+08  -5.2676e+11 -4.4548e+11  -4.7598e+13 -7.0524e+13  -5.5850e+15 +6.6830e+15  -6.6512e+16 -1.2993e+18  +1.5018e+21 -7.9316e+18  
+005.9973 -6.1966e-06 -2.7914e-06  -4.7968e-04 -7.4957e-04  +1.4908e+01 +1.5736e-02  +1.0023e-01 -6.8614e-02  +2.5159e+01 +4.5053e+00  -3.5215e+02 -3.0097e+02  +6.6392e+04 -9.4251e+03  +9.1406e+05 +7.3496e+05  -8.4064e+09 +2.9977e+08  +2.7757e+09 +5.2580e+09  -8.6218e+10 -6.9785e+11  -4.1409e+12 -5.7054e+13  +1.1990e+15 +2.6113e+15  -4.9375e+17 -9.3657e+17  +2.1211e+21 +3.4804e+18  
+007.9963 -6.2115e-06 -2.4629e-06  -6.1828e-04 -9.6321e-04  +1.9143e+01 +2.0131e-02  +1.5879e-01 -6.9211e-02  +3.6216e+01 +5.3955e-01  -5.8516e+02 -3.6748e+02  +9.7219e+04 -8.3034e+03  +1.1816e+06 +1.7998e+06  -1.1440e+10 +4.1456e+08  +7.0947e+09 +3.3706e+09  -4.7309e+10 -4.4176e+11  -2.2319e+13 -3.7231e+13  -1.5786e+15 +2.7045e+15  -7.6539e+17 -1.0628e+18  +2.7540e+21 -7.5238e+18  
+009.9962 -6.1515e-06 -2.1542e-06  -7.5327e-04 -1.1819e-03  +2.3416e+01 +2.4345e-02  +2.2522e-01 -5.8347e-02  +4.6594e+01 -2.8615e+00  -6.6331e+02 -8.8652e+01  +1.1434e+05 -7.9517e+03  +1.7826e+06 +2.7291e+06  -1.4455e+10 +5.4150e+08  +1.8593e+09 +5.3507e+09  -3.2349e+11 -7.9979e+11  -2.7724e+13 -3.9168e+13  -2.5625e+15 +4.4933e+15  -7.8817e+17 -1.2498e+18  +3.3547e+21 -1.0469e+18  
+029.9960 -6.0646e-06 +7.5730e-07  -2.1857e-03 -3.4252e-03  +6.7404e+01 +6.5829e-02  +9.0698e-01 -7.4694e-02  +1.5385e+02 -4.0309e+01  -1.6904e+03 -6.0804e+02  +3.5195e+05 -1.1683e+04  +5.5447e+06 +7.7208e+06  -4.4647e+10 +1.7584e+09  -4.0663e+09 +5.3658e+09  -8.3562e+11 -8.5998e+11  -3.8623e+13 -5.5340e+13  -1.3751e+16 +1.6810e+16  -2.5031e+18 -3.6489e+18  +9.8275e+21 +1.0232e+19  
+049.9945 -6.6289e-06 +3.1585e-06  -3.6627e-03 -5.6990e-03  +1.1238e+02 +9.9946e-02  +1.5429e+00 -9.9469e-02  +2.5690e+02 -7.2301e+01  -3.2479e+03 -7.4205e+02  +5.9971e+05 -2.9626e+04  +8.8903e+06 +1.4393e+07  -7.3706e+10 +5.2468e+09  -1.7569e+09 -1.8803e+09  -1.9363e+12 -1.6873e+12  +8.3702e+13 -3.8778e+13  -2.8464e+16 +2.4586e+16  -3.2323e+18 -5.4970e+18  +1.6483e+22 -3.0197e+20  
+069.9952 -7.7974e-06 +5.0155e-06  -5.1381e-03 -7.9684e-03  +1.5750e+02 +1.2579e-01  +2.2081e+00 -8.2642e-02  +3.5479e+02 -9.1717e+01  -4.7103e+03 -6.1437e+02  +8.7093e+05 -5.9593e+04  +1.1472e+07 +2.0621e+07  -1.0327e+11 +9.9501e+09  +2.1506e+09 -1.2749e+09  -1.7510e+12 -4.5625e+11  -5.6718e+12 -7.0657e+13  -4.3792e+16 +3.0999e+16  -4.7853e+18 -8.2531e+18  +2.3526e+22 -4.6972e+20  
+089.9982 -9.6371e-06 +6.4023e-06  -6.5812e-03 -1.0208e-02  +2.0244e+02 +1.4131e-01  +2.8655e+00 -1.4579e-02  +4.6048e+02 -1.1113e+02  -6.7818e+03 -8.0349e+02  +1.1116e+06 -8.3498e+04  +1.0622e+07 +2.2105e+07  -1.3355e+11 +1.6210e+10  +3.7566e+10 -4.1819e+10  -2.4294e+12 -3.4855e+12  +1.0859e+14 -1.4721e+14  -4.6540e+16 +3.3994e+16  -5.4262e+18 -1.0400e+19  +3.0563e+22 -7.0054e+20  
+109.9965 -1.2160e-05 +7.4596e-06  -7.9770e-03 -1.2420e-02  +2.4669e+02 +1.5071e-01  +3.5342e+00 +1.3196e-01  +5.5182e+02 -1.1050e+02  -8.2247e+03 -9.8343e+02  +1.4345e+06 -1.1473e+05  +1.4324e+07 +2.6736e+07  -1.6421e+11 +2.2767e+10  +4.5451e+10 -3.4630e+10  -4.6405e+12 -4.1624e+12  +1.9082e+13 -2.1839e+14  -8.4129e+16 +2.8975e+16  -6.7138e+18 -1.1968e+19  +3.7535e+22 -4.1340e+20  
