# HEADER
# ======
# label             si-sextupole-s15-sdb0-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.004350
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -6.2683e-06 -1.2306e-06  -7.4435e-05 -9.4116e-05  +2.3893e+00 +2.1625e-03  -6.4807e-02 -6.8328e-02  -1.8493e+00 -3.1504e+00  -5.4383e+01 -1.1407e+02  +8.5875e+03 +1.0174e+04  +8.7547e+04 -1.7814e+05  +5.1761e+08 +4.6073e+07  +1.9699e+09 +3.7506e+09  +5.8930e+10 +8.3513e+10  -4.2147e+13 +1.3042e+14  +1.3191e+15 -1.5220e+15  +4.4452e+16 +2.0811e+15  +3.1681e+20 -8.1656e+18  
+001.9954 -6.3898e-06 -1.1267e-06  -1.9729e-04 -2.9246e-04  +6.5337e+00 +4.5723e-03  -1.5680e-02 -2.8993e-02  +5.1798e+00 -5.1085e+00  -5.0953e+01 -1.8097e+02  +2.3571e+04 +8.7323e+03  +2.2589e+05 +2.4716e+05  -2.3050e+09 +2.3048e+08  +3.3039e+09 +3.8126e+09  +2.0410e+09 -6.8683e+10  -3.0563e+13 +4.4674e+13  -3.5765e+14 -1.5021e+14  -7.7417e+16 -2.3164e+17  +8.9261e+20 -2.3610e+19  
+003.9981 -6.5117e-06 -1.0225e-06  -3.2058e-04 -4.9153e-04  +1.0693e+01 +6.9908e-03  +3.3626e-02 +1.0484e-02  +1.2234e+01 -7.0738e+00  -4.7511e+01 -2.4811e+02  +3.8609e+04 +7.2856e+03  +3.6474e+05 +6.7400e+05  -5.1379e+09 +4.1557e+08  +4.6428e+09 +3.8747e+09  -5.5055e+10 -2.2143e+11  -1.8937e+13 -4.1380e+13  -2.0404e+15 +1.2266e+15  -1.9973e+17 -4.6620e+17  +1.4705e+21 -3.9111e+19  
+005.9972 -6.6200e-06 -8.7314e-07  -4.4246e-04 -6.8972e-04  +1.4899e+01 +9.3931e-03  +7.0780e-02 +5.3204e-02  +2.0080e+01 -8.0685e+00  -5.8837e+01 -1.5426e+02  +5.4379e+04 +8.2600e+03  +8.2039e+05 +1.0667e+06  -8.1911e+09 +5.9619e+08  +2.4151e+09 +4.1824e+09  -5.4822e+10 -2.8649e+10  -2.1554e+13 -6.6612e+13  -3.1268e+15 +2.4210e+15  -3.5072e+17 -6.1545e+17  +2.0925e+21 -6.1065e+19  
+007.9962 -6.7343e-06 -7.7696e-07  -5.6363e-04 -8.8588e-04  +1.9146e+01 +1.1854e-02  +1.1562e-01 +6.3042e-02  +2.8003e+01 -9.6676e+00  -1.7207e+02 -2.3668e+02  +7.5609e+04 +5.2581e+03  +1.2660e+06 +1.8221e+06  -1.1168e+10 +7.7461e+08  +3.4708e+09 +3.2865e+09  +3.2214e+10 -3.0763e+11  -2.3559e+13 -7.1619e+13  -3.2370e+15 +3.8118e+15  -4.1611e+17 -8.1405e+17  +2.7226e+21 -6.9224e+19  
+009.9962 -6.8465e-06 -6.5451e-07  -6.8749e-04 -1.0833e-03  +2.3429e+01 +1.4218e-02  +1.5451e-01 +9.5058e-02  +3.5725e+01 -1.1344e+01  -1.8333e+02 +4.3435e+01  +8.7644e+04 -5.7544e+02  +1.1165e+06 +1.9654e+06  -1.4097e+10 +9.6538e+08  +1.9534e+09 +3.5211e+09  -1.0310e+11 -9.4792e+10  -3.6098e+13 -7.8427e+13  -4.8238e+15 +3.8532e+15  -6.8615e+17 -9.5564e+17  +3.3303e+21 -8.7163e+19  
+029.9959 -8.0369e-06 +2.9265e-07  -1.9604e-03 -3.0799e-03  +6.7508e+01 +3.7056e-02  +5.9267e-01 +1.5835e-01  +1.1779e+02 -2.1973e+01  -5.4305e+02 -2.8358e+02  +2.7648e+05 -7.9780e+03  +3.8017e+06 +6.6170e+06  -4.3636e+10 +3.0800e+09  +5.9582e+09 +5.8121e+09  -7.7909e+11 -7.2770e+11  -4.5197e+13 -2.9246e+13  -1.4276e+16 +8.0846e+15  -1.7986e+18 -2.7636e+18  +9.7363e+21 -2.7086e+20  
+049.9944 -9.5339e-06 +1.5755e-06  -3.2689e-03 -5.1007e-03  +1.1256e+02 +5.5548e-02  +9.6712e-01 +1.8365e-01  +1.9862e+02 -3.7394e+01  -9.9788e+02 -3.7720e+02  +4.7288e+05 -2.3692e+04  +5.9944e+06 +1.1049e+07  -7.2072e+10 +6.4092e+09  +1.4880e+10 +5.8172e+09  -1.3472e+12 -9.2502e+11  -8.4187e+13 -8.4769e+13  -2.7158e+16 +1.5033e+16  -2.8471e+18 -4.3620e+18  +1.6280e+22 -5.5020e+20  
+069.9951 -1.1342e-05 +2.8922e-06  -4.5847e-03 -7.1290e-03  +1.5776e+02 +6.9247e-02  +1.3191e+00 +2.8700e-01  +2.7932e+02 -5.6161e+01  -1.4382e+03 -3.1221e+02  +6.5922e+05 -2.8571e+04  +6.8965e+06 +1.4691e+07  -1.0096e+11 +1.0447e+10  +1.6217e+10 +3.6802e+09  -1.0612e+12 -3.8902e+11  -2.0619e+13 -1.0360e+14  -3.4964e+16 +2.2126e+16  -4.0342e+18 -6.0265e+18  +2.3010e+22 -8.8263e+20  
+089.9982 -1.3834e-05 +4.1750e-06  -5.8959e-03 -9.1451e-03  +2.0278e+02 +7.7087e-02  +1.6180e+00 +4.3150e-01  +3.5565e+02 -7.2132e+01  -1.8418e+03 -7.2507e+02  +8.4617e+05 -2.8248e+04  +7.8139e+06 +1.8996e+07  -1.3026e+11 +1.5330e+10  +3.7195e+10 +2.0942e+10  -1.1558e+12 +1.4953e+11  -6.3726e+13 -2.5648e+13  -4.1771e+16 +2.7863e+16  -4.6742e+18 -7.4345e+18  +2.9895e+22 -1.1681e+21  
+109.9962 -1.7231e-05 +5.2015e-06  -7.1632e-03 -1.1149e-02  +2.4711e+02 +7.6111e-02  +1.8973e+00 +7.9514e-01  +4.1942e+02 -8.1482e+01  -2.7556e+03 -6.5500e+02  +1.0137e+06 -2.9909e+04  +8.2318e+06 +2.5133e+07  -1.5970e+11 +2.2618e+10  +4.8939e+10 +9.7429e+09  -9.5295e+11 -1.2753e+12  +3.6327e+12 -1.3926e+14  -5.1890e+16 +3.7896e+16  -5.4202e+18 -1.0664e+19  +3.6695e+22 -1.5603e+21  
