# HEADER
# ======
# label             si-sextupole-s15-sdb1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.00373
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.0640e-06 -3.6615e-06  -8.1346e-05 -1.2511e-04  +2.3466e+00 +1.5891e-03  -2.2376e-01 -1.0837e-02  +7.1964e+00 +2.5956e+01  -1.6732e+02 +2.4258e+01  +2.2857e+04 -1.6597e+04  -3.1207e+05 -1.3583e+06  +5.5484e+08 +1.6879e+08  +6.7419e+09 +8.1394e+09  +4.7192e+11 -7.9619e+11  -1.1570e+13 +1.6418e+14  +6.8387e+14 +2.4808e+15  -1.1425e+17 -2.9375e+17  +3.1851e+20 -1.1711e+19  
+001.9955 -5.3202e-06 -3.3548e-06  -1.6689e-04 -3.4140e-04  +6.4991e+00 +2.1374e-03  -1.1328e-01 +1.3593e-02  +1.0955e+01 +2.2537e+01  -2.3476e+02 -1.2676e+02  +2.9323e+04 -1.4545e+04  +1.9578e+05 -3.6754e+05  -2.2457e+09 +3.8494e+08  +4.7956e+09 +6.0443e+09  +2.6427e+11 -7.6775e+11  -1.4877e+13 +6.9543e+13  -7.2284e+14 +2.8902e+15  -2.0253e+17 -4.3926e+17  +8.8526e+20 -3.3284e+19  
+003.9982 -5.5773e-06 -3.0471e-06  -2.5273e-04 -5.5846e-04  +1.0666e+01 +2.6877e-03  -2.4067e-03 +3.8111e-02  +1.4727e+01 +1.9105e+01  -3.0245e+02 -2.7832e+02  +3.5812e+04 -1.2486e+04  +7.0543e+05 +6.2672e+05  -5.0562e+09 +6.0187e+08  +2.8424e+09 +3.9418e+09  +5.5880e+10 -7.3921e+11  -1.8195e+13 -2.5428e+13  -2.1346e+15 +3.3010e+15  -2.9112e+17 -5.8529e+17  +1.4540e+21 -5.4934e+19  
+005.9974 -5.8026e-06 -2.8432e-06  -3.4191e-04 -7.8203e-04  +1.4881e+01 +3.2259e-03  +8.9282e-02 +7.1592e-02  +1.9051e+01 +1.7153e+01  -4.7152e+02 -1.2259e+02  +4.5583e+04 -1.7631e+04  +1.2590e+06 +1.3405e+06  -8.0974e+09 +7.9275e+08  +1.3015e+09 +1.9743e+09  +3.7613e+10 -6.5393e+11  -2.9687e+13 -5.3133e+13  -2.9055e+15 +3.3027e+15  -3.2009e+17 -8.0764e+17  +2.0776e+21 -8.4100e+19  
+007.9962 -6.0376e-06 -2.5791e-06  -4.3448e-04 -1.0046e-03  +1.9135e+01 +3.8869e-03  +1.7325e-01 +1.1493e-01  +2.2549e+01 +1.4027e+01  -5.9922e+02 -2.5473e+02  +6.3859e+04 -1.8554e+04  +1.5217e+06 +1.9206e+06  -1.1117e+10 +1.0137e+09  +2.6552e+09 +2.4454e+09  +1.9206e+11 -8.2918e+11  -2.0959e+13 -2.6359e+13  -4.1553e+15 +3.4032e+15  -4.4944e+17 -1.0793e+18  +2.7013e+21 -9.7856e+19  
+009.9963 -6.2697e-06 -2.3706e-06  -5.2645e-04 -1.2292e-03  +2.3427e+01 +4.4153e-03  +2.7268e-01 +1.5289e-01  +2.7371e+01 +1.2114e+01  -6.8130e+02 -3.0640e+01  +7.4269e+04 -1.9720e+04  +1.9721e+06 +2.3765e+06  -1.4039e+10 +1.2699e+09  +1.2243e+09 +2.7305e+09  +1.3653e+11 -6.3932e+11  -3.3415e+13 -7.0928e+13  -4.6592e+15 +5.9797e+15  -5.5009e+17 -1.3038e+18  +3.3079e+21 -1.1970e+20  
+029.9960 -8.1164e-06 -1.1585e-06  -1.5047e-03 -3.5570e-03  +6.7573e+01 +9.9971e-03  +1.0826e+00 +5.7752e-01  +7.9855e+01 +3.9876e+00  -1.9341e+03 -4.0273e+02  +2.2104e+05 -4.5539e+04  +5.5973e+06 +7.8736e+06  -4.3677e+10 +3.6386e+09  -2.8846e+08 +7.6950e+08  +3.4278e+11 -1.0925e+12  -3.8297e+13 -2.6139e+13  -1.4623e+16 +1.0396e+16  -1.8893e+18 -3.3860e+18  +9.6681e+21 -3.2963e+20  
+049.9946 -9.9574e-06 -8.9574e-07  -2.5281e-03 -5.9228e-03  +1.1267e+02 +1.3504e-02  +1.8160e+00 +1.0355e+00  +1.3818e+02 +1.1297e+01  -3.2725e+03 -5.9886e+02  +3.5923e+05 -8.4061e+04  +8.4039e+06 +1.3006e+07  -7.2298e+10 +6.4038e+09  -3.3248e+09 -4.3321e+09  +1.1327e+11 -1.7898e+12  -4.5879e+13 -4.6582e+13  -2.3674e+16 +1.5479e+16  -2.7463e+18 -5.7355e+18  +1.6152e+22 -5.5999e+20  
+069.9954 -1.2006e-05 -1.0100e-06  -3.5654e-03 -8.2592e-03  +1.5789e+02 +1.4940e-02  +2.5037e+00 +1.4363e+00  +1.9794e+02 +2.4143e+01  -4.6021e+03 -7.0862e+02  +5.1737e+05 -1.1535e+05  +1.1739e+07 +1.8146e+07  -1.0080e+11 +9.5217e+09  -4.5936e+09 -8.0702e+09  -2.1046e+11 -3.3693e+12  -6.0880e+13 -2.3674e+13  -3.3236e+16 +2.0056e+16  -3.9571e+18 -7.6266e+18  +2.2681e+22 -7.9375e+20  
+089.9985 -1.4774e-05 -1.4669e-06  -4.5959e-03 -1.0554e-02  +2.0290e+02 +1.2933e-02  +3.0871e+00 +1.7881e+00  +2.5385e+02 +4.0531e+01  -5.8772e+03 -1.0325e+03  +6.7100e+05 -1.6088e+05  +1.3454e+07 +2.1811e+07  -1.3002e+11 +1.3258e+10  +1.6098e+09 -1.1163e+10  -4.1908e+11 -4.7431e+12  -8.2545e+12 -7.2947e+13  -4.2559e+16 +1.9435e+16  -4.9029e+18 -9.8465e+18  +2.9307e+22 -1.0597e+21  
+109.9964 -1.8185e-05 -2.1644e-06  -5.6134e-03 -1.2779e-02  +2.4720e+02 +7.6752e-03  +3.6619e+00 +2.1146e+00  +3.0478e+02 +6.1549e+01  -6.9162e+03 -1.4144e+03  +8.1507e+05 -2.3684e+05  +1.8421e+07 +2.5420e+07  -1.5905e+11 +1.7798e+10  -4.5438e+09 -9.1980e+09  -1.8238e+12 -5.3534e+12  -1.4951e+14 +4.7285e+13  -4.3379e+16 +3.5291e+16  -5.8358e+18 -1.0545e+19  +3.5814e+22 -1.2698e+21  
