# HEADER
# ======
# label             si-sextupole-s15-sdb2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.003760
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.1876e-06 -2.4772e-06  -7.7177e-05 -8.9791e-05  +2.3438e+00 +3.3418e-03  -2.6868e-01 -1.5766e-01  +3.0252e+00 +8.3815e-01  -8.4476e+01 -5.1275e+01  +1.3959e+04 +9.0990e+03  +1.5218e+05 +7.5453e+04  +4.2809e+08 +7.7715e+07  +3.2053e+09 +2.5080e+09  -9.4769e+10 -5.5249e+11  -3.1329e+13 +1.2409e+14  -2.6673e+14 +1.7550e+15  -2.4802e+17 -2.1495e+17  +3.2976e+20 +9.6215e+18  
+001.9955 -5.1942e-06 -2.3507e-06  -1.8404e-04 -2.9362e-04  +6.4916e+00 +7.9796e-03  -1.4464e-01 -1.5984e-01  +9.4441e+00 -1.3969e+00  -2.0546e+02 -2.2935e+02  +2.6875e+04 +6.9881e+03  +6.3744e+05 +3.4716e+05  -2.3774e+09 +2.0756e+08  +2.1353e+09 +4.6746e+09  -1.0065e+11 -4.4891e+11  -2.9399e+13 +5.0840e+13  -6.5311e+14 +2.3541e+15  -2.3725e+17 -3.8728e+17  +9.0202e+20 -7.7595e+18  
+003.9981 -5.2007e-06 -2.2238e-06  -2.9128e-04 -4.9818e-04  +1.0654e+01 +1.2634e-02  -2.0147e-02 -1.6204e-01  +1.5886e+01 -3.6401e+00  -3.2688e+02 -4.0807e+02  +3.9837e+04 +4.8696e+03  +1.1244e+06 +6.1984e+05  -5.1930e+09 +3.3788e+08  +1.0614e+09 +6.8491e+09  -1.0654e+11 -3.4496e+11  -2.7462e+13 -2.2671e+13  -1.0409e+15 +2.9554e+15  -2.2645e+17 -5.6024e+17  +1.4763e+21 -2.5203e+19  
+005.9974 -5.1882e-06 -2.0825e-06  -4.0089e-04 -7.0975e-04  +1.4864e+01 +1.7479e-02  +9.6800e-02 -1.4715e-01  +2.2155e+01 -5.2914e+00  -4.5103e+02 -3.0977e+02  +4.9712e+04 +6.4030e+03  +1.6024e+06 +1.2216e+06  -8.2632e+09 +4.9896e+08  -3.7976e+08 +6.9782e+09  -7.5145e+10 -4.5362e+11  -2.9720e+13 -5.5384e+13  -6.9252e+14 +3.1058e+15  -4.1824e+17 -6.7254e+17  +2.1074e+21 -2.7186e+19  
+007.9962 -5.1971e-06 -1.9551e-06  -5.1085e-04 -9.2067e-04  +1.9114e+01 +2.2206e-02  +2.0181e-01 -1.3985e-01  +2.8330e+01 -7.3356e+00  -5.0784e+02 -3.6817e+02  +6.4271e+04 +3.7695e+03  +2.2278e+06 +1.9526e+06  -1.1292e+10 +6.6401e+08  -1.0753e+08 +7.7965e+09  -1.0699e+11 -5.0841e+11  -2.2346e+13 -3.1753e+13  -4.5488e+15 +5.0595e+15  -5.1647e+17 -9.9676e+17  +2.7373e+21 -4.2745e+19  
+009.9964 -5.1581e-06 -1.8260e-06  -6.2297e-04 -1.1349e-03  +2.3401e+01 +2.6859e-02  +3.2645e-01 -1.3254e-01  +3.4277e+01 -9.2709e+00  -6.1473e+02 -1.1734e+02  +7.9019e+04 -2.0277e+03  +2.2345e+06 +1.9249e+06  -1.4233e+10 +8.1963e+08  -1.4464e+09 +6.0522e+09  -2.9567e+11 -4.9343e+11  -2.1649e+13 -4.2951e+13  -2.7727e+15 +5.3201e+15  -7.8882e+17 -1.0299e+18  +3.3441e+21 -5.3806e+19  
+029.9961 -5.1635e-06 -4.8112e-07  -1.7901e-03 -3.3304e-03  +6.7515e+01 +7.2204e-02  +1.4247e+00 -3.8957e-02  +9.9760e+01 -2.7668e+01  -1.7765e+03 -4.5567e+02  +2.0266e+05 -1.1031e+04  +6.8580e+06 +7.2027e+06  -4.3757e+10 +2.6552e+09  -2.2972e+09 +5.9159e+09  -4.4507e+11 -1.4820e+12  -2.6300e+13 +3.3315e+12  -8.4776e+15 +7.6833e+15  -1.9993e+18 -3.3530e+18  +9.7753e+21 -1.5794e+20  
+049.9947 -5.1770e-06 +1.0139e-06  -3.0008e-03 -5.5381e-03  +1.1258e+02 +1.0714e-01  +2.4868e+00 -3.1716e-02  +1.6991e+02 -4.5355e+01  -3.0936e+03 -7.6672e+02  +3.6772e+05 -2.3972e+04  +1.3418e+07 +1.2050e+07  -7.1722e+10 +7.3738e+09  -1.0246e+10 +6.0024e+09  -6.9053e+11 -2.2557e+12  -1.0722e+12 +3.2507e+13  -2.1394e+16 +1.7182e+16  -4.0590e+18 -5.5697e+18  +1.6391e+22 -7.7658e+20  
+069.9954 -5.4165e-06 +2.3286e-06  -4.2174e-03 -7.7309e-03  +1.5779e+02 +1.3017e-01  +3.4356e+00 -4.7896e-02  +2.4097e+02 -6.0085e+01  -4.3700e+03 -7.9962e+02  +5.2393e+05 -5.3646e+04  +1.4983e+07 +1.5858e+07  -1.0041e+11 +1.4155e+10  -1.3566e+09 +1.2231e+10  -1.2445e+12 -2.2997e+12  -1.5241e+13 +7.2471e+13  -3.1765e+16 +2.8850e+16  -4.3418e+18 -7.2985e+18  +2.3339e+22 -1.1796e+21  
+089.9985 -6.1277e-06 +3.4433e-06  -5.4307e-03 -9.9059e-03  +2.0278e+02 +1.4301e-01  +4.3307e+00 +1.9131e-02  +3.1016e+02 -7.5033e+01  -5.3686e+03 -8.5806e+02  +6.4613e+05 -5.2650e+04  +1.9708e+07 +2.1612e+07  -1.2977e+11 +2.1729e+10  +1.9733e+10 -5.1896e+09  +4.5284e+10 -3.9062e+12  -6.5436e+13 -1.1472e+13  -3.4541e+16 +3.1176e+16  -5.6026e+18 -9.5578e+18  +3.0309e+22 -1.3583e+21  
+109.9965 -7.2497e-06 +4.2023e-06  -6.6092e-03 -1.2046e-02  +2.4707e+02 +1.4480e-01  +5.1218e+00 +1.4579e-01  +3.7928e+02 -8.5922e+01  -6.6070e+03 -1.4093e+03  +8.2075e+05 -7.2088e+04  +2.3060e+07 +2.2878e+07  -1.5788e+11 +3.0886e+10  +1.6350e+10 -5.0243e+09  -2.3507e+11 -6.2413e+12  +3.9678e+13 -2.6930e+13  -5.6798e+16 +5.1533e+16  -6.7497e+18 -1.0470e+19  +3.6880e+22 -1.4508e+21  
