# HEADER
# ======
# label             si-sextupole-s15-sdb3-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  1.003330
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +4.9265e-06 +2.9102e-06  +1.2540e-04 -4.4630e-06  -2.3797e+00 -3.4288e-03  +2.6495e-01 +5.0335e-01  -1.5359e+01 -6.3508e+00  +7.2687e+01 +9.1819e+01  -3.1330e+04 -5.3188e+03  +5.6832e+05 -2.8276e+05  -4.3300e+08 -5.3371e+07  -3.3310e+09 -1.0373e+10  +8.4489e+11 +2.8666e+11  +7.2247e+12 -1.3176e+14  +6.6626e+14 -3.4040e+15  +1.9645e+17 +2.2345e+17  -3.5005e+20 +1.2228e+19
+001.9954 +5.1582e-06 +2.7306e-06  +2.3635e-04 +2.2000e-04  -6.5171e+00 -7.6920e-03  +1.5367e-01 +4.2537e-01  -2.2455e+01 -3.1546e+00  +9.4384e+01 +2.4382e+02  -4.4521e+04 -8.7419e+02  -2.1054e+05 -7.7307e+05  +2.3851e+09 -1.3453e+08  -1.4688e+09 -9.2287e+09  +4.9131e+11 +2.8584e+11  +7.5849e+12 -5.2775e+13  +4.9477e+14 -2.7496e+15  +1.3492e+17 +3.4189e+17  -9.0571e+20 +9.9511e+18
+003.9979 +5.3907e-06 +2.5503e-06  +3.4769e-04 +4.4526e-04  -1.0669e+01 -1.1970e-02  +4.1988e-02 +3.4712e-01  -2.9576e+01 +5.3046e-02  +1.1616e+02 +3.9635e+02  -5.7758e+04 +3.5863e+03  -9.9217e+05 -1.2651e+06  +5.2132e+09 -2.1597e+08  +4.0004e+08 -8.0805e+09  +1.3646e+11 +2.8502e+11  +7.9464e+12 +2.6491e+13  +3.2267e+14 -2.0930e+15  +7.3168e+16 +4.6076e+17  -1.4633e+21 +7.6664e+18
+005.9972 +5.6621e-06 +2.3404e-06  +4.6400e-04 +6.7299e-04  -1.4870e+01 -1.6330e-02  -5.9739e-02 +2.5300e-01  -3.7284e+01 +2.9843e+00  +1.0088e+02 +2.6428e+02  -7.1940e+04 -5.9332e+02  -1.4934e+06 -1.6405e+06  +8.2951e+09 -3.3744e+08  -1.3393e+09 -7.5894e+09  +1.3305e+11 +4.8933e+11  +2.7978e+13 +6.9770e+13  +2.1800e+15 -4.1051e+15  +4.1107e+17 +6.8772e+17  -2.1157e+21 +7.2409e+17
+007.9961 +5.9141e-06 +2.1370e-06  +5.8133e-04 +8.9905e-04  -1.9112e+01 -2.0645e-02  -1.4287e-01 +1.7498e-01  -4.3126e+01 +5.5133e+00  +1.4305e+02 +3.5915e+02  -9.2842e+04 +7.3615e+02  -1.9963e+06 -1.8707e+06  +1.1345e+10 -4.4696e+08  +3.7765e+08 -7.0696e+09  +3.7707e+11 +3.2863e+11  +2.5588e+13 +4.1184e+13  +2.7800e+15 -4.3823e+15  +5.1634e+17 +8.8329e+17  -2.7468e+21 +1.0217e+18
+009.9962 +6.1255e-06 +1.9412e-06  +7.0189e-04 +1.1255e-03  -2.3393e+01 -2.4987e-02  -2.4799e-01 +9.7965e-02  -5.1933e+01 +7.9989e+00  +1.5306e+02 +1.3234e+02  -1.1217e+05 +6.8807e+03  -2.0088e+06 -2.2222e+06  +1.4318e+10 -5.5486e+08  -1.1650e+09 -5.5878e+09  +2.9421e+11 +5.7240e+11  +3.5578e+13 +6.7158e+13  +3.4538e+15 -5.7886e+15  +5.9853e+17 +1.1003e+18  -3.3486e+21 +1.0623e+19
+029.9959 +7.9112e-06 -6.0766e-08  +1.9588e-03 +3.3975e-03  -6.7452e+01 -6.7354e-02  -1.1151e+00 -4.1770e-01  -1.3968e+02 +3.4666e+01  +2.1518e+02 +5.2921e+02  -3.2069e+05 +2.3124e+03  -5.8719e+06 -5.9619e+06  +4.4117e+10 -1.8642e+09  -3.8898e+09 -8.7030e+09  +2.9038e+11 +5.6989e+11  +1.3872e+13 +5.3456e+13  +1.2859e+16 -1.4390e+16  +1.8297e+18 +3.1834e+18  -9.8194e+21 +4.2025e+18
+049.9944 +9.5333e-06 -2.0473e-06  +3.2823e-03 +5.6403e-03  -1.1248e+02 -1.0225e-01  -1.8394e+00 -7.0129e-01  -2.3527e+02 +6.1047e+01  +3.6806e+02 +9.0078e+02  -5.3491e+05 -2.4163e+03  -8.9137e+06 -9.8229e+06  +7.2641e+10 -5.2179e+09  -4.5014e+09 +5.5156e+08  +7.3809e+11 +1.1079e+12  +5.0029e+13 +3.1146e+13  +1.8507e+16 -2.1346e+16  +3.3370e+18 +5.8288e+18  -1.6465e+22 +3.5029e+20
+069.9950 +1.1431e-05 -3.7892e-06  +4.6218e-03 +7.8587e-03  -1.5765e+02 -1.2938e-01  -2.4793e+00 -9.9622e-01  -3.2782e+02 +8.4347e+01  +1.3566e+02 +9.3776e+02  -7.3839e+05 +3.1180e+04  -1.1368e+07 -1.3251e+07  +1.0212e+11 -9.7949e+09  -1.8486e+10 +4.4301e+09  -4.7399e+11 +1.2243e+12  +1.0263e+14 +1.1718e+14  +3.1686e+16 -3.5953e+16  +3.8754e+18 +7.7509e+18  -2.3388e+22 +5.4764e+20
+089.9981 +1.4122e-05 -5.4408e-06  +5.9462e-03 +1.0046e-02  -2.0262e+02 -1.4916e-01  -3.0974e+00 -1.2331e+00  -4.1712e+02 +1.0140e+02  +2.8981e+02 +1.5478e+03  -9.7094e+05 +4.0939e+04  -1.1597e+07 -1.6032e+07  +1.3185e+11 -1.5181e+10  -3.9447e+09 -1.5113e+10  -2.3954e+11 +3.5776e+12  +2.2556e+13 +5.0639e+13  +4.3495e+16 -5.3344e+16  +4.4019e+18 +9.4367e+18  -3.0300e+22 +6.7123e+20
+109.9964 +1.7877e-05 -7.0422e-06  +7.2193e-03 +1.2197e-02  -2.4689e+02 -1.6269e-01  -3.6709e+00 -1.5360e+00  -4.9539e+02 +1.2443e+02  +2.2027e+02 +2.1415e+03  -1.1436e+06 +4.7741e+04  -1.3714e+07 -1.7918e+07  +1.6132e+11 -2.1256e+10  -1.2485e+10 -9.4106e+09  -1.7500e+12 +4.5625e+12  +7.3497e+13 -2.6420e+13  +4.5766e+16 -6.1899e+16  +5.4642e+18 +1.2242e+19  -3.7019e+22 +6.7185e+20
