# HEADER
# ======
# label             si-sextupole-s15-sdp0-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.004350
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -6.3593e-06 -1.0115e-06  -9.8516e-05 -3.1371e-04  +2.3197e+00 +1.5173e-03  -1.3590e-01 +7.2008e-01  -3.8234e+00 -1.5601e+01  +4.8036e+01 +1.1073e+01  +1.3784e+04 +2.7672e+04  +2.7871e+05 -1.2174e+06  +5.4282e+08 +1.3409e+08  +8.8283e+09 -2.4588e+09  +8.5954e+11 +1.6760e+11  +5.8584e+13 +5.2087e+13  +4.4014e+15 -1.7071e+15  -9.4647e+15 -3.6001e+16  +3.1638e+20 +2.8863e+19  
+001.9955 -6.2907e-06 -1.1780e-06  -1.9063e-04 -5.0396e-04  +6.4713e+00 +2.5050e-03  -2.8373e-02 +6.4755e-01  +4.0205e+00 -1.5000e+01  -1.2052e+02 -1.5224e+02  +2.4306e+04 +2.2495e+04  +6.2055e+05 -5.8379e+05  -2.3193e+09 +2.9505e+08  +3.8113e+09 -1.4323e+09  +3.7843e+11 +2.4123e+11  +4.2124e+12 +1.8333e+13  +1.5705e+15 +2.4354e+15  -8.5039e+16 -2.8986e+17  +8.9493e+20 -6.0247e+18  
+003.9983 -6.2219e-06 -1.3451e-06  -2.8309e-04 -6.9492e-04  +1.0638e+01 +3.4964e-03  +7.9553e-02 +5.7476e-01  +1.1893e+01 -1.4396e+01  -2.8969e+02 -3.1615e+02  +3.4866e+04 +1.7299e+04  +9.6365e+05 +5.2204e+04  -5.1919e+09 +4.5661e+08  -1.2241e+09 -4.0202e+08  -1.0446e+11 +3.1512e+11  -5.0360e+13 -1.5545e+13  -1.2709e+15 +6.5933e+15  -1.6089e+17 -5.4465e+17  +1.4756e+21 -4.1041e+19  
+005.9974 -6.2954e-06 -1.5083e-06  -3.8221e-04 -8.9249e-04  +1.4852e+01 +4.5204e-03  +1.7415e-01 +5.0975e-01  +1.9104e+01 -1.2516e+01  -3.0923e+02 -2.0050e+02  +5.3558e+04 +9.7175e+03  +5.4009e+05 +8.4006e+05  -8.2956e+09 +5.9574e+08  +1.9839e+09 +3.4463e+09  +1.3005e+11 -1.2445e+11  -4.9504e+12 -6.4615e+13  -2.2429e+15 +5.4282e+15  -4.6847e+17 -7.6295e+17  +2.0946e+21 -6.7891e+19  
+007.9964 -6.3627e-06 -1.7144e-06  -4.8271e-04 -1.0923e-03  +1.9106e+01 +5.7386e-03  +2.5702e-01 +4.5663e-01  +2.4680e+01 -1.1104e+01  -4.3594e+02 -2.4039e+02  +7.6842e+04 +6.0904e+03  +1.0602e+06 +1.5853e+06  -1.1275e+10 +8.1356e+08  +1.8417e+09 +2.1965e+09  +1.0916e+11 -4.6048e+11  -4.2317e+12 -4.9636e+13  -3.2362e+15 +6.2166e+15  -5.3798e+17 -1.1065e+18  +2.7234e+21 -6.1852e+19  
+009.9965 -6.3788e-06 -1.8458e-06  -5.8305e-04 -1.2940e-03  +2.3397e+01 +6.7539e-03  +3.4566e-01 +3.9935e-01  +3.3363e+01 -9.6566e+00  -5.3990e+02 -6.6065e+01  +9.0567e+04 -8.0550e+03  +1.3504e+06 +1.8674e+06  -1.4256e+10 +9.3998e+08  +1.1230e+09 +3.3164e+09  -1.0981e+11 -2.5569e+11  -9.7860e+12 -7.8990e+13  -5.5184e+15 +5.7505e+15  -6.2853e+17 -1.3408e+18  +3.3248e+21 -1.0514e+20  
+029.9960 -6.9703e-06 -3.1663e-06  -1.6355e-03 -3.4289e-03  +6.7534e+01 +1.7245e-02  +1.1835e+00 +1.0728e-01  +1.0564e+02 -8.4517e-02  -1.4883e+03 -4.4771e+02  +2.7489e+05 -2.4702e+04  +3.7115e+06 +8.6759e+06  -4.4136e+10 +2.7564e+09  +1.5431e+09 +1.0810e+10  -5.9389e+11 -1.0874e+12  -1.1450e+13 -2.2639e+13  -1.4592e+16 +1.1034e+16  -1.9169e+18 -3.3659e+18  +9.7332e+21 -2.3637e+20  
+049.9947 -8.0765e-06 -3.8642e-06  -2.7202e-03 -5.6847e-03  +1.1261e+02 +2.4870e-02  +1.9713e+00 +1.3112e-01  +1.7482e+02 -1.5025e+00  -2.6508e+03 -8.2180e+02  +4.5269e+05 -3.4250e+04  +5.8655e+06 +1.3979e+07  -7.3101e+10 +5.0754e+09  +3.0587e+08 +1.9668e+10  -7.6726e+11 -1.8577e+12  -2.1148e+13 +2.4604e+13  -2.4760e+16 +1.7855e+16  -3.1418e+18 -5.7163e+18  +1.6258e+22 -3.9961e+20  
+069.9953 -9.5302e-06 -4.1967e-06  -3.8127e-03 -7.9879e-03  +1.5782e+02 +2.9631e-02  +2.7295e+00 +3.3554e-01  +2.4462e+02 -7.5972e+00  -3.8303e+03 -1.0700e+03  +6.2804e+05 -5.0922e+04  +8.2448e+06 +2.0127e+07  -1.0238e+11 +7.8393e+09  -3.1180e+09 +3.3436e+10  -1.3778e+12 -2.4455e+12  +5.9547e+13 +5.3709e+13  -2.6771e+16 +2.5485e+16  -3.7541e+18 -8.0596e+18  +2.2927e+22 -5.2005e+20  
+089.9986 -1.1363e-05 -4.4748e-06  -4.8812e-03 -1.0291e-02  +2.0284e+02 +2.8403e-02  +3.4386e+00 +7.6585e-01  +3.1873e+02 -1.2534e+01  -4.6044e+03 -1.3246e+03  +8.2458e+05 -5.4554e+04  +1.1047e+07 +2.7867e+07  -1.3153e+11 +1.2830e+10  +8.6040e+09 +1.4534e+10  -1.3904e+12 -1.9088e+12  -6.7367e+13 -3.2063e+13  -4.1325e+16 +2.5449e+16  -6.4214e+18 -1.1041e+19  +2.9597e+22 -9.6714e+20  
+109.9966 -1.3376e-05 -5.1254e-06  -5.9066e-03 -1.2534e-02  +2.4715e+02 +2.4778e-02  +4.1234e+00 +1.0897e+00  +3.8606e+02 -1.0874e+01  -5.6293e+03 -1.6331e+03  +1.0201e+06 -9.2270e+04  +1.2018e+07 +3.1758e+07  -1.6162e+11 +1.7774e+10  +4.3416e+10 +1.7082e+10  -1.7671e+12 -3.2366e+12  -2.8921e+13 +1.8408e+13  -4.8678e+16 +4.8331e+16  -7.9523e+18 -1.2317e+19  +3.6229e+22 -1.3806e+21  
+129.9962 -1.5736e-05 -6.0920e-06  -6.8650e-03 -1.4691e-02  +2.9028e+02 +1.7351e-02  +4.9241e+00 +1.3946e+00  +4.4458e+02 -6.0226e+00  -6.7071e+03 -1.3466e+03  +1.1687e+06 -8.2057e+04  +1.1954e+07 +3.9837e+07  -1.9083e+11 +2.3038e+10  +6.4052e+10 -1.7679e+10  -1.3789e+11 -5.1468e+12  +8.3446e+13 -4.7620e+13  -4.8359e+16 +5.1916e+16  -7.5833e+18 -1.4128e+19  +4.2623e+22 -1.8211e+21  
+149.9971 -1.8834e-05 -8.0291e-06  -7.6588e-03 -1.6638e-02  +3.3068e+02 +6.3437e-03  +5.9691e+00 +1.4066e+00  +5.0397e+02 +1.7502e+01  -7.1864e+03 -2.7062e+03  +1.3204e+06 -1.2180e+05  +1.5157e+07 +4.8450e+07  -2.1893e+11 +2.8131e+10  +5.1585e+10 -6.5498e+09  -1.2725e+12 -4.0788e+12  +2.1351e+14 +3.1502e+14  -5.6096e+16 +6.9796e+16  -8.1395e+18 -1.5857e+19  +4.8765e+22 -1.8037e+21  
+167.7981 -2.6620e-05 -1.1793e-05  -8.1417e-03 -1.8098e-02  +3.5996e+02 -4.8240e-03  +7.1660e+00 +1.7175e+00  +4.5460e+02 +7.0996e+01  -8.1358e+03 -2.5919e+03  +1.3962e+06 -1.4410e+05  +1.5657e+07 +4.8990e+07  -2.3943e+11 +3.2849e+10  +5.0072e+10 +3.5017e+09  +2.9900e+12 -5.8614e+12  +3.1371e+14 +2.0741e+14  -7.0136e+16 +5.5808e+16  -8.4879e+18 -1.7152e+19  +5.3105e+22 -2.0120e+21  
+180.0000 -3.4692e-05 -1.5482e-05  -8.3510e-03 -1.8949e-02  +3.7640e+02 -1.3225e-02  +8.1315e+00 +2.0941e+00  +3.6514e+02 +1.2538e+02  -9.0710e+03 -1.7930e+03  +1.4160e+06 -1.5228e+05  +1.4719e+07 +4.5485e+07  -2.5103e+11 +3.6185e+10  +5.4249e+10 +1.0471e+10  +8.7799e+12 -8.5701e+12  +3.7392e+14 -1.0050e+14  -8.3653e+16 +2.9952e+16  -8.6469e+18 -1.7907e+19  +5.5465e+22 -2.2766e+21  

