# HEADER
# ======
# label             si-sextupole-s15-sdp2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.003760
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.1488e-06 -4.7696e-07  -2.0051e-04 -1.1256e-04  +2.3696e+00 +9.9499e-04  -4.4413e-01 -1.0472e-01  +1.3116e+01 -5.7395e+00  +2.1200e+02 -3.2675e+02  +2.3699e+04 +2.2517e+04  -1.3620e+06 -1.2855e+06  +5.5716e+08 +1.6796e+08  +2.8173e+10 -2.5233e+09  +7.4553e+11 -1.9256e+12  +1.3316e+14 +1.6965e+14  +1.2452e+15 +9.5585e+15  +1.3561e+17 -1.3145e+16  +3.1379e+20 -5.0991e+19  
+001.9959 -5.3693e-06 -3.8883e-07  -3.4731e-04 -3.4973e-04  +6.5133e+00 +2.8286e-03  -2.8897e-01 -4.6974e-02  +2.0068e+01 -6.4815e+00  +1.0548e+01 -3.2738e+02  +4.3695e+04 +1.7842e+04  -2.8464e+05 +1.9204e+05  -2.1793e+09 +4.5164e+08  +1.5734e+10 -1.2823e+09  +3.2721e+11 -8.1618e+11  +6.8662e+13 +8.9417e+13  -3.2291e+14 +6.6445e+15  -3.7855e+17 -2.8520e+17  +8.9608e+20 -6.2935e+19  
+003.9985 -5.5906e-06 -3.0041e-07  -4.9460e-04 -5.8770e-04  +1.0671e+01 +4.6684e-03  -1.3327e-01 +1.0967e-02  +2.7044e+01 -7.2260e+00  -1.9158e+02 -3.2801e+02  +6.3758e+04 +1.3151e+04  +7.9632e+05 +1.6745e+06  -4.9249e+09 +7.3626e+08  +3.2543e+09 -3.7092e+07  -9.2504e+10 +2.9699e+11  +3.9482e+12 +8.9096e+12  -1.8963e+15 +3.7207e+15  -8.9443e+17 -5.5816e+17  +1.4803e+21 -7.4918e+19  
+005.9971 -5.8499e-06 -2.0754e-07  -6.4527e-04 -8.3132e-04  +1.4875e+01 +6.2363e-03  +3.0131e-02 +9.0078e-02  +3.3944e+01 -9.5265e+00  -8.9739e+01 -1.9284e+02  +7.2183e+04 +2.0953e+04  +2.1300e+06 +8.4103e+05  -7.7543e+09 +1.0277e+09  -4.0158e+09 +1.1556e+10  -2.4333e+11 +1.0530e+11  -6.7561e+13 -4.1936e+12  -4.7438e+15 +2.9264e+15  -8.1525e+17 -3.9971e+17  +2.1114e+21 -1.3023e+20  
+007.9962 -6.0080e-06 -1.0825e-07  -7.9562e-04 -1.0721e-03  +1.9119e+01 +7.8342e-03  +1.9449e-01 +1.3838e-01  +4.3304e+01 -1.1723e+01  -1.6713e+02 -3.1458e+02  +9.5130e+04 +2.6095e+04  +3.1760e+06 +2.5701e+06  -1.0853e+10 +1.2665e+09  +7.9683e+09 -8.5397e+08  -5.0783e+11 +1.0527e+11  -4.9915e+13 -4.4503e+13  -6.4364e+15 +3.4491e+15  -8.3261e+17 -8.2582e+17  +2.6842e+21 -1.6699e+20  
+009.9963 -6.1635e-06 -3.1439e-08  -9.5352e-04 -1.3182e-03  +2.3401e+01 +9.5749e-03  +3.5683e-01 +1.9233e-01  +5.1711e+01 -1.5723e+01  -6.4604e+01 -2.1177e+02  +9.9799e+04 +2.5152e+04  +3.3430e+06 +3.5630e+06  -1.3720e+10 +1.6456e+09  +2.9316e+09 +4.0995e+09  -3.2461e+11 -3.2409e+11  -2.6665e+13 -1.3307e+14  -1.2488e+16 +3.8113e+15  -1.2281e+18 -1.1279e+18  +3.2855e+21 -2.0325e+20  
+029.9962 -6.9061e-06 +1.0820e-06  -2.6243e-03 -3.8371e-03  +6.7473e+01 +2.5167e-02  +1.6734e+00 +7.2241e-01  +1.5963e+02 -3.9256e+01  -4.7554e+02 -2.7667e+02  +3.3943e+05 +4.7693e+04  +1.1176e+07 +1.0103e+07  -4.2280e+10 +4.5700e+09  -4.8252e+09 +5.9140e+09  -1.4061e+12 +4.5565e+11  -5.6318e+13 -1.8626e+14  -3.2332e+16 +8.1709e+15  -3.0109e+18 -3.4506e+18  +9.5426e+21 -5.0558e+20  
+049.9949 -7.2236e-06 +2.2914e-06  -4.3854e-03 -6.3949e-03  +1.1251e+02 +3.7841e-02  +2.7910e+00 +1.2456e+00  +2.7301e+02 -6.5774e+01  -7.4384e+02 -4.9023e+02  +6.0103e+05 +5.8774e+04  +1.7504e+07 +1.5442e+07  -6.9763e+10 +8.4144e+09  -2.8123e+10 -9.4943e+09  -1.7238e+12 -1.2450e+11  -7.8222e+13 -1.9163e+14  -4.0710e+16 +8.5349e+15  -5.8187e+18 -5.1271e+18  +1.5951e+22 -8.7288e+20  
+069.9956 -8.0069e-06 +3.3705e-06  -6.1802e-03 -8.9357e-03  +1.5769e+02 +4.7782e-02  +3.8251e+00 +1.7421e+00  +3.8949e+02 -9.0478e+01  -1.1966e+03 -1.4808e+02  +8.2762e+05 +8.9634e+04  +2.4037e+07 +2.0571e+07  -9.7190e+10 +1.2475e+10  -1.6454e+10 -2.5397e+10  -2.3614e+12 -8.3349e+11  -1.4753e+14 -2.9263e+14  -6.3407e+16 +2.2631e+16  -7.5080e+18 -8.1448e+18  +2.2536e+22 -1.2048e+21  
+089.9987 -9.0449e-06 +4.2823e-06  -7.9766e-03 -1.1437e-02  +2.0270e+02 +5.2256e-02  +4.7966e+00 +2.1201e+00  +5.0238e+02 -1.1227e+02  -1.1934e+03 -5.0694e+02  +1.0936e+06 +9.4737e+04  +3.1818e+07 +2.9205e+07  -1.2559e+11 +1.8210e+10  -1.6799e+10 -3.3030e+10  -2.7823e+12 -2.7104e+12  -3.3233e+14 -5.8113e+14  -8.5303e+16 +1.7346e+16  -1.0933e+19 -1.0657e+19  +2.9225e+22 -1.6990e+21  
+109.9968 -1.0656e-05 +4.9782e-06  -9.7117e-03 -1.3855e-02  +2.4702e+02 +5.4391e-02  +5.7763e+00 +2.5092e+00  +6.1354e+02 -1.2927e+02  -1.4755e+03 -9.7189e+02  +1.3765e+06 +9.9421e+04  +4.0702e+07 +3.7525e+07  -1.5394e+11 +2.3368e+10  -1.6952e+10 -7.5937e+10  -3.0906e+12 +4.6216e+10  -4.7581e+14 -4.3757e+14  -1.1112e+17 +3.6763e+16  -1.2213e+19 -1.2280e+19  +3.5799e+22 -1.9539e+21  
