# HEADER
# ======
# label             si-sextupole-s15-sdp3-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  1.003330
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +5.2063e-06 +5.2106e-07  -1.1051e-04 +7.2943e-05  -2.3488e+00 -2.8228e-03  -7.3337e-01 +1.5882e-01  -2.2720e+01 +2.7600e+01  -6.9784e+01 -3.3111e+01  -1.2101e+04 -2.2166e+04  -1.4652e+06 -2.2689e+05  -6.6257e+08 -3.1341e+07  +1.0861e+10 -6.2577e+09  +4.2702e+11 -3.1805e+11  +3.0378e+13 -1.1716e+14  +2.0492e+15 -6.0482e+15  +1.2303e+17 -1.0376e+17  -3.4892e+20 +1.4889e+18
+001.9955 +5.4110e-06 +8.2921e-07  +1.0892e-05 +2.5773e-04  -6.4994e+00 -6.5559e-03  -6.9254e-01 +1.7130e-01  -2.4255e+01 +2.1841e+01  -4.5769e+01 +1.7419e+02  -2.1061e+04 -1.2023e+04  -1.0320e+06 -3.4510e+05  +2.2062e+09 -1.8786e+08  +6.6047e+09 -4.5595e+09  +3.7396e+11 -2.7276e+11  +2.7414e+13 -5.1928e+13  +2.1109e+15 -5.1066e+15  +1.1833e+17 +2.0157e+17  -9.1034e+20 +1.5803e+19
+003.9982 +5.6164e-06 +1.1385e-06  +1.3274e-04 +4.4319e-04  -1.0665e+01 -1.0303e-02  -6.5156e-01 +1.8383e-01  -2.5796e+01 +1.6062e+01  -2.1667e+01 +3.8224e+02  -3.0055e+04 -1.8423e+03  -5.9715e+05 -4.6375e+05  +5.0854e+09 -3.4494e+08  +2.3330e+09 -2.8552e+09  +3.2071e+11 -2.2731e+11  +2.4439e+13 +1.3542e+13  +2.1729e+15 -4.1616e+15  +1.1361e+17 +5.0801e+17  -1.4738e+21 +3.0169e+19
+005.9973 +5.8304e-06 +1.3410e-06  +2.5365e-04 +6.3465e-04  -1.4878e+01 -1.4135e-02  -6.0718e-01 +1.7381e-01  -2.8356e+01 +1.1563e+01  +2.9844e+01 +2.4167e+02  -3.6359e+04 +4.9698e+03  -9.9669e+05 -1.2031e+06  +8.1137e+09 -4.4284e+08  +6.8982e+09 -3.2458e+09  +3.0141e+11 +6.7951e+10  +2.7151e+13 +6.4004e+13  +8.5861e+14 -5.4614e+15  +1.5764e+17 +5.2584e+17  -2.1145e+21 +3.5452e+19
+007.9962 +6.1219e-06 +1.5294e-06  +3.7091e-04 +8.2532e-04  -1.9131e+01 -1.8133e-02  -5.9089e-01 +1.5910e-01  -2.9399e+01 +8.1789e+00  +1.4422e+02 +3.2428e+02  -4.8289e+04 +1.1429e+04  -1.0810e+06 -1.8719e+06  +1.1141e+10 -5.6937e+08  +6.8635e+09 -2.1878e+09  +3.6419e+11 +2.0284e+11  +1.4182e+13 +3.2542e+13  +2.4836e+15 -6.2995e+15  +1.4655e+17 +7.2659e+17  -2.7443e+21 +2.9062e+19
+009.9963 +6.3457e-06 +1.7164e-06  +4.8799e-04 +1.0162e-03  -2.3422e+01 -2.1809e-02  -5.8307e-01 +1.6272e-01  -3.2042e+01 +4.2233e+00  +2.1803e+02 +9.1918e+01  -5.3889e+04 +2.9145e+04  -6.4737e+05 -1.6298e+06  +1.4071e+10 -7.0752e+08  +2.5256e+09 -1.5756e+09  +1.7301e+11 +2.7368e+11  +3.7806e+13 +6.7848e+13  +2.5896e+15 -7.8576e+15  +3.4182e+17 +9.5700e+17  -3.3728e+21 +5.5682e+19
+029.9961 +8.2312e-06 +2.3330e-06  +1.5657e-03 +2.9809e-03  -6.7562e+01 -5.9790e-02  -8.8742e-01 +1.8488e-01  -6.2910e+01 -1.7569e+01  +9.0434e+02 +4.3557e+02  -1.5734e+05 +9.9131e+04  -8.1184e+05 -4.9157e+06  +4.3522e+10 -2.1319e+09  +3.1177e+09 -2.6139e+09  +2.7099e+11 +1.9115e+12  +6.4295e+13 +3.7922e+13  +6.9984e+15 -1.8544e+16  +1.0942e+18 +2.6585e+18  -9.8683e+21 +1.4315e+20
+049.9946 +9.6827e-06 +1.9456e-06  +2.5799e-03 +4.9606e-03  -1.1265e+02 -9.3164e-02  -1.5691e+00 +3.0219e-01  -1.0271e+02 -2.4589e+01  +1.6184e+03 +7.8777e+02  -2.6583e+05 +1.6130e+05  -3.3554e+06 -8.6947e+06  +7.1792e+10 -4.7301e+09  +1.5082e+10 -8.0370e+09  -1.5309e+11 +2.5724e+12  +8.3395e+13 -7.2920e+12  +1.3577e+16 -2.9868e+16  +2.0801e+18 +4.5606e+18  -1.6441e+22 +3.6332e+20
+069.9953 +1.1292e-05 +1.2568e-06  +3.5752e-03 +6.9460e-03  -1.5788e+02 -1.2170e-01  -2.3412e+00 +3.9434e-01  -1.4366e+02 -2.5659e+01  +2.1595e+03 +8.3393e+02  -3.6241e+05 +2.3776e+05  -4.2815e+06 -1.1106e+07  +1.0025e+11 -8.2348e+09  +2.3390e+10 -8.2086e+09  -6.9726e+10 +2.6655e+12  +1.8291e+14 +1.1581e+13  +1.3201e+16 -4.0536e+16  +2.8095e+18 +5.9510e+18  -2.3076e+22 +6.9925e+20
+089.9984 +1.3103e-05 +7.5413e-07  +4.5610e-03 +8.9211e-03  -2.0294e+02 -1.4368e-01  -3.1545e+00 +3.6367e-01  -1.8103e+02 -3.2294e+01  +3.1311e+03 +8.9453e+02  -4.7479e+05 +2.5574e+05  -3.9499e+06 -1.4553e+07  +1.2941e+11 -1.3189e+10  +4.1433e+10 -2.0756e+10  -7.6587e+11 +3.3111e+12  +7.6718e+13 +8.2478e+13  +3.0565e+16 -4.9154e+16  +3.2339e+18 +7.6041e+18  -2.9962e+22 +9.7368e+20
+109.9962 +1.5577e-05 +1.0943e-06  +5.5676e-03 +1.0883e-02  -2.4731e+02 -1.5976e-01  -3.7128e+00 +3.2085e-01  -2.1501e+02 -5.4336e+01  +4.1956e+03 +1.3466e+03  -5.7559e+05 +3.4843e+05  -1.2009e+06 -1.8721e+07  +1.5897e+11 -1.8523e+10  +2.2222e+10 -3.4098e+10  -1.4239e+11 +5.4482e+12  +2.8494e+13 -8.9796e+13  +2.3470e+16 -6.8800e+16  +3.0476e+18 +9.5312e+18  -3.6784e+22 +1.1842e+21
