# HEADER
# ======
# label             si-sextupole-s15-sfa1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +4.7806e-06 +1.9333e-06  -3.7051e-05 +1.7279e-04  -2.3486e+00 -2.6643e-03  -2.7788e-01 -1.6284e-01  -8.8540e+00 +1.9898e+00  +6.0561e+01 +3.6281e+02  -1.6666e+04 +2.7483e+01  -2.0154e+06 -7.5656e+05  -5.0312e+08 -2.0485e+08  -1.0328e+10 +1.4177e+10  -7.4243e+11 +7.0216e+11  +1.1433e+14 -1.3583e+14  +8.5215e+14 -1.1622e+15  +1.5214e+17 +8.0035e+17  -3.2429e+20 -2.8384e+19
+001.9956 +5.2286e-06 +1.9982e-06  +8.4697e-05 +3.8056e-04  -6.4999e+00 -6.6616e-03  -2.8219e-01 -2.1011e-01  -1.4284e+01 -1.7451e-01  +4.2444e+01 +3.7398e+02  -3.4026e+04 +3.1732e+03  -1.3900e+06 -3.0198e+05  +2.3014e+09 -3.1931e+08  -5.5450e+09 +6.7496e+09  -2.1344e+11 +5.6573e+11  +8.1092e+13 -6.6904e+13  +5.9903e+14 -1.3663e+15  +2.1295e+17 +5.7528e+17  -9.0176e+20 +5.8874e+18
+003.9982 +5.6782e-06 +2.0634e-06  +2.0688e-04 +5.8906e-04  -1.0666e+01 -1.0673e-02  -2.8652e-01 -2.5756e-01  -1.9734e+01 -2.3465e+00  +2.4263e+01 +3.8519e+02  -5.1447e+04 +6.3301e+03  -7.6242e+05 +1.5422e+05  +5.1159e+09 -4.3417e+08  -7.4529e+08 -7.0415e+08  +3.1742e+11 +4.2882e+11  +4.7734e+13 +2.2695e+12  +3.4501e+14 -1.5711e+15  +2.7398e+17 +3.4941e+17  -1.4813e+21 +4.0281e+19
+005.9974 +6.0854e-06 +2.0612e-06  +3.2031e-04 +7.9463e-04  -1.4879e+01 -1.4454e-02  -2.9260e-01 -3.0725e-01  -2.3209e+01 -3.9688e+00  -2.8997e+01 +3.1531e+02  -6.4142e+04 +9.3831e+03  -1.4531e+06 -6.9249e+05  +8.1815e+09 -6.3752e+08  +6.4967e+08 -1.6856e+09  -4.9384e+10 +5.7578e+11  +3.0656e+13 +2.4401e+13  +2.4425e+15 -3.8497e+15  +4.3281e+17 +6.1539e+17  -2.0822e+21 +5.6027e+19
+007.9962 +6.5578e-06 +2.0893e-06  +4.3585e-04 +9.9717e-04  -1.9132e+01 -1.8478e-02  -3.1438e-01 -3.3770e-01  -2.7838e+01 -4.8682e+00  -8.8413e+01 +4.3217e+02  -7.8005e+04 +1.5931e+04  -2.1150e+06 -1.4261e+06  +1.1186e+10 -7.5081e+08  -2.2518e+09 -1.1064e+10  -5.1469e+11 +1.3363e+12  +3.0981e+13 +4.4509e+13  +3.7507e+15 -7.7685e+15  +3.2416e+17 +7.6700e+17  -2.7460e+21 +7.2941e+19
+009.9963 +7.0044e-06 +2.1597e-06  +5.4819e-04 +1.2004e-03  -2.3422e+01 -2.2375e-02  -3.4489e-01 -3.3393e-01  -3.1966e+01 -7.6967e+00  -5.3749e+01 +1.2486e+02  -1.0163e+05 +2.6635e+04  -1.6424e+06 -1.9855e+06  +1.4094e+10 -1.0169e+09  -5.4088e+09 -6.8219e+09  -1.9595e+11 +8.1727e+11  +6.7358e+12 +5.4357e+13  +3.3187e+15 -4.0511e+15  +4.9978e+17 +1.0379e+18  -3.3322e+21 +8.8727e+19
+029.9961 +1.1259e-05 +2.3367e-06  +1.6603e-03 +3.2426e-03  -6.7551e+01 -5.9696e-02  -8.3327e-01 -2.4337e-01  -8.2033e+01 -2.8054e+01  -4.0102e+02 +5.2333e+02  -2.6657e+05 +8.6215e+04  -4.7819e+06 -7.0731e+06  +4.3565e+10 -3.3945e+09  -2.0003e+09 -7.7843e+09  -5.7611e+11 +2.0293e+12  +7.9036e+13 -1.4199e+13  +1.4085e+16 -1.4172e+16  +1.4770e+18 +3.0334e+18  -9.7748e+21 +2.4257e+20
+049.9945 +1.5615e-05 +2.5001e-06  +2.7667e-03 +5.3209e-03  -1.1263e+02 -8.7395e-02  -1.4559e+00 -2.1876e-01  -1.3533e+02 -4.5219e+01  -5.7453e+02 +5.2123e+02  -4.3910e+05 +1.4065e+05  -6.3688e+06 -1.0426e+07  +7.1501e+10 -8.3059e+09  -2.1231e+09 +8.3904e+09  -1.7678e+12 +3.4287e+12  +1.2116e+14 +6.4509e+13  +1.6543e+16 -2.0294e+16  +2.3932e+18 +5.4667e+18  -1.6258e+22 +8.1699e+20
+069.9951 +2.0173e-05 +2.6569e-06  +3.8666e-03 +7.3929e-03  -1.5785e+02 -1.0421e-01  -2.0402e+00 -2.6109e-01  -1.9003e+02 -6.3752e+01  -9.4863e+02 +1.0311e+03  -5.9553e+05 +1.9473e+05  -6.5740e+06 -1.2557e+07  +1.0006e+11 -1.5100e+10  -1.9095e+10 +1.8645e+10  -1.4982e+12 +5.5966e+12  +1.7690e+14 +2.0270e+13  +2.1358e+16 -2.5969e+16  +3.2373e+18 +7.7580e+18  -2.3019e+22 +1.2102e+21
+089.9982 +2.5282e-05 +2.8171e-06  +4.9268e-03 +9.4432e-03  -2.0288e+02 -1.1138e-01  -2.6580e+00 -3.8920e-01  -2.4862e+02 -8.1972e+01  -9.0716e+02 +1.4873e+03  -7.7430e+05 +2.4766e+05  -5.9573e+06 -1.8503e+07  +1.2994e+11 -2.2696e+10  -3.2674e+10 +1.2154e+10  -2.0924e+12 +5.5130e+12  +1.5892e+14 -1.8379e+14  +2.1228e+16 -4.7643e+16  +4.1654e+18 +8.8925e+18  -3.0073e+22 +1.2978e+21
+109.9963 +3.0992e-05 +2.8832e-06  +5.9374e-03 +1.1443e-02  -2.4719e+02 -1.1058e-01  -3.4890e+00 -4.8867e-01  -2.9630e+02 -9.9613e+01  -4.7285e+02 +1.2714e+03  -1.0041e+06 +3.4520e+05  -9.8054e+06 -2.6440e+07  +1.5804e+11 -3.1921e+10  -2.9679e+10 +2.4225e+10  -1.9101e+12 +4.3773e+12  +2.0293e+14 -1.7048e+14  +3.4161e+16 -4.6059e+16  +5.3406e+18 +1.2526e+19  -3.6600e+22 +1.7888e+21
+129.9957 +3.7004e-05 +2.6013e-06  +6.9117e-03 +1.3354e-02  -2.9030e+02 -1.0076e-01  -4.0914e+00 -4.3169e-01  -3.4356e+02 -1.1608e+02  -2.9902e+02 +1.2004e+03  -1.1112e+06 +4.7542e+05  -3.7093e+06 -2.7885e+07  +1.8678e+11 -4.0488e+10  -2.6026e+10 -7.3646e+10  -6.8430e+10 +4.8324e+12  -5.8086e+13 -1.7248e+13  +2.0364e+16 -7.0861e+16  +5.6928e+18 +1.2894e+19  -4.2840e+22 +1.3918e+21
