# HEADER
# ======
# label             si-sextupole-s15-sfa2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling_factor  1.00373
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +6.1948e-06 +2.5469e-06  -3.0398e-05 -1.2614e-05  -2.3119e+00 -1.4489e-03  -2.9758e-01 +5.8694e-01  -3.7064e+00 -1.1211e+00  -6.8795e+01 -5.9923e+01  -4.5081e+02 +1.5247e+02  -7.0777e+05 -1.1139e+06  -5.7287e+08 +1.9034e+07  +8.9172e+09 -3.5566e+09  -1.7187e+11 +6.7022e+11  -5.2895e+12 -9.5662e+13  -3.0967e+14 -2.6853e+15  +5.7107e+16 +2.7463e+17  -3.4737e+20 -1.7124e+19
+001.9953 +6.1921e-06 +2.4705e-06  +6.4643e-05 +2.1565e-04  -6.4704e+00 -3.0823e-03  -3.2239e-01 +4.6128e-01  -6.8505e+00 +7.0635e-01  +1.7551e+02 +8.5849e+01  -1.2434e+04 +8.9446e+02  -4.2609e+05 -1.6737e+06  +2.2773e+09 -8.1768e+07  +5.0888e+09 -6.3978e+09  -1.5354e+11 +3.6664e+11  +1.0144e+13 -2.9806e+13  +4.7933e+14 -2.6943e+15  +1.2700e+17 +3.4904e+17  -9.1663e+20 -8.8428e+18
+003.9980 +6.1894e-06 +2.3938e-06  +1.6003e-04 +4.4475e-04  -1.0644e+01 -4.7217e-03  -3.4730e-01 +3.3516e-01  -1.0006e+01 +2.5405e+00  +4.2072e+02 +2.3216e+02  -2.4462e+04 +1.6392e+03  -1.4337e+05 -2.2355e+06  +5.1381e+09 -1.8294e+08  +1.2462e+09 -9.2495e+09  -1.3515e+11 +6.1928e+10  +2.5634e+13 +3.6293e+13  +1.2712e+15 -2.7033e+15  +1.9714e+17 +4.2373e+17  -1.4880e+21 -5.3087e+17
+005.9972 +6.2115e-06 +2.3034e-06  +2.5758e-04 +6.7485e-04  -1.4864e+01 -6.1132e-03  -3.6125e-01 +1.9686e-01  -1.4528e+01 +4.9730e+00  +6.3830e+02 +7.5063e+01  -3.2005e+04 +4.9133e+03  -3.6211e+05 -2.5070e+06  +8.2789e+09 -2.6498e+08  +4.6674e+09 -6.5081e+09  -1.5000e+11 +2.9042e+11  +1.6724e+13 +7.0873e+13  +9.3395e+14 -4.7481e+15  +2.0025e+17 +7.7432e+17  -2.1213e+21 -1.2944e+19
+007.9961 +6.2553e-06 +2.2549e-06  +3.5454e-04 +9.0378e-04  -1.9124e+01 -7.7472e-03  -3.8321e-01 +9.9084e-02  -1.7510e+01 +7.2571e+00  +8.0018e+02 +2.1191e+02  -3.8548e+04 +2.3055e+03  -3.4004e+05 -2.8035e+06  +1.1338e+10 -3.3320e+08  +2.0481e+09 -7.8164e+09  -2.5677e+11 +2.2009e+11  -4.8725e+11 +6.0234e+13  +3.8931e+15 -5.2085e+15  +3.6797e+17 +1.0249e+18  -2.7641e+21 -4.7000e+18
+009.9962 +6.2288e-06 +2.1865e-06  +4.4812e-04 +1.1334e-03  -2.3420e+01 -9.1360e-03  -4.0174e-01 -2.4696e-02  -2.2171e+01 +8.4599e+00  +1.0277e+03 -8.3546e+01  -5.4619e+04 +3.6455e+03  -6.1489e+05 -3.0303e+06  +1.4331e+10 -4.0978e+08  +2.0911e+09 -9.9128e+09  -2.4068e+11 +3.2792e+11  +3.8690e+13 +8.7839e+13  +2.7212e+15 -5.8561e+15  +2.2663e+17 +1.1238e+18  -3.3901e+21 -1.0025e+19
+029.9960 +6.2383e-06 +1.7633e-06  +1.4134e-03 +3.4320e-03  -6.7605e+01 -2.3461e-02  -6.9264e-01 -8.9610e-01  -6.5207e+01 +2.5903e+01  +3.0876e+03 +4.0317e+02  -1.6412e+05 -5.1545e+03  -8.5027e+05 -6.9146e+06  +4.4437e+10 -1.0948e+09  -2.9613e+09 -5.1036e+09  +2.2009e+11 +5.7390e+11  +3.2299e+13 +7.3090e+13  +8.6417e+15 -1.2773e+16  +1.1513e+18 +3.3562e+18  -9.9093e+21 -3.4584e+19
+049.9947 +6.2801e-06 +1.4009e-06  +2.3575e-03 +5.7096e-03  -1.1273e+02 -3.5657e-02  -1.1576e+00 -1.5239e+00  -1.1024e+02 +4.2852e+01  +5.2120e+03 +5.5264e+02  -2.7260e+05 -1.9681e+03  -2.1037e+06 -1.2159e+07  +7.3623e+10 -2.4448e+09  -3.4095e+09 -6.2825e+08  +2.9664e+11 +1.4418e+12  +2.0221e+13 +3.8832e+13  +1.1904e+16 -2.1353e+16  +2.1918e+18 +5.9434e+18  -1.6615e+22 -4.8786e+19
+069.9955 +6.5796e-06 +1.4828e-06  +3.2555e-03 +7.9508e-03  -1.5797e+02 -4.3761e-02  -1.7990e+00 -2.0671e+00  -1.5485e+02 +5.4093e+01  +7.2656e+03 +9.3585e+02  -3.9086e+05 -1.9505e+04  -2.5075e+06 -1.4809e+07  +1.0277e+11 -4.5885e+09  +1.4192e+09 -3.0514e+08  -5.3928e+11 +1.8998e+12  -8.8227e+12 -1.0232e+13  +2.7458e+16 -2.9389e+16  +2.9041e+18 +7.2813e+18  -2.3357e+22 +1.6912e+19
+089.9984 +7.2326e-06 +2.0949e-06  +4.0706e-03 +1.0177e-02  -2.0300e+02 -4.8478e-02  -2.7926e+00 -2.6257e+00  -1.9933e+02 +6.4325e+01  +9.2524e+03 +1.2227e+03  -5.1513e+05 -4.1403e+04  -2.4663e+06 -1.7653e+07  +1.3284e+11 -6.9551e+09  -7.8756e+09 +5.7263e+09  +1.0009e+12 +2.3039e+12  -5.3214e+13 -8.5382e+13  +3.6065e+16 -3.1214e+16  +2.8707e+18 +9.2092e+18  -3.0257e+22 -9.3255e+19
+109.9963 +7.9606e-06 +2.8691e-06  +4.7920e-03 +1.2398e-02  -2.4729e+02 -5.0575e-02  -4.1354e+00 -3.3820e+00  -2.4401e+02 +6.1517e+01  +1.1366e+04 +1.5035e+03  -6.4769e+05 -5.2852e+04  -7.9203e+06 -2.1195e+07  +1.6265e+11 -9.4846e+09  -1.1684e+10 +3.2521e+10  +8.0632e+11 +3.6957e+12  -2.6042e+13 -1.1201e+14  +3.7633e+16 -2.9255e+16  +4.8982e+18 +1.1726e+19  -3.7026e+22 -3.2091e+20
