# HEADER
# ======
# label             si-sextupole-s15-sfb0-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 +5.4115e-06 +1.9144e-06  +1.1697e-04 +1.4267e-04  -2.4107e+00 -1.5730e-03  +7.2904e-02 -2.7968e-02  -1.1805e+01 +8.9304e+00  +7.7179e+01 +8.3253e+01  -2.8051e+04 -9.1212e+03  -1.4084e+05 -4.0878e+05  -5.2270e+08 -8.6120e+07  -5.6414e+09 +3.4771e+09  -6.6950e+10 -1.1269e+10  +5.9932e+12 -1.4461e+14  -1.1981e+15 -4.7592e+15  -4.9939e+15 +7.2621e+16  -3.4385e+20 +7.9537e+17  
+001.9955 +5.6851e-06 +1.9117e-06  +2.7462e-04 +3.6667e-04  -6.5440e+00 -2.3961e-03  -2.2422e-03 -4.5477e-02  -1.8069e+01 +8.1292e+00  +4.3002e+01 +1.8079e+02  -4.3859e+04 -3.3144e+03  -4.2374e+05 -6.3048e+05  +2.2645e+09 -2.0168e+08  -1.3031e+09 +8.0835e+08  -2.0149e+10 -5.9358e+10  +1.2691e+13 -6.1759e+13  +1.0361e+15 -3.8300e+15  +2.4036e+17 +3.2850e+17  -9.1034e+20 +1.0123e+19  
+003.9981 +5.9596e-06 +1.9090e-06  +4.3283e-04 +5.9148e-04  -1.0692e+01 -3.2222e-03  -7.7659e-02 -6.3048e-02  -2.4355e+01 +7.3251e+00  +8.7015e+00 +2.7868e+02  -5.9724e+04 +2.5133e+03  -7.0765e+05 -8.5298e+05  +5.0617e+09 -3.1766e+08  +3.0508e+09 -1.8700e+09  +2.6820e+10 -1.0762e+11  +1.9414e+13 +2.1385e+13  +3.2784e+15 -2.8974e+15  +4.8661e+17 +5.8531e+17  -1.4789e+21 +1.9483e+19  
+005.9973 +6.2173e-06 +1.9587e-06  +5.9709e-04 +8.2085e-04  -1.4888e+01 -4.1256e-03  -1.4510e-01 -1.1465e-01  -3.2105e+01 +7.1113e+00  +6.8985e+01 +1.9997e+02  -8.1272e+04 +1.0735e+04  -1.0604e+06 -1.1524e+06  +8.0713e+09 -4.4572e+08  +1.8993e+09 -1.9721e+09  -5.8705e+08 +1.8040e+11  +4.1610e+13 +4.5768e+13  +2.5952e+15 -4.2496e+15  +6.4854e+17 +7.3798e+17  -2.1079e+21 +3.7087e+19  
+007.9962 +6.4691e-06 +2.0141e-06  +7.6398e-04 +1.0518e-03  -1.9126e+01 -4.9984e-03  -2.0694e-01 -1.5409e-01  -3.9804e+01 +5.9961e+00  +3.9095e+01 +3.0123e+02  -1.0448e+05 +1.3921e+04  -1.6290e+06 -1.6443e+06  +1.1066e+10 -5.8036e+08  +3.4851e+09 -3.2674e+09  +7.5047e+10 +3.5860e+11  +4.5208e+13 +3.3986e+13  +4.4792e+15 -5.1445e+15  +7.5895e+17 +1.1485e+18  -2.7318e+21 +4.7821e+19  
+009.9962 +6.6712e-06 +2.0576e-06  +9.3267e-04 +1.2873e-03  -2.3402e+01 -5.7016e-03  -2.5897e-01 -2.0296e-01  -4.8449e+01 +4.8817e+00  +5.7900e+01 +4.6350e+01  -1.2452e+05 +2.3002e+04  -1.6861e+06 -1.9352e+06  +1.3969e+10 -7.0453e+08  +3.7975e+09 -1.5168e+09  +1.4305e+11 +2.6791e+11  +3.6920e+13 +4.7705e+13  +6.0787e+15 -5.6581e+15  +9.2341e+17 +1.2829e+18  -3.3361e+21 +6.1880e+19  
+029.9960 +8.2507e-06 +2.5939e-06  +2.7152e-03 +3.7290e-03  -6.7426e+01 -1.3551e-02  -6.7576e-01 -7.6989e-01  -1.4178e+02 -7.6244e+00  +1.2881e+02 +4.8701e+02  -3.4903e+05 +6.7435e+04  -5.5872e+06 -4.8593e+06  +4.3424e+10 -2.1169e+09  +9.6773e+09 +3.4443e+09  +5.1190e+11 +1.0241e+12  +1.0757e+14 +3.7732e+12  +1.5750e+16 -1.1378e+16  +2.5994e+18 +3.3963e+18  -9.7702e+21 +1.4826e+20  
+049.9945 +9.8731e-06 +3.0641e-06  +4.5688e-03 +6.2406e-03  -1.1243e+02 -1.9863e-02  -9.9338e-01 -1.4316e+00  -2.4009e+02 -1.9082e+01  +3.5338e+02 +8.1121e+02  -5.8768e+05 +1.2614e+05  -8.3642e+06 -7.9747e+06  +7.2031e+10 -3.8182e+09  +1.4489e+10 +1.0408e+10  +1.2334e+12 +2.0623e+12  +1.3277e+14 -3.5563e+13  +2.6296e+16 -2.0155e+16  +4.6050e+18 +5.8967e+18  -1.6342e+22 +2.6665e+20  
+069.9954 +1.2042e-05 +3.4664e-06  +6.4096e-03 +8.7323e-03  -1.5758e+02 -2.4138e-02  -1.3855e+00 -2.0561e+00  -3.3684e+02 -2.7769e+01  +5.1201e+02 +9.3207e+02  -8.3577e+05 +1.8612e+05  -1.2024e+07 -1.0943e+07  +1.0108e+11 -5.8324e+09  +1.6686e+10 +6.5662e+09  +1.6994e+12 +3.2117e+12  +1.3132e+14 -3.3006e+13  +3.9686e+16 -3.4770e+16  +6.7486e+18 +7.8156e+18  -2.3042e+22 +3.8631e+20  
+089.9984 +1.4867e-05 +3.5666e-06  +8.2148e-03 +1.1175e-02  -2.0255e+02 -2.5633e-02  -1.8384e+00 -2.6111e+00  -4.2413e+02 -3.2094e+01  +6.2336e+02 +1.3093e+03  -1.0681e+06 +2.4679e+05  -1.5076e+07 -1.3671e+07  +1.3013e+11 -8.4909e+09  +1.8339e+10 +1.9954e+10  +1.2637e+12 +3.6033e+12  +1.9346e+14 -6.1591e+13  +4.9335e+16 -4.0374e+16  +8.5813e+18 +1.0398e+19  -2.9748e+22 +5.5560e+20  
+109.9965 +1.8401e-05 +3.0938e-06  +9.9324e-03 +1.3520e-02  -2.4682e+02 -2.4465e-02  -2.4978e+00 -2.9730e+00  -5.0334e+02 -3.2608e+01  +1.2009e+03 +1.2172e+03  -1.3101e+06 +2.8574e+05  -1.8961e+07 -1.9173e+07  +1.5935e+11 -1.1627e+10  +1.6137e+10 +1.3788e+09  +2.7154e+12 +4.6780e+12  +1.1811e+14 +6.6532e+12  +6.2725e+16 -4.9733e+16  +1.0048e+19 +1.3322e+19  -3.6272e+22 +7.8242e+20  
