# HEADER
# ======
# label             si-sextupole-s15-sfb1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +6.2608e-06 +3.3220e-06  +1.1439e-04 +2.2990e-04  -2.4149e+00 -2.0286e-03  +1.1325e-01 -3.8230e-01  -1.6161e+00 -1.5872e+01  +1.6051e+02 +5.0152e+01  -1.4156e+04 -6.3764e+02  -1.4497e+05 +1.3224e+06  -5.2023e+08 -1.6114e+08  -3.5015e+09 +6.3204e+09  -4.5022e+11 +3.8873e+11  +7.0051e+12 -1.1423e+14  +2.8561e+15 -5.7777e+15  +1.7014e+17 +2.6203e+17  -3.2897e+20 +5.0575e+17
+001.9955 +6.4065e-06 +3.3150e-06  +2.6165e-04 +4.3251e-04  -6.5484e+00 -3.8561e-03  +3.0082e-02 -3.6077e-01  -1.2375e+01 -1.3611e+01  +1.6847e+02 +1.9253e+02  -4.4124e+04 +8.8129e+03  -7.8075e+05 +5.6137e+05  +2.2557e+09 -3.3739e+08  -3.7271e+09 +4.0233e+09  -1.9359e+11 +4.3434e+11  +6.9133e+12 -4.7715e+13  +2.0761e+15 -3.2518e+15  +2.2217e+17 +4.0576e+17  -8.9671e+20 +2.4705e+19
+003.9981 +6.5528e-06 +3.3080e-06  +4.0944e-04 +6.3586e-04  -1.0697e+01 -5.6901e-03  -5.3384e-02 -3.3916e-01  -2.3173e+01 -1.1341e+01  +1.7645e+02 +3.3542e+02  -7.4201e+04 +1.8298e+04  -1.4188e+06 -2.0245e+05  +5.0417e+09 -5.1428e+08  -3.9534e+09 +1.7179e+09  +6.3973e+10 +4.8012e+11  +6.8212e+12 +1.9043e+13  +1.2933e+15 -7.1686e+14  +2.7438e+17 +5.5001e+17  -1.4665e+21 +4.8992e+19
+005.9974 +6.6869e-06 +3.2835e-06  +5.6004e-04 +8.4222e-04  -1.4893e+01 -7.6127e-03  -1.2486e-01 -3.3065e-01  -3.4002e+01 -1.1429e+01  +2.6177e+02 +2.3768e+02  -1.0082e+05 +1.7143e+04  -1.9246e+06 -7.5881e+05  +8.0164e+09 -7.2353e+08  +2.4638e+09 +5.0495e+08  -3.0195e+10 +3.6712e+11  +4.0106e+13 +6.6362e+13  +2.2460e+15 -6.6066e+15  +4.8037e+17 +6.8051e+17  -2.0748e+21 +5.6506e+19
+007.9964 +6.8940e-06 +3.2845e-06  +7.1452e-04 +1.0478e-03  -1.9131e+01 -9.6426e-03  -1.9397e-01 -3.1632e-01  -4.4991e+01 -1.0473e+01  +3.0297e+02 +3.1104e+02  -1.2099e+05 +1.6135e+04  -2.0898e+06 -1.4204e+06  +1.1001e+10 -9.2557e+08  +3.4814e+09 -4.2209e+08  +2.0255e+11 +4.0696e+11  +1.8808e+13 +4.6919e+13  +6.9453e+15 -4.0694e+15  +6.7222e+17 +1.0346e+18  -2.7120e+21 +8.4144e+19
+009.9963 +7.0453e-06 +3.2888e-06  +8.6828e-04 +1.2602e-03  -2.3407e+01 -1.1624e-02  -2.7088e-01 -3.0412e-01  -5.7317e+01 -9.8930e+00  +3.3704e+02 +6.3718e+01  -1.5194e+05 +2.0943e+04  -2.5970e+06 -1.7232e+06  +1.3874e+10 -1.1227e+09  +3.0284e+09 +2.2906e+09  -2.1355e+11 +5.1379e+11  +2.4478e+13 +5.1596e+13  +5.4585e+15 -4.4168e+15  +7.6691e+17 +1.2896e+18  -3.3140e+21 +1.2369e+20
+029.9961 +8.3645e-06 +3.9829e-06  +2.5021e-03 +3.4448e-03  -6.7418e+01 -2.9752e-02  -8.7585e-01 -2.7619e-01  -1.7938e+02 -1.2602e+01  +1.0348e+03 +5.2493e+02  -4.3532e+05 +3.9947e+04  -6.9136e+06 -7.2396e+06  +4.3219e+10 -3.5014e+09  +4.3181e+09 +3.6329e+09  +4.3854e+11 +1.8514e+12  +4.0050e+13 +6.5335e+13  +2.1363e+16 -1.3003e+16  +2.4747e+18 +3.5714e+18  -9.6789e+21 +3.0337e+20
+049.9948 +9.8570e-06 +5.1752e-06  +4.2007e-03 +5.7332e-03  -1.1241e+02 -4.2357e-02  -1.3690e+00 -4.6279e-01  -3.0447e+02 -2.4039e+01  +1.7455e+03 +7.3242e+02  -7.3034e+05 +8.1405e+04  -9.4179e+06 -1.3595e+07  +7.1274e+10 -7.3436e+09  -2.8542e+09 +4.6809e+09  +7.9828e+11 +2.7438e+12  +3.4768e+13 +8.2333e+13  +3.4231e+16 -2.1652e+16  +4.3338e+18 +6.1479e+18  -1.6230e+22 +8.3199e+20
+069.9954 +1.1709e-05 +6.3058e-06  +5.9113e-03 +8.0422e-03  -1.5754e+02 -4.7952e-02  -1.8210e+00 -8.0409e-01  -4.3084e+02 -3.8755e+01  +2.7443e+03 +8.0680e+02  -9.9517e+05 +1.2074e+05  -1.2700e+07 -1.9598e+07  +9.9569e+10 -1.2607e+10  -1.1764e+10 +1.5477e+10  +9.6106e+11 +4.5271e+12  +4.9190e+13 +1.0639e+14  +4.3507e+16 -3.5924e+16  +5.4576e+18 +8.3308e+18  -2.2987e+22 +1.2565e+21
+089.9984 +1.4007e-05 +7.5802e-06  +7.6103e-03 +1.0357e-02  -2.0247e+02 -4.7597e-02  -2.2585e+00 -1.2386e+00  -5.5316e+02 -5.3201e+01  +3.6940e+03 +1.2825e+03  -1.2915e+06 +1.7213e+05  -1.7337e+07 -2.4150e+07  +1.2856e+11 -1.8422e+10  -2.4358e+10 +1.6692e+10  +1.3857e+12 +6.1758e+12  -2.6584e+13 +9.1835e+13  +5.3233e+16 -4.1314e+16  +7.7567e+18 +1.0070e+19  -2.9609e+22 +1.5803e+21
+109.9966 +1.6945e-05 +8.7678e-06  +9.2752e-03 +1.2626e-02  -2.4669e+02 -4.0888e-02  -2.5534e+00 -1.8054e+00  -6.6453e+02 -6.8913e+01  +4.6477e+03 +1.3960e+03  -1.5834e+06 +2.1038e+05  -1.8679e+07 -2.6917e+07  +1.5687e+11 -2.4870e+10  -2.2648e+10 +3.2608e+10  +2.2624e+12 +6.9567e+12  -1.1218e+14 +1.2898e+14  +7.3347e+16 -5.1673e+16  +9.3734e+18 +1.2289e+19  -3.6136e+22 +1.6451e+21
+129.9962 +2.0350e-05 +9.7946e-06  +1.0866e-02 +1.4810e-02  -2.8971e+02 -2.6530e-02  -2.9794e+00 -2.3291e+00  -7.6574e+02 -7.6821e+01  +5.2390e+03 +1.8687e+03  -1.8162e+06 +2.8052e+05  -2.3655e+07 -2.8457e+07  +1.8561e+11 -3.2842e+10  -4.7183e+10 +6.0053e+10  +4.3868e+12 +6.5389e+12  +1.7492e+13 +5.3591e+13  +8.4428e+16 -5.0401e+16  +9.8527e+18 +1.3552e+19  -4.2752e+22 +1.6036e+21
+149.9972 +2.4384e-05 +1.0287e-05  +1.2294e-02 +1.6849e-02  -3.3003e+02 -7.8080e-03  -3.4087e+00 -2.6848e+00  -8.4065e+02 -8.3731e+01  +5.8518e+03 +1.8787e+03  -2.0097e+06 +3.2285e+05  -2.8015e+07 -4.0334e+07  +2.1316e+11 -4.0577e+10  -5.7967e+10 +5.2214e+10  +2.4717e+12 +6.3591e+12  -2.0574e+14 +3.4595e+14  +9.2720e+16 -6.0342e+16  +1.1434e+19 +1.7003e+19  -4.8684e+22 +1.7183e+21
+167.7983 +2.9299e-05 +1.0004e-05  +1.3207e-02 +1.8368e-02  -3.5929e+02 +8.9268e-03  -4.1798e+00 -3.1483e+00  -8.6637e+02 -8.0596e+01  +6.1740e+03 +1.2855e+03  -2.2077e+06 +3.0881e+05  -2.9315e+07 -4.0813e+07  +2.3285e+11 -4.7283e+10  -6.1082e+10 +6.3382e+10  +3.3701e+12 +9.0098e+12  -1.3249e+14 +3.4307e+14  +1.2552e+17 -5.0406e+16  +1.1942e+19 +1.7824e+19  -5.3078e+22 +1.5838e+21

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-104 S15-080 S15-061 S15-067 S15-068 S15-034 S15-060 S15-081 S15-156 S15-257
#    S15-234 S15-182 S15-233 S15-169 S15-059 S15-275 S15-153 S15-052 S15-071 S15-065

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
