# HEADER
# ======
# label             si-sextupole-s15-sfp0-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 +4.6726e-06 +3.5051e-06  -2.5074e-06 +6.5896e-05  -2.2823e+00 -2.2977e-03  -3.3612e-01 +2.4715e-01  -3.5176e+01 -1.6306e+01  -1.3842e+02 -1.3418e+02  -4.2100e+04 +1.4274e+04  +1.7740e+05 -3.1501e+05  -5.7887e+08 -9.7184e+07  +4.0322e+09 -8.7823e+09  -2.8417e+11 +5.5210e+11  -8.1228e+12 -1.2661e+14  +1.4699e+15 +6.2931e+14  +1.4996e+17 +3.2710e+17  -3.2123e+20 -1.0268e+19  
+001.9954 +5.0166e-06 +3.1756e-06  +1.3976e-04 +2.6913e-04  -6.4462e+00 -4.4814e-03  -3.0295e-01 +2.1336e-01  -3.9426e+01 -1.0759e+01  +9.2986e+00 +1.5188e+02  -5.5260e+04 +1.0469e+04  -5.3174e+05 -8.1248e+05  +2.2429e+09 -1.9330e+08  +3.8363e+09 -6.3344e+09  +4.5760e+10 +4.5962e+11  +1.8946e+13 -4.8050e+13  +1.5465e+15 -1.3890e+15  +2.0198e+17 +3.8957e+17  -8.9733e+20 -5.3195e+18  
+003.9982 +5.3619e-06 +2.8449e-06  +2.8256e-04 +4.7311e-04  -1.0625e+01 -6.6730e-03  -2.6967e-01 +1.7944e-01  -4.3693e+01 -5.1909e+00  +1.5755e+02 +4.3899e+02  -6.8468e+04 +6.6499e+03  -1.2435e+06 -1.3118e+06  +5.0749e+09 -2.8977e+08  +3.6396e+09 -3.8775e+09  +3.7690e+11 +3.6680e+11  +4.6114e+13 +3.0795e+13  +1.6234e+15 -3.4146e+15  +2.5420e+17 +4.5226e+17  -1.4755e+21 -3.5235e+17  
+005.9973 +5.6830e-06 +2.6027e-06  +4.2493e-04 +6.8317e-04  -1.4848e+01 -9.0510e-03  -2.6429e-01 +1.0921e-01  -4.8321e+01 -1.1384e+00  +1.5938e+02 +2.7637e+02  -7.8987e+04 +2.1884e+03  -1.2851e+06 -1.6821e+06  +8.1768e+09 -4.0347e+08  +3.3138e+09 -4.5769e+09  +5.8721e+11 +3.6734e+11  +4.0412e+13 +6.2816e+13  +2.4840e+15 -3.4536e+15  +4.1546e+17 +6.7698e+17  -2.1084e+21 -4.7029e+17  
+007.9962 +6.0696e-06 +2.3975e-06  +5.6904e-04 +8.9134e-04  -1.9111e+01 -1.1216e-02  -2.3152e-01 +5.7170e-02  -5.3121e+01 +1.1296e+00  +2.7363e+02 +4.6331e+02  -9.7819e+04 +4.8712e+03  -1.8931e+06 -1.7380e+06  +1.1177e+10 -4.6103e+08  +6.2889e+09 -5.7211e+09  +4.8668e+11 +2.6643e+11  +2.9653e+13 +5.1844e+13  +2.7229e+15 -4.0401e+15  +6.4088e+17 +1.0451e+18  -2.7564e+21 +2.3291e+19  
+009.9963 +6.3302e-06 +2.1895e-06  +7.1395e-04 +1.0962e-03  -2.3410e+01 -1.3407e-02  -2.1313e-01 +1.5232e-02  -6.0160e+01 +5.5377e+00  +2.8353e+02 +1.9160e+02  -1.1249e+05 -2.0742e+03  -2.1215e+06 -2.0100e+06  +1.4176e+10 -6.3308e+08  +6.2303e+09 -4.9003e+09  +1.5061e+11 +5.2116e+11  +1.6775e+13 +6.7165e+13  +3.7283e+15 -6.4698e+15  +7.7758e+17 +1.0449e+18  -3.3565e+21 -3.9028e+18  
+029.9960 +8.1424e-06 +4.7520e-07  +2.1687e-03 +3.2083e-03  -6.7598e+01 -3.5446e-02  -1.5692e-01 -3.5102e-01  -1.3985e+02 +3.1116e+01  +1.2331e+03 +8.0703e+02  -2.8359e+05 -1.8144e+04  -3.9129e+06 -6.6386e+06  +4.4097e+10 -1.8159e+09  -2.0316e+09 -1.6197e+08  +1.2600e+12 +1.2224e+12  +6.5747e+12 +1.0649e+13  +1.0650e+16 -1.3541e+16  +2.1380e+18 +3.3674e+18  -9.8082e+21 +6.3083e+18  
+049.9945 +9.0280e-06 -5.2202e-07  +3.6348e-03 +5.3189e-03  -1.1270e+02 -5.4249e-02  -1.8427e-01 -5.7534e-01  -2.3329e+02 +4.6884e+01  +2.2721e+03 +1.4040e+03  -4.6339e+05 -9.3316e+03  -6.2629e+06 -1.0752e+07  +7.3006e+10 -3.8236e+09  -4.9322e+09 -8.2413e+09  +1.7539e+12 +1.9046e+12  +3.7340e+13 -1.2513e+13  +1.8618e+16 -1.5776e+16  +3.4728e+18 +5.6017e+18  -1.6502e+22 +6.6721e+19  
+069.9953 +1.0101e-05 -9.4216e-07  +5.0844e-03 +7.3795e-03  -1.5794e+02 -6.9280e-02  -2.9705e-01 -6.2774e-01  -3.2997e+02 +5.6843e+01  +3.3199e+03 +1.7576e+03  -6.5412e+05 -4.8530e+03  -7.7563e+06 -1.3846e+07  +1.0232e+11 -6.2974e+09  -1.6354e+10 -2.5503e+09  +3.4436e+12 +2.7941e+12  +5.8303e+13 +6.6663e+13  +2.3383e+16 -2.0265e+16  +4.3250e+18 +7.8942e+18  -2.3306e+22 +9.4897e+19  
+089.9983 +1.1866e-05 -1.1014e-06  +6.4711e-03 +9.3902e-03  -2.0298e+02 -7.9551e-02  -6.0333e-01 -5.6490e-01  -4.1842e+02 +6.2032e+01  +4.2524e+03 +2.3163e+03  -8.5617e+05 -4.0238e+04  -1.1764e+07 -1.7753e+07  +1.3176e+11 -9.8013e+09  -2.1470e+09 -1.5309e+10  +2.1774e+12 +3.6944e+12  -2.8430e+13 -9.4048e+13  +3.9084e+16 -1.3461e+16  +5.3416e+18 +9.3928e+18  -3.0055e+22 +2.2191e+20  
+109.9963 +1.4619e-05 -1.0971e-06  +7.7732e-03 +1.1347e-02  -2.4735e+02 -8.5477e-02  -1.1342e+00 -4.3645e-01  -4.9754e+02 +6.0762e+01  +5.7790e+03 +2.7699e+03  -1.0569e+06 -1.5404e+04  -1.6019e+07 -2.2842e+07  +1.6145e+11 -1.4091e+10  -3.0906e+09 +1.0220e+10  +4.1104e+12 +6.6515e+12  -9.0503e+13 -6.1947e+11  +4.1868e+16 -2.3282e+16  +6.8975e+18 +1.0501e+19  -3.6700e+22 +3.0416e+20  
+129.9959 +1.8193e-05 -1.0617e-06  +9.0209e-03 +1.3198e-02  -2.9056e+02 -8.5898e-02  -1.6551e+00 -1.3348e-01  -5.6152e+02 +6.5890e+01  +6.4128e+03 +3.4874e+03  -1.2656e+06 -2.9501e+04  -1.7939e+07 -2.8199e+07  +1.9063e+11 -1.8653e+10  -2.4694e+09 -1.3126e+10  +4.2997e+12 +8.1068e+12  -1.8612e+14 -3.4687e+13  +7.8126e+16 -2.9859e+16  +6.6745e+18 +1.4199e+19  -4.3160e+22 +2.6274e+20  
+149.9969 +2.3055e-05 -1.3045e-06  +1.0214e-02 +1.4847e-02  -3.3107e+02 -7.9204e-02  -2.2125e+00 +5.4862e-01  -5.9616e+02 +6.6274e+01  +7.3198e+03 +3.9545e+03  -1.4195e+06 +7.8863e+04  -2.5927e+07 -3.3364e+07  +2.2030e+11 -2.4246e+10  +2.0915e+10 -7.3022e+10  +2.3551e+12 +7.4446e+12  -3.8071e+14 -9.7439e+13  +7.6627e+16 -7.4111e+16  +7.2799e+18 +1.5669e+19  -4.9561e+22 -1.6493e+19  
+167.7978 +2.7804e-05 -9.7025e-07  +1.1099e-02 +1.6079e-02  -3.6022e+02 -7.4984e-02  -2.4295e+00 +7.3377e-01  -5.9388e+02 +6.0898e+01  +8.6435e+03 +5.2247e+03  -1.5167e+06 +1.1737e+05  -2.9090e+07 -3.8091e+07  +2.4012e+11 -2.7884e+10  +6.7877e+09 -4.0698e+10  +4.5595e+11 +9.4322e+12  -4.4202e+14 -2.1643e+14  +8.3692e+16 -7.8365e+16  +8.9203e+18 +1.7165e+19  -5.3491e+22 -2.3454e+20  
+180.0000 +3.1287e-05 -4.4163e-07  +1.1611e-02 +1.6797e-02  -3.7645e+02 -7.3035e-02  -2.4263e+00 +6.3112e-01  -5.7432e+02 +5.4102e+01  +9.8319e+03 +6.5604e+03  -1.5618e+06 +1.1224e+05  -2.9111e+07 -4.1403e+07  +2.5013e+11 -2.9649e+10  -2.1906e+10 +2.8049e+10  -9.3748e+11 +1.2197e+13  -4.2317e+14 -3.3236e+14  +9.3105e+16 -6.2169e+16  +1.0644e+19 +1.8293e+19  -5.5224e+22 -3.6744e+20  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-249 S15-221 S15-238 S15-044 S15-274 S15-135 S15-043 S15-040 S15-258 S15-093 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
