# HEADER
# ======
# label             si-sextupole-s15-sfp1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  0.98115
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +6.6147e-06 +6.5130e-07  +1.7573e-04 -1.6827e-04  -2.3091e+00 -2.1123e-03  +6.1998e-01 +1.1922e+00  +1.7302e+01 +2.1518e+01  +2.1214e+02 +8.6492e+01  +5.1024e+02 -3.4659e+04  -7.4156e+04 -2.4416e+06  -5.3776e+08 -1.2694e+07  -4.7880e+09 -1.4184e+10  -6.9483e+11 +1.2254e+11  +3.0274e+13 -1.0005e+14  +7.5122e+14 -1.1536e+15  -1.4713e+15 +3.4181e+17  -3.1615e+20 +2.1672e+19
+001.9953 +6.2568e-06 +8.8699e-07  +2.6413e-04 +8.5238e-05  -6.4642e+00 -4.8928e-03  +4.7820e-01 +1.0170e+00  +9.2912e+00 +1.8561e+01  +2.6552e+02 +2.0516e+02  -1.5133e+04 -2.5112e+04  -2.6937e+05 -2.3387e+06  +2.3233e+09 -1.1734e+08  -5.9786e+09 -1.4885e+10  -6.1619e+11 +6.2286e+10  +2.9032e+13 -4.2977e+13  +9.8631e+14 -2.6738e+15  +9.1145e+16 +5.0032e+17  -8.9071e+20 +1.1314e+19
+003.9981 +5.8976e-06 +1.1236e-06  +3.5286e-04 +3.3972e-04  -1.0635e+01 -7.6838e-03  +3.3588e-01 +8.4126e-01  +1.2496e+00 +1.5594e+01  +3.1910e+02 +3.2428e+02  -3.0836e+04 -1.5529e+04  -4.6534e+05 -2.2354e+06  +5.1952e+09 -2.2239e+08  -7.1737e+09 -1.5589e+10  -5.3724e+11 +1.8043e+09  +2.7786e+13 +1.4318e+13  +1.2223e+15 -4.1997e+15  +1.8411e+17 +6.5944e+17  -1.4675e+21 +9.1646e+17
+005.9973 +5.7636e-06 +1.2832e-06  +4.4758e-04 +5.9529e-04  -1.4852e+01 -1.0664e-02  +1.9337e-01 +6.4241e-01  -6.1364e+00 +1.1873e+01  +3.4385e+02 +2.6768e+02  -4.0371e+04 -9.1518e+03  -8.8004e+05 -2.5626e+06  +8.3322e+09 -3.4336e+08  -3.9454e+09 -1.2444e+10  -3.2858e+11 +2.4135e+11  +2.6228e+13 +4.2901e+13  +3.3147e+15 -4.1773e+15  +3.8796e+17 +9.7630e+17  -2.1143e+21 +1.7158e+19
+007.9961 +5.7097e-06 +1.4090e-06  +5.4805e-04 +8.5170e-04  -1.9109e+01 -1.3450e-02  +4.5834e-02 +4.7829e-01  -1.2767e+01 +1.0059e+01  +4.2341e+02 +3.1991e+02  -5.9540e+04 -2.1309e+03  -1.3647e+06 -3.0332e+06  +1.1427e+10 -4.5049e+08  -7.6920e+09 -1.0221e+10  -4.0198e+11 +5.8675e+11  +2.1626e+13 +7.3406e+12  +3.4113e+15 -5.5839e+15  +5.2261e+17 +1.0343e+18  -2.7386e+21 +2.3711e+19
+009.9963 +5.5725e-06 +1.5246e-06  +6.4157e-04 +1.1065e-03  -2.3402e+01 -1.6296e-02  -8.6568e-02 +3.0408e-01  -2.0424e+01 +6.4097e+00  +5.8458e+02 +1.0327e+02  -7.6748e+04 +1.0183e+04  -2.0526e+06 -2.8571e+06  +1.4375e+10 -6.0489e+08  -3.6201e+09 -1.2250e+10  -1.9856e+11 +5.6928e+11  +3.5852e+13 +4.4943e+13  +3.4108e+15 -6.2959e+15  +6.0041e+17 +1.4441e+18  -3.3599e+21 +1.8435e+19
+029.9959 +5.2294e-06 +2.3333e-06  +1.6906e-03 +3.6036e-03  -6.7553e+01 -4.3682e-02  -1.3648e+00 -8.8013e-01  -8.2465e+01 -1.6035e+01  +1.3741e+03 +7.1224e+02  -2.1409e+05 +7.4728e+04  -7.4025e+06 -6.5090e+06  +4.4547e+10 -2.0299e+09  +2.0120e+09 -5.9485e+09  -1.9955e+11 +9.5606e+11  +5.4116e+13 +1.2841e+13  +1.1262e+16 -1.3841e+16  +1.8164e+18 +3.7130e+18  -9.8158e+21 +8.4993e+19
+049.9945 +5.9854e-06 +2.5086e-06  +2.8274e-03 +6.0131e-03  -1.1263e+02 -6.4157e-02  -2.4007e+00 -1.5576e+00  -1.3602e+02 -2.9944e+01  +2.0229e+03 +1.0833e+03  -3.5357e+05 +1.3861e+05  -1.2195e+07 -1.0194e+07  +7.3464e+10 -4.9480e+09  +3.1093e+08 +8.3600e+09  +1.7694e+11 +2.2923e+12  +1.8630e+14 -8.6776e+13  +2.2202e+16 -2.2928e+16  +2.9415e+18 +5.9698e+18  -1.6499e+22 +3.1129e+20
+069.9952 +7.4635e-06 +2.7365e-06  +3.9858e-03 +8.3540e-03  -1.5783e+02 -7.6944e-02  -3.3235e+00 -2.0120e+00  -1.8412e+02 -4.3523e+01  +2.7926e+03 +1.1540e+03  -4.8990e+05 +2.0974e+05  -1.5059e+07 -1.4785e+07  +1.0322e+11 -9.4107e+09  +1.1080e+10 +8.4321e+09  +3.9617e+10 +1.7145e+12  +1.1705e+14 -3.1036e+13  +2.7299e+16 -4.0023e+16  +3.9401e+18 +8.6414e+18  -2.3493e+22 +4.5128e+20
+089.9983 +9.5360e-06 +3.1615e-06  +5.1325e-03 +1.0638e-02  -2.0281e+02 -8.1240e-02  -4.3209e+00 -2.2725e+00  -2.2116e+02 -6.4206e+01  +3.1893e+03 +1.4656e+03  -6.3905e+05 +2.7301e+05  -2.2096e+07 -1.8273e+07  +1.3257e+11 -1.4772e+10  +8.3653e+09 +1.8194e+10  -1.4415e+12 +4.7478e+12  +1.3445e+14 +4.3658e+13  +3.7261e+16 -6.0775e+16  +5.8854e+18 +1.0081e+19  -3.0399e+22 +4.1011e+20
+109.9962 +1.1946e-05 +4.0346e-06  +6.2518e-03 +1.2875e-02  -2.4705e+02 -7.7107e-02  -5.3156e+00 -2.6279e+00  -2.6654e+02 -9.1000e+01  +3.7462e+03 +2.0673e+03  -7.6071e+05 +3.2729e+05  -3.4947e+07 -2.8592e+07  +1.6253e+11 -2.2567e+10  +3.5753e+10 +4.3269e+09  +2.7355e+12 +6.5936e+12  +2.9394e+14 +2.2960e+14  +3.6407e+16 -6.5715e+16  +6.8546e+18 +1.4379e+19  -3.7373e+22 +5.4494e+20
