# This file was generated automatically from the data of the 
# models of the accelerators in the pymodels repository by the 
# function: 
#    siriuspy.optics.lattice_survey.generate_model_static_table.
#
# If any model change, please, run the script
# again and copy the generated file to replace this one.


#Magnets data 
#-----------


# Storage Ring (SI)
#---------------------------------------------------------
#Name                 Position @ center [m]
#---------------------------------------------------------
SI-01SA:PM-InjDpKckr        2.1148       
SI-01SA:PM-PingH            2.1148       
SI-01SA:PM-InjNLKckr        2.7998       
SI-01M2:MA-QS               3.7277       
SI-01M2:MA-SFA0             3.7277       
SI-01M2:MA-QFA              4.0527       
SI-01M2:MA-FFCH             4.2767       
SI-01M2:MA-FFCV             4.2767       
SI-01M2:MA-CH               4.4677       
SI-01M2:MA-CV               4.4677       
SI-01M2:MA-SDA0             4.4677       
SI-01M2:MA-QDA              4.7627       
SI-01C1:MA-B1               5.5167       
SI-01C1:MA-CH               6.6157       
SI-01C1:MA-CV               6.6157       
SI-01C1:MA-SDA1             6.6157       
SI-01C1:MA-Q1               6.9607       
SI-01C1:MA-SFA1             7.3957       
SI-01C1:MA-Q2               7.8007       
SI-01C1:MA-QS               8.1457       
SI-01C1:MA-SDA2             8.1457       
SI-01C2:MA-B2               9.1762       
SI-01C2:MA-CV-1            10.3267       
SI-01C2:MA-SDA3            10.3267       
SI-01C2:MA-Q3              10.6717       
SI-01C2:MA-CH              11.0767       
SI-01C2:MA-SFA2            11.0767       
SI-01C2:MA-Q4              11.5117       
SI-01C2:MA-CV-2            11.8867       
SI-01C2:MA-FCH             12.2037       
SI-01C2:MA-FCV             12.2037       
SI-01C2:MA-QS              12.2037       
SI-01BC:MA-BC              12.9597       
SI-01C3:MA-Q4              14.4077       
SI-01C3:MA-CH              14.8427       
SI-01C3:MA-CV-1            14.8427       
SI-01C3:MA-SFB2            14.8427       
SI-01C3:MA-FCH             15.0157       
SI-01C3:MA-FCV             15.0157       
SI-01C3:MA-Q3              15.2477       
SI-01C3:MA-CV-2            15.5927       
SI-01C3:MA-QS              15.5927       
SI-01C3:MA-SDB3            15.5927       
SI-01C3:MA-B2              16.7432       
SI-01C4:MA-SDB2            17.7737       
SI-01C4:MA-Q2              18.1187       
SI-01C4:MA-SFB1            18.5237       
SI-01C4:MA-Q1              18.9587       
SI-01C4:MA-CH              19.3037       
SI-01C4:MA-CV              19.3037       
SI-01C4:MA-SDB1            19.3037       
SI-01C4:MA-B1              20.4027       
SI-02M1:MA-QDB1            21.1567       
SI-02M1:MA-QS              21.4517       
SI-02M1:MA-SDB0            21.4517       
SI-02M1:MA-QFB             21.9167       
SI-02M1:MA-CH              22.2917       
SI-02M1:MA-CV              22.2917       
SI-02M1:MA-SFB0            22.2917       
SI-02M1:MA-FCH             22.4577       
SI-02M1:MA-FCV             22.4577       
SI-02M1:MA-QDB2            22.6217       
SI-02M2:MA-QDB2            29.2172       
SI-02M2:MA-FCH             29.3812       
SI-02M2:MA-FCV             29.3812       
SI-02M2:MA-CH              29.5472       
SI-02M2:MA-CV              29.5472       
SI-02M2:MA-SFB0            29.5472       
SI-02M2:MA-QFB             29.9222       
SI-02M2:MA-QS              30.3872       
SI-02M2:MA-SDB0            30.3872       
SI-02M2:MA-QDB1            30.6822       
SI-02C1:MA-B1              31.4362       
SI-02C1:MA-CH              32.5352       
SI-02C1:MA-CV              32.5352       
SI-02C1:MA-SDB1            32.5352       
SI-02C1:MA-Q1              32.8802       
SI-02C1:MA-SFB1            33.3152       
SI-02C1:MA-Q2              33.7202       
SI-02C1:MA-QS              34.0652       
SI-02C1:MA-SDB2            34.0652       
SI-02C2:MA-B2              35.0957       
SI-02C2:MA-CV-1            36.2462       
SI-02C2:MA-SDB3            36.2462       
SI-02C2:MA-Q3              36.5912       
SI-02C2:MA-CH              36.9962       
SI-02C2:MA-SFB2            36.9962       
SI-02C2:MA-Q4              37.4312       
SI-02C2:MA-CV-2            37.8062       
SI-02C2:MA-FCH             38.1232       
SI-02C2:MA-FCV             38.1232       
SI-02C2:MA-QS              38.1232       
SI-02BC:MA-BC              38.8792       
SI-02C3:MA-Q4              40.3272       
SI-02C3:MA-CH              40.7622       
SI-02C3:MA-CV-1            40.7622       
SI-02C3:MA-SFP2            40.7622       
SI-02C3:MA-FCH             40.9352       
SI-02C3:MA-FCV             40.9352       
SI-02C3:MA-Q3              41.1672       
SI-02C3:MA-CV-2            41.5122       
SI-02C3:MA-QS              41.5122       
SI-02C3:MA-SDP3            41.5122       
SI-02C3:MA-B2              42.6627       
SI-02C4:MA-SDP2            43.6932       
SI-02C4:MA-Q2              44.0382       
SI-02C4:MA-SFP1            44.4432       
SI-02C4:MA-Q1              44.8782       
SI-02C4:MA-CH              45.2232       
SI-02C4:MA-CV              45.2232       
SI-02C4:MA-SDP1            45.2232       
SI-02C4:MA-B1              46.3222       
SI-03M1:MA-QDP1            47.0762       
SI-03M1:MA-QS              47.3712       
SI-03M1:MA-SDP0            47.3712       
SI-03M1:MA-QFP             47.8362       
SI-03M1:MA-CH              48.2112       
SI-03M1:MA-CV              48.2112       
SI-03M1:MA-SFP0            48.2112       
SI-03M1:MA-FCH             48.3772       
SI-03M1:MA-FCV             48.3772       
SI-03M1:MA-QDP2            48.5412       
SI-03M2:MA-QDP2            55.1367       
SI-03M2:MA-FCH             55.3007       
SI-03M2:MA-FCV             55.3007       
SI-03M2:MA-CH              55.4667       
SI-03M2:MA-CV              55.4667       
SI-03M2:MA-SFP0            55.4667       
SI-03M2:MA-QFP             55.8417       
SI-03M2:MA-QS              56.3067       
SI-03M2:MA-SDP0            56.3067       
SI-03M2:MA-QDP1            56.6017       
SI-03C1:MA-B1              57.3557       
SI-03C1:MA-CH              58.4547       
SI-03C1:MA-CV              58.4547       
SI-03C1:MA-SDP1            58.4547       
SI-03C1:MA-Q1              58.7997       
SI-03C1:MA-SFP1            59.2347       
SI-03C1:MA-Q2              59.6397       
SI-03C1:MA-QS              59.9847       
SI-03C1:MA-SDP2            59.9847       
SI-03C2:MA-B2              61.0152       
SI-03C2:MA-CV-1            62.1657       
SI-03C2:MA-SDP3            62.1657       
SI-03C2:MA-Q3              62.5107       
SI-03C2:MA-CH              62.9157       
SI-03C2:MA-SFP2            62.9157       
SI-03C2:MA-Q4              63.3507       
SI-03C2:MA-CV-2            63.7257       
SI-03C2:MA-FCH             64.0427       
SI-03C2:MA-FCV             64.0427       
SI-03C2:MA-QS              64.0427       
SI-03BC:MA-BC              64.7987       
SI-03C3:MA-Q4              66.2467       
SI-03C3:MA-CH              66.6817       
SI-03C3:MA-CV-1            66.6817       
SI-03C3:MA-SFB2            66.6817       
SI-03C3:MA-FCH             66.8547       
SI-03C3:MA-FCV             66.8547       
SI-03C3:MA-Q3              67.0867       
SI-03C3:MA-CV-2            67.4317       
SI-03C3:MA-QS              67.4317       
SI-03C3:MA-SDB3            67.4317       
SI-03C3:MA-B2              68.5822       
