# Power supply type names
# =======================

# pstype                     polarity         magnetic_function
# -------------------------------------------------------------

li-spect-45deg               bipolar          corrector-horizontal
#li-spect-15deg               bipolar          corrector-horizontal
li-quadrupole-short          bipolar          quadrupole
li-quadrupole-long           bipolar          quadrupole
li-corrector-ch-short        bipolar          corrector-horizontal
li-corrector-cv-short        bipolar          corrector-vertical
li-corrector-ch-long         bipolar          corrector-horizontal
li-corrector-cv-long         bipolar          corrector-vertical
li-solenoid-fam              monopolar        solenoid
li-solenoid                  monopolar        solenoid
li-lens                      bipolar          lens
li-lens-reversed             bipolar          lens

tb-dipole-b-fam              bipolar          dipole
tb-quadrupole                bipolar          quadrupole
tb-corrector-ch              bipolar          corrector-horizontal
tb-corrector-cv              bipolar          corrector-vertical
tb-corrector-strong-ch       bipolar          corrector-horizontal
tb-corrector-strong-cv       bipolar          corrector-vertical
tb-injseptum                 monopolar        corrector-horizontal

bo-dipole-b-fam              bipolar          dipole
bo-quadrupole-qd-fam         bipolar          quadrupole
bo-quadrupole-qf-fam         bipolar          quadrupole
bo-sextupole-sd-fam          bipolar          sextupole
bo-sextupole-sf-fam          bipolar          sextupole
bo-quadrupole-qs             bipolar          quadrupole-skew
bo-corrector-ch              bipolar          corrector-horizontal
bo-corrector-cv              bipolar          corrector-vertical
bo-injkicker                 monopolar        corrector-horizontal
bo-ejekicker                 monopolar        corrector-horizontal

si-dipole-b1b2-fam           monopolar        dipole
si-quadrupole-q14-qdb2-fam   monopolar        quadrupole
si-quadrupole-q14-qdp2-fam   monopolar        quadrupole
si-quadrupole-q14-qda-fam    monopolar        quadrupole
si-quadrupole-q14-qdb1-fam   monopolar        quadrupole
si-quadrupole-q14-qdp1-fam   monopolar        quadrupole

si-quadrupole-q20-q1-fam     monopolar        quadrupole
si-quadrupole-q20-q2-fam     monopolar        quadrupole
si-quadrupole-q20-q3-fam     monopolar        quadrupole
si-quadrupole-q20-q4-fam     monopolar        quadrupole
si-quadrupole-q20-qfa-fam    monopolar        quadrupole
si-quadrupole-q30-qfb-fam    monopolar        quadrupole
si-quadrupole-q30-qfp-fam    monopolar        quadrupole

si-sextupole-s15-sfa0-fam    monopolar        sextupole
si-sextupole-s15-sfa1-fam    monopolar        sextupole
si-sextupole-s15-sfa2-fam    monopolar        sextupole
si-sextupole-s15-sfb0-fam    monopolar        sextupole
si-sextupole-s15-sfb1-fam    monopolar        sextupole
si-sextupole-s15-sfb2-fam    monopolar        sextupole
si-sextupole-s15-sfp0-fam    monopolar        sextupole
si-sextupole-s15-sfp1-fam    monopolar        sextupole
si-sextupole-s15-sfp2-fam    monopolar        sextupole

si-sextupole-s15-sda0-fam    monopolar        sextupole
si-sextupole-s15-sda1-fam    monopolar        sextupole
si-sextupole-s15-sda2-fam    monopolar        sextupole
si-sextupole-s15-sda3-fam    monopolar        sextupole
si-sextupole-s15-sdb0-fam    monopolar        sextupole
si-sextupole-s15-sdb1-fam    monopolar        sextupole
si-sextupole-s15-sdb2-fam    monopolar        sextupole
si-sextupole-s15-sdb3-fam    monopolar        sextupole
si-sextupole-s15-sdp0-fam    monopolar        sextupole
si-sextupole-s15-sdp1-fam    monopolar        sextupole
si-sextupole-s15-sdp2-fam    monopolar        sextupole
si-sextupole-s15-sdp3-fam    monopolar        sextupole


si-injdpk                    monopolar        corrector-horizontal
si-injnlk                    monopolar        corrector-horizontal
si-injnlk-ccoilh             monopolar        corrector-horizontal
si-injnlk-ccoilv             monopolar        corrector-vertical

ts-dipole-b-fam              monopolar        dipole
ts-quadrupole-q14-qf         monopolar        quadrupole
ts-quadrupole-q14-qd         monopolar        quadrupole
ts-quadrupole-q20-qf         monopolar        quadrupole
ts-quadrupole-q14-cv         bipolar          corrector-vertical
ts-quadrupole-q14-cv-hlim    bipolar          corrector-vertical
ts-corrector-ch              bipolar          corrector-horizontal
ts-corrector-cv              bipolar          corrector-vertical
ts-corrector-cv-hlim         bipolar          corrector-vertical
ts-corrector-cv-strong       bipolar          corrector-vertical
ts-corrector-cv-strong-hlim  bipolar          corrector-vertical
ts-injseptum-thick           monopolar        corrector-horizontal
ts-injseptum-thin            monopolar        corrector-horizontal
ts-ejeseptum-thick           monopolar        corrector-horizontal
ts-ejeseptum-thin            monopolar        corrector-horizontal

si-quadrupole-q14-qda-trim   bipolar          quadrupole
si-quadrupole-q14-qdb1-trim  bipolar          quadrupole
si-quadrupole-q14-qdb2-trim  bipolar          quadrupole
si-quadrupole-q14-qdp1-trim  bipolar          quadrupole
si-quadrupole-q14-qdp2-trim  bipolar          quadrupole
si-quadrupole-q20-q1-trim    bipolar          quadrupole
si-quadrupole-q20-q2-trim    bipolar          quadrupole
si-quadrupole-q20-q3-trim    bipolar          quadrupole
si-quadrupole-q20-q4-trim    bipolar          quadrupole
si-quadrupole-q20-qfa-trim   bipolar          quadrupole
si-quadrupole-q30-qfb-trim   bipolar          quadrupole
si-quadrupole-q30-qfp-trim   bipolar          quadrupole
si-quadrupole-qs             bipolar          quadrupole-skew
si-sextupole-s15-ch          bipolar          corrector-horizontal
si-sextupole-s15-cv          bipolar          corrector-vertical
si-sextupole-s15-qs          bipolar          quadrupole-skew
si-corrector-cv              bipolar          corrector-vertical
si-corrector-fc1-ch          bipolar          corrector-horizontal
si-corrector-fc1-cv          bipolar          corrector-vertical
si-corrector-fc2-ch          bipolar          corrector-horizontal
si-corrector-fc2-cv          bipolar          corrector-vertical
si-corrector-fc1-ffch        bipolar          corrector-horizontal
si-corrector-fc1-ffcv        bipolar          corrector-vertical
si-corrector-wig180          bipolar          corrector-horizontal
si-corrector-epu50-ch        bipolar          corrector-horizontal
si-corrector-epu50-cv        bipolar          corrector-vertical
si-corrector-epu50-qs        bipolar          quadrupole-skew
si-corrector-papu50-ch       bipolar          corrector-horizontal
si-corrector-papu50-cv       bipolar          corrector-vertical
si-corrector-ivu18-ch        bipolar          corrector-horizontal
si-corrector-ivu80-cv        bipolar          corrector-vertical
si-corrector-ivu80-lch       bipolar          corrector-horizontal
si-hping                     bipolar          corrector-horizontal
si-vping                     bipolar          corrector-vertical

it-lens                      bipolar          lens


# DCLinks
# -------

bo-dclink-fac-2s             none            none
bo-dclink-fac-2p4s           none            none
as-dclink-fbp                none            none
as-dclink-regatron-master    none            none
as-dclink-regatron-slave     none            none


# Insertion devices
# -----------------

si-id-apu22-1991a            bipolar         id-apu
si-id-apu22-1991b            bipolar         id-apu
si-id-apu22-1991c            bipolar         id-apu
si-id-apu22-1991d            bipolar         id-apu
si-id-apu58-1995             bipolar         id-apu
si-id-epu50                  bipolar         id-epu
